feature,short,lasso,ridge,en,rf,abs_avg,rf_norm
Total_Production_Value_Per_Capita,Production Value,-0.0,0.005278938597614631,-0.0,0.0006989186706311531,0.001759646199204877,0.0007208366530395685
Human capital index,Human Capital,0.008069012710288518,0.0055344636459317255,0.014901938561714246,0.0028628192956863295,0.00950180497264483,0.0029525968700994747
Rule of law index,Rule of Law,0.0,-0.005855940559915228,0.0,0.0018947171885944146,0.0019519801866384094,0.0019541352292815127
Political stability — estimate,Political Stability,0.0,0.016929802973239948,0.0,0.001055785866530176,0.005643267657746649,0.0010888951495155123
Trade (% of GDP),Trade,-0.0,0.005411804592218861,-0.0,0.00123570646102172,0.0018039348640729537,0.001274458026279207
"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0,0.0036326631681512004,0.0,0.0005712973355747284,0.0012108877227170669,0.0005892131324725188
Share of investment in GDP,Investment Share,0.0,0.003248613372634178,0.0,0.0014861326174279758,0.0010828711242113927,0.0015327375085749581
Domestic credit to private sector (% of GDP),Domestic Credit,0.04998791362406157,0.05265279436429917,0.055431243303930434,0.005264555568546418,0.05269065043076373,0.005429651224433425
Landlocked,Landlocked,-0.0,-0.014744169154605696,-0.0027368214855341324,0.0,0.0058269968800466095,0.0
Urban population (% of total population),Urban Population,0.017779681552005024,0.043490977952508544,0.024513345478086875,0.0017241163091966983,0.02859466832753348,0.0017781843324488314
Government revenue,Gov Revenue,-0.009019109445884028,-0.021719338335854807,-0.010932648529610978,0.0016664873288771338,0.013890365437116603,0.0017187481161375334
Capital depreciation rate,Depreciation,-0.00843660951636423,-0.03296907531198362,-0.012592235960326643,0.00018916923844499085,0.017999306929558163,0.00019510155677425573
"Use of IMF credit (DOD, current US$)",IMF Credit,0.0,0.012103715283079844,0.0,0.0015091253662757843,0.004034571761026615,0.001556451306503216
Real interest rate (%),Real Rate,0.0,0.002040268491899037,0.0,0.0009670806007200905,0.000680089497299679,0.000997408100162853
"Inflation, consumer prices (annual %)",Inflation,-0.004944944915777453,-0.021869853534087245,-0.007803003328309299,0.00045558217714791667,0.011539267259391334,0.00046986916440967965
Access to electricity (% of population),Electricity,0.05100030532371299,0.12124380457528158,0.06199964573543382,0.003158027147511619,0.0780812518781428,0.0032570623949202356
Adjusted savings: gross savings (% of GNI),Gross Savings,-0.009536984997606291,-0.03407756255646872,-0.01468309782101631,0.001239656160117877,0.019432548458363775,0.0012785315873337661
L1_ECI,Lagged ECI,0.6544746570562753,0.6218184122074104,0.6308598938293827,0.9695936904474626,0.6357176543643561,0.9999999999989687
Forestry rents (% of GDP),Forestry rents (% GDP),0.0,0.04893488773115677,0.0027033442084880756,0.0034215607727126167,0.017212743979881616,0.003528860394223538
HCI_x_ProductionValue,HC × Production,0.0,0.009679314677387195,0.0,0.0004460796833161174,0.0032264382257957314,0.0004600686738274811
GFCF_x_ProductionValue,GFCF × Production,0.0,0.008811496104953636,0.0,0.0005594917642036856,0.0029371653683178786,0.0005770373401923707
