Country Code,Country,ClusterLabels,PC1,PC2
AGO,Angola,Oil Exporters,2.6400194868419575,-1.1771033842123337
ARE,United Arab Emirates,Oil Exporters,2.5177765915070824,2.603581637635348
AZE,Azerbaijan,Oil Exporters,1.5799352433507865,-0.21342985584514332
BHR,Bahrain,Petrostates,2.386640910351723,3.2293818018044758
BOL,Bolivia,Diversified Producers,-1.4960633949957494,0.2750669744889662
CHL,Chile,Mining Exporters,-1.0211201456044663,1.88789835513051
CHN,China,Diversified Producers,-1.8971888492325686,-0.30124154395112474
CMR,Cameroon,Diversified Producers,-1.4783382350181873,-0.47022956853284725
COD,"Congo, Dem. Rep.",Diversified Producers,-0.5284787044393275,-4.545115029733986
COG,"Congo, Rep.",Oil Exporters,2.647629265988322,-0.9403890509394282
COL,Colombia,Diversified Producers,-1.1729598070833174,1.1995403467018269
DZA,Algeria,Petrostates,0.5990222229417849,0.5236084209401957
ECU,Ecuador,Diversified Producers,-1.2406878885180022,0.6066469282208958
EGY,"Egypt, Arab Rep.",Diversified Producers,-0.9425841120406918,0.2723921170468681
GAB,Gabon,Oil Exporters,2.5246722763678315,-0.9075358932967984
GIN,Guinea,Mining Exporters,-1.0992782955356504,-2.4536321417340816
GNQ,Equatorial Guinea,Oil Exporters,1.3868839872691159,-3.3626312711947333
IDN,Indonesia,Diversified Producers,-1.598398180407369,0.4207040698161205
IND,India,Diversified Producers,-2.297402328413046,-0.6153350874293643
IRN,"Iran, Islamic Rep.",Oil Exporters,0.42276888745968144,0.2170568954061032
IRQ,Iraq,Oil Exporters,0.6353625856082501,-3.011123457726173
JAM,Jamaica,Diversified Producers,-1.2463160096558774,1.2853659822127037
KAZ,Kazakhstan,Diversified Producers,-0.3456258063858683,0.9966753876339064
KWT,Kuwait,Oil Exporters,3.323110334103621,0.31927780374759973
LBR,Liberia,Mixed Producers 1,-1.8519706134556453,-1.3716883909980375
LBY,Libya,Oil Exporters,1.8067773135610137,-0.5583346282548508
MEX,Mexico,Diversified Producers,-1.262540169351013,1.8055060833805305
MMR,Myanmar,Diversified Producers,-0.9541989366635594,-2.2873573342058275
MNG,Mongolia,Mining Exporters,-1.475549793877974,-0.7054290526140924
MRT,Mauritania,Mixed Producers 1,-1.5856527591806044,-0.9902194678560883
MYS,Malaysia,Diversified Producers,0.736556474483065,3.1333389798808957
NGA,Nigeria,Diversified Producers,-0.3518609822713692,-0.9960980182016188
OMN,Oman,Oil Exporters,2.5663654294257743,-0.09279411679692229
PER,Peru,Mining Exporters,-1.614323943807381,0.5309364036791716
PNG,Papua New Guinea,Mining Exporters,0.09024425964149282,-1.0361023914896075
QAT,Qatar,Petrostates,3.173910747389215,1.095652456577314
ROU,Romania,Diversified Producers,-1.5037244687467322,0.8949519564532626
RUS,Russian Federation,Petrostates,-0.01819717054303757,1.5696223015082984
SAU,Saudi Arabia,Oil Exporters,2.219076259175703,-0.0879088713705951
TTO,Trinidad and Tobago,Petrostates,0.02355463998299458,1.106707779126437
TUN,Tunisia,Diversified Producers,-1.30940960586482,0.7761615580977856
UKR,Ukraine,Diversified Producers,-1.7700484712339986,1.217411557815375
UZB,Uzbekistan,Petrostates,0.24178830675824986,0.1958107116486869
VEN,"Venezuela, RB",Oil Exporters,0.27609140118612624,0.40458351001974635
VNM,Viet Nam,Diversified Producers,-1.184175348313637,-0.6056115909072295
YEM,"Yemen, Rep.",Oil Exporters,2.6224921066619102,-1.5107256896946804
ZAF,South Africa,Diversified Producers,-1.4773519487251914,1.428187030928875
ZWE,Zimbabwe,Diversified Producers,-1.6972327606906152,0.2439687870836682
