Country Code
AGO
AZE
BOL
CHL
CHN
CMR
COD
COG
COL
DZA
ECU
EGY
GAB
GIN
GNQ
IDN
IND
IRN
IRQ
JAM
KAZ
LBR
LBY
MEX
MMR
MNG
MRT
MYS
NGA
OMN
PER
PNG
ROU
RUS
SAU
TTO
TUN
UKR
UZB
VEN
VNM
YEM
ZAF
ZWE
BHR
KWT
QAT
ARE
