feature,short,cat,r
Political corruption index,Pol. Corruption,Governance,-0.41729147872684624
Total natural resources rents (% of GDP),NR Rents,Resource Rents,-0.3744387365955141
Agriculture,Agriculture,Macro & Structure,-0.3198101088432509
Oil rents (% of GDP),Oil Rents,Resource Rents,-0.2346789327924901
"Death rates, crude per 1000 people",Death Rates,Human Capital & Infra,-0.2330259787814275
Mineral rents (% of GDP),Mineral Rents,Resource Rents,-0.22790454971600266
Lending interest rate (%),Lending Rate,Finance & Investment,-0.21348417425083627
"Inflation, consumer prices (annual %)",Inflation,Finance & Investment,-0.10462155460363583
Capital depreciation rate,Depreciation,Finance & Investment,-0.09210647736894768
Industry,Industry,Macro & Structure,-0.06582257877448149
Landlocked,Landlocked,Macro & Structure,-0.06519504575212959
Real interest rate (%),Interest Rate,Finance & Investment,-0.022270070081211096
Adjusted savings: gross savings (% of GNI),Savings,Finance & Investment,-0.01988403020459287
"Primary net lending, General government, Percent of GDP",Primary Lending,Governance,-0.019082245230185525
Trade (% of GDP),Trade,Macro & Structure,-0.0042666504372164465
Natural gas rents (% of GDP),Gas Rents,Resource Rents,0.05528018124479627
Government revenue,Gov Revenue,Governance,0.10853943013746564
Share of investment in GDP,Investment Share,Finance & Investment,0.1276259546351063
"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,Finance & Investment,0.22794938629126293
Mobile cellular subscriptions (per 100 people),Mobile Subs,Human Capital & Infra,0.253992095061976
Property rights,Property Rights,Governance,0.3032589059625806
Political stability — estimate,Political Stability,Governance,0.32606015934632426
Urban population (% of total population),Urban Population,Macro & Structure,0.33995166906269536
Rule of law index,Rule of Law,Governance,0.3687533809675822
Services,Services,Macro & Structure,0.3983053196208265
"GDP per capita (constant prices, PPP)",GDP per Capita,Macro & Structure,0.4125937138736983
Manufacturing,Manufacturing,Macro & Structure,0.4972031271518494
"Life expectancy at birth, total (years)",Life Expectancy,Human Capital & Infra,0.5331040266606941
Human capital index,Human Capital,Human Capital & Infra,0.575459410595639
Domestic credit to private sector (% of GDP),Domestic Credit,Finance & Investment,0.5809715519863597
Access to electricity (% of population),Electricity Access,Human Capital & Infra,0.6154663069023084
