feature,short,coef,ci_lo,ci_hi,se
log_HCI,Human Capital,0.21607808049177699,-0.024981018495928126,0.45713717947948207,0.1229893362182169
log_GFCF,Capital Formation,0.0357507056037141,0.013050200164200651,0.05845121104322755,0.011581890530364005
Political stability — estimate,Political Stability,0.01527628148708058,-0.02113632861864153,0.05168889159280269,0.018577862298837813
Rule of law index,Rule of Law,0.06001323528164049,-0.02247327769275985,0.14249974825604084,0.04208495559918385
log_Production_Value,Production Value,-0.013810465953001168,-0.029591928628543172,0.0019709967225408354,0.0080517666711949
Forestry rents (% of GDP),Forestry rents (% GDP),-0.008354678421274658,-0.021913241418642645,0.005203884576093328,0.006917634182330605
Trade (% of GDP),Trade,1.4537302681532087e-05,-0.0008752525546124408,0.000904327159975505,0.00045397441698672087
log_HCI_x_log_Production,HCI × Production,-0.04296829302017706,-0.09837158225645323,0.012434996216099115,0.028266984304222538
log_GFCF_x_log_Production,GFCF × Production,0.0046597866155711,-0.005371844022310123,0.014691417253452323,0.005118178896878175
log_HCI_x_forestry_rents,HCI × Forestry,-0.04143592853735836,-0.11447671761904285,0.031604860544326124,0.037265708715145146
log_GFCF_x_forestry_rents,GFCF × Forestry,0.004570525797179523,-0.0016226195208772169,0.010763671115236262,0.003159768019416704
