Year,ClusterLabels,median,std,n,se
1995,Diversified Producers,-0.226,0.7916154128772139,21,0.17274464527635966
1995,Mining Exporters,-0.723,0.9266209041458109,5,0.41439746620846996
1995,Mixed Producers 1,-1.2015,1.0670241328105001,2,0.7544999999999998
1995,Oil Exporters,-0.4155,0.7920842862243365,14,0.2116934300356324
1995,Petrostates,-0.359,0.4197987216115202,6,0.17138211043681828
1996,Diversified Producers,-0.389,0.7987769698852414,21,0.1743074251374562
1996,Mining Exporters,-0.422,0.8676752272596008,5,0.38803615810900915
1996,Mixed Producers 1,-1.0585,0.45749808742769615,2,0.3234999999999999
1996,Oil Exporters,-0.45699999999999996,0.972975599120305,14,0.2600386669713779
1996,Petrostates,-0.168,0.531404177627538,6,0.2169448470617974
1997,Diversified Producers,-0.241,0.8149079381249441,21,0.17782749099418793
1997,Mining Exporters,-0.486,0.941146800451449,5,0.42089364452317396
1997,Mixed Producers 1,-1.102,0.8358002153624993,2,0.591
1997,Oil Exporters,-0.6825,0.8264236634006624,14,0.22087101462627642
1997,Petrostates,-0.22199999999999998,0.765973824618048,6,0.3127075044403849
1998,Diversified Producers,-0.302,0.8586674837322348,21,0.1873766067142966
1998,Mining Exporters,-0.57,0.7563292933636777,5,0.3382407426671128
1998,Mixed Producers 1,-1.0185,0.2807213921310595,2,0.1985000000000001
1998,Oil Exporters,-0.35250000000000004,0.8501077242662503,14,0.22720084614674288
1998,Petrostates,-0.2205,0.7157443677738582,6,0.29220141455281606
1999,Diversified Producers,-0.265,0.8195907863945623,21,0.17884937226387929
1999,Mining Exporters,-0.509,0.9025698310934174,5,0.4036414993530769
1999,Mixed Producers 1,-0.6105,0.9157032816365791,2,0.6475
1999,Oil Exporters,-0.4305,0.6940884012798433,14,0.1855029281230601
1999,Petrostates,-0.2625,0.671739135875428,6,0.2742363538588161
2000,Diversified Producers,-0.147,0.820391790839103,21,0.1790241657638366
2000,Mining Exporters,-0.645,0.6887515517223899,5,0.3080190578519452
2000,Mixed Producers 1,-0.9540000000000001,0.7028641404994284,2,0.49700000000000005
2000,Oil Exporters,-0.759,0.8947260155249444,14,0.23912558608055173
2000,Petrostates,-0.3865,0.7148741847346286,6,0.29184616381465994
2001,Diversified Producers,-0.084,0.8882296946602216,21,0.19382761001371326
2001,Mining Exporters,-0.833,0.6386022236102846,5,0.2855915965150235
2001,Mixed Producers 1,-0.984,0.417193000900063,2,0.29499999999999993
2001,Oil Exporters,-0.73,0.7288968180946954,14,0.19480586883000278
2001,Petrostates,-0.3245,0.6501026585599129,6,0.2654032989830969
2002,Diversified Producers,-0.232,0.8077241838293918,21,0.17625986728783877
2002,Mining Exporters,-0.946,0.5720422187216605,5,0.2558250574122871
2002,Mixed Producers 1,-0.7,1.1879393923933999,2,0.84
2002,Oil Exporters,-0.5095000000000001,0.7519765164675565,14,0.2009741776800978
2002,Petrostates,-0.3775,0.7187376897496517,6,0.2934234331322417
2003,Diversified Producers,-0.218,0.8089921595947109,21,0.17653656228421707
2003,Mining Exporters,-1.037,0.8094629701227846,5,0.3620028452926855
2003,Mixed Producers 1,-0.5205,0.7247844507162112,2,0.5125
2003,Oil Exporters,-0.5645,0.7788601843804747,14,0.2081591401536655
2003,Petrostates,-0.2615,0.6817763318469383,6,0.27833402195523593
2004,Diversified Producers,-0.241,0.9030578792820166,21,0.19706338517791117
2004,Mining Exporters,-1.04,0.5769135117155777,5,0.2580035658668306
2004,Mixed Producers 1,-0.6485000000000001,1.3201683604752843,2,0.9335
2004,Oil Exporters,-0.438,0.6644407381441136,14,0.1775792568536038
2004,Petrostates,-0.1075,0.5421903724707771,6,0.22134829266715988
2005,Diversified Producers,-0.175,0.8977338321202635,21,0.19590158283875647
2005,Mining Exporters,-0.962,0.6679175098767811,5,0.29870179108937395
2005,Mixed Producers 1,-1.2570000000000001,0.982878425849301,2,0.6949999999999998
2005,Oil Exporters,-0.39849999999999997,0.8058786754595506,14,0.2153801356340591
2005,Petrostates,0.219,0.4686137001838508,6,0.19131074198800235
2006,Diversified Producers,-0.097,0.8569440638521446,21,0.18700052566407255
2006,Mining Exporters,-1.132,0.7734101757799673,5,0.34587954550681366
2006,Mixed Producers 1,-1.406,0.7806458864299484,2,0.5519999999999999
2006,Oil Exporters,-0.675,0.7875919203286896,14,0.21049279474723678
2006,Petrostates,-0.08550000000000005,0.6112592466921598,6,0.24954554249230299
2007,Diversified Producers,-0.153,0.8165920237997267,21,0.17819498861711566
