Country Code,Country Name,Year,Last_Known_ECI,Ensemble,ECI_std,LASSO,Ridge,Elastic Net,RF
AGO,Angola,2020,-1.204,-1.2130888009560452,0.03850117552605836,-1.1737209628101803,-1.2752079253691706,-1.190268961563751,-1.2131573540810792
AGO,Angola,2021,-1.204,-1.224204960238787,0.0720860317896086,-1.1500089991837226,-1.3401891855465278,-1.1814582167702925,-1.2251634394546054
AGO,Angola,2022,-1.204,-1.2345332772001432,0.10168736377669474,-1.1318230287917246,-1.4001647526566339,-1.176628773920771,-1.2295165534314434
AGO,Angola,2023,-1.204,-1.2501553737925493,0.12792051455522238,-1.1182870141117602,-1.4561143010355848,-1.1750208390379586,-1.2511993409848936
AGO,Angola,2024,-1.204,-1.2854292939585217,0.15577473030062508,-1.1086637961375603,-1.5088238943333996,-1.176019617668894,-1.3482098676942331
AGO,Angola,2025,-1.204,-1.3164976873525762,0.18399199870886387,-1.1023330779222338,-1.558924248328899,-1.1791276430913857,-1.4256057800677868
AGO,Angola,2026,-1.204,-1.3335710370860105,0.20284064147722355,-1.0987728983976117,-1.6069214319563785,-1.1839423854216724,-1.4446474325683798
AGO,Angola,2027,-1.204,-1.3459026560941534,0.21780755844556574,-1.0975440431550956,-1.6532215009621163,-1.1901381338129917,-1.442706946446409
AGO,Angola,2028,-1.204,-1.3592986997024454,0.23248992977754931,-1.0982769265905388,-1.6981502632705114,-1.1974513362659067,-1.4433162726828253
AGO,Angola,2029,-1.204,-1.3729036754189918,0.24660245921967736,-1.1006605536270073,-1.741969138168385,-1.2056687371977497,-1.4433162726828253
AGO,Angola,2030,-1.204,-1.3868137910360172,0.2603102758547612,-1.104433231339257,-1.784887881276776,-1.2146177788452106,-1.4433162726828253
ARE,United Arab Emirates,2020,0.333,0.31519715988946756,0.030883066643850807,0.2793992217221306,0.3535146116153637,0.2908922109518507,0.33698259526852525
ARE,United Arab Emirates,2021,0.333,0.2972210863024376,0.054973508643329644,0.23258965248290464,0.3654153193078402,0.2551015894040415,0.3357777840149641
ARE,United Arab Emirates,2022,0.333,0.28052788410355933,0.07451046046060658,0.19149467968290856,0.37041650927759395,0.22442256343877076,0.33577778401496405
ARE,United Arab Emirates,2023,0.333,0.2646898853420306,0.0902374047498376,0.15520836647171843,0.36989375769763577,0.19787963318380408,0.33577778401496405
ARE,United Arab Emirates,2024,0.333,0.2498586384605111,0.1031540030823671,0.12296839446535568,0.36495078892574073,0.1746834637295619,0.3368319067213861
ARE,United Arab Emirates,2025,0.333,0.23540844020255325,0.1134654430788042,0.09413329586363117,0.3564732009257635,0.15419535729943223,0.3368319067213861
ARE,United Arab Emirates,2026,0.333,0.22151632008088035,0.12189736111282719,0.06816329496740459,0.3451715730629773,0.13589850557175343,0.3368319067213861
ARE,United Arab Emirates,2027,0.333,0.20810671911313108,0.12887122848766955,0.04460418689640511,0.33161605460935384,0.11937472822537931,0.3368319067213861
ARE,United Arab Emirates,2028,0.333,0.19493633849488445,0.13454372646700075,0.023073772019211458,0.3162641176056208,0.10428565071473106,0.33612181363997456
ARE,United Arab Emirates,2029,0.333,0.1818642136828536,0.13907491753495113,0.0032504409375017085,0.2994828249918453,0.09035747408919781,0.33436611471286964
ARE,United Arab Emirates,2030,0.333,0.16954125827482042,0.14345606538233877,-0.015136430903500031,0.28156669794085476,0.07736865134905724,0.33436611471286964
AZE,Azerbaijan,2020,-0.827,-0.8033708469848648,0.03610114307347243,-0.7747505583794485,-0.814722016299537,-0.766639731722667,-0.857371081537807
AZE,Azerbaijan,2021,-0.827,-0.7907850920230266,0.07070428533200122,-0.7338946104870433,-0.8099142522814844,-0.7211192295698743,-0.8982122757537044
AZE,Azerbaijan,2022,-0.827,-0.7775861688902241,0.08960325733502746,-0.7026259420199608,-0.8110816443281239,-0.6876064639483711,-0.9090306252644409
