feature,short,PC1,PC2,PC1_var,PC2_var
Total_Production_Value_Per_Capita,Production Value,0.4294989249800606,0.31861857456197673,0.27499551419433005,0.23734611630984878
Total natural resources rents (% of GDP),Total natural resources rents (% of GDP),0.49807327859129136,-0.317294747084268,0.27499551419433005,0.23734611630984878
Oil rents (% of GDP),Oil rents (% of GDP),0.5468990008080725,-0.1078125674142747,0.27499551419433005,0.23734611630984878
Natural gas rents (% of GDP),Natural gas rents (% of GDP),0.19563586842775696,0.1630032376415941,0.27499551419433005,0.23734611630984878
Mineral rents (% of GDP),Mineral rents (% of GDP),-0.15978161889122788,-0.05956543377782928,0.27499551419433005,0.23734611630984878
Forestry rents (% of GDP),Forestry rents (% GDP),-0.002224845479472255,-0.4132943892538053,0.27499551419433005,0.23734611630984878
"GDP per capita (constant prices, PPP)","GDP per capita (constant prices, PPP)",0.17315632306866197,0.45630044009903986,0.27499551419433005,0.23734611630984878
Trade (% of GDP),Trade,0.2697096960466637,0.230138340640807,0.27499551419433005,0.23734611630984878
Manufacturing,Manufacturing,-0.3181030343524196,0.35944969668528637,0.27499551419433005,0.23734611630984878
Services,Services,0.02511342263760591,0.44144593920239245,0.27499551419433005,0.23734611630984878
