Country Code,Country,ClusterLabels
AGO,Angola,Petrostates
ALB,Albania,Diversified Producers
ARE,United Arab Emirates,Petrostates
ARG,Argentina,Diversified Producers
ARM,Armenia,Diversified Producers
AZE,Azerbaijan,Petrostates
BFA,Burkina Faso,Mixed Producers 1
BGD,Bangladesh,Diversified Producers
BGR,Bulgaria,Diversified Producers
BHR,Bahrain,Oil Exporters
BIH,Bosnia and Herzegovina,Diversified Producers
BLR,Belarus,Diversified Producers
BOL,Bolivia,Diversified Producers
BRA,Brazil,Diversified Producers
BWA,Botswana,Diversified Producers
CHL,Chile,Mining Exporters
CHN,China,Diversified Producers
CIV,Cote d'Ivoire,Diversified Producers
CMR,Cameroon,Diversified Producers
COD,"Congo, Dem. Rep.",Mining Exporters
COG,"Congo, Rep.",Petrostates
COL,Colombia,Diversified Producers
CRI,Costa Rica,Mixed Producers 1
CZE,Czechia,Diversified Producers
DOM,Dominican Republic,Mixed Producers 1
DZA,Algeria,Oil Exporters
ECU,Ecuador,Diversified Producers
EGY,"Egypt, Arab Rep.",Diversified Producers
EST,Estonia,Diversified Producers
ETH,Ethiopia,Mixed Producers 1
GAB,Gabon,Petrostates
GEO,Georgia,Diversified Producers
GHA,Ghana,Diversified Producers
GIN,Guinea,Mining Exporters
GNQ,Equatorial Guinea,Petrostates
GTM,Guatemala,Diversified Producers
HND,Honduras,Diversified Producers
HRV,Croatia,Diversified Producers
HUN,Hungary,Diversified Producers
IDN,Indonesia,Diversified Producers
IND,India,Diversified Producers
IRN,"Iran, Islamic Rep.",Petrostates
IRQ,Iraq,Petrostates
JAM,Jamaica,Diversified Producers
JOR,Jordan,Mixed Producers 1
KAZ,Kazakhstan,Diversified Producers
KEN,Kenya,Mixed Producers 1
KGZ,Kyrgyz Republic,Mining Exporters
KOR,"Korea, Rep.",Mixed Producers 1
KWT,Kuwait,Petrostates
LAO,Lao PDR,Mining Exporters
LBR,Liberia,Mixed Producers 1
LBY,Libya,Petrostates
LKA,Sri Lanka,Mixed Producers 1
LTU,Lithuania,Diversified Producers
MAR,Morocco,Diversified Producers
MDG,Madagascar,Mixed Producers 1
MEX,Mexico,Diversified Producers
MKD,North Macedonia,Diversified Producers
MLI,Mali,Mining Exporters
MMR,Myanmar,Oil Exporters
MNG,Mongolia,Mining Exporters
MOZ,Mozambique,Diversified Producers
MRT,Mauritania,Mining Exporters
MWI,Malawi,Mixed Producers 1
MYS,Malaysia,Diversified Producers
NAM,Namibia,Diversified Producers
NER,Niger,Mixed Producers 1
NGA,Nigeria,Diversified Producers
NIC,Nicaragua,Diversified Producers
NPL,Nepal,Mixed Producers 1
OMN,Oman,Petrostates
PAK,Pakistan,Diversified Producers
PAN,Panama,Mixed Producers 1
PER,Peru,Mining Exporters
PHL,Philippines,Diversified Producers
PNG,Papua New Guinea,Mining Exporters
POL,Poland,Diversified Producers
QAT,Qatar,Oil Exporters
ROU,Romania,Diversified Producers
RUS,Russian Federation,Oil Exporters
RWA,Rwanda,Mixed Producers 1
SAU,Saudi Arabia,Petrostates
SDN,Sudan,Diversified Producers
SEN,Senegal,Mixed Producers 1
SRB,Serbia,Diversified Producers
SVK,Slovak Republic,Diversified Producers
SVN,Slovenia,Diversified Producers
SWZ,Eswatini,Diversified Producers
TCD,Chad,Diversified Producers
TGO,Togo,Mixed Producers 1
THA,Thailand,Diversified Producers
TJK,Tajikistan,Diversified Producers
TTO,Trinidad and Tobago,Oil Exporters
TUN,Tunisia,Diversified Producers
TUR,Turkiye,Diversified Producers
TZA,Tanzania,Diversified Producers
UGA,Uganda,Mixed Producers 1
UKR,Ukraine,Diversified Producers
URY,Uruguay,Diversified Producers
UZB,Uzbekistan,Oil Exporters
VEN,"Venezuela, RB",Petrostates
VNM,Viet Nam,Diversified Producers
YEM,"Yemen, Rep.",Petrostates
ZAF,South Africa,Diversified Producers
ZMB,Zambia,Mining Exporters
ZWE,Zimbabwe,Diversified Producers
