Country Code,Country,ClusterLabels,PC1,PC2
SVN,Slovenia,Diversified Producers,-1.7759088587501537,2.2280295216017474
SWZ,Eswatini,Diversified Producers,-1.5233937429185005,-0.3573615763740335
THA,Thailand,Diversified Producers,-1.8274938767210056,0.9317786360913519
TJK,Tajikistan,Diversified Producers,-0.6864255502655193,0.18910967451265684
TTO,Trinidad and Tobago,Oil Exporters,0.4695451498987167,1.370371131587819
TUN,Tunisia,Diversified Producers,-0.8664097239530925,0.4178079581342499
TUR,Turkiye,Diversified Producers,-1.4970468580488845,0.020090342620486177
TZA,Tanzania,Diversified Producers,1.0825539333976053,-3.276595759713167
UGA,Uganda,Mixed Producers 1,1.2670637789223944,-3.223915602341664
UKR,Ukraine,Diversified Producers,-1.1513701932177254,0.8400947035142301
URY,Uruguay,Diversified Producers,-2.4634022103871573,1.2558929749000254
UZB,Uzbekistan,Oil Exporters,2.013580660205636,1.4777741644096398
VEN,"Venezuela, RB",Petrostates,0.9297968766089925,0.8640436083142984
VNM,Viet Nam,Diversified Producers,-0.05748529987094492,-0.6857462918924917
YEM,"Yemen, Rep.",Petrostates,3.9984818168856924,0.8398674750855997
ZAF,South Africa,Diversified Producers,-1.1849930403402997,0.6688946294040482
ZMB,Zambia,Mining Exporters,0.35181590070089475,-0.9362597480782341
ZWE,Zimbabwe,Diversified Producers,-0.6206085222550496,-0.1710329967818456
