model,pooled_r2,pooled_mae,pooled_rmse,n_pooled
Lasso,0.6444430868035189,0.36916258576731464,0.48617323786629557,1210
Ridge,0.6488219619940914,0.3741447583741013,0.4831702204327083,1210
RandomForest,0.7523134618877103,0.28046430764731023,0.4057772426999548,1210
XGBoost,0.7717391708366695,0.27382329138604355,0.3895401081060891,1210
