imputation,model,cv_r2_mean,cv_r2_std,oof_r2,oof_mae,oof_rmse,n_train
0,Lasso,0.6011760976562973,0.077930778712208,0.6321024170439881,0.3714180535792025,0.49226075825099724,1205
0,Ridge,0.626527275643106,0.06159025127598535,0.6441074155167057,0.37785949017145143,0.48416257766779475,1205
0,RandomForest,0.6970628137521443,0.12857901034840394,0.7480717885798407,0.28021410332324276,0.40735227931800394,1205
0,XGBoost,0.6954649296486013,0.11683637489834743,0.7575493088207133,0.273449362913387,0.39961654650752654,1205
1,Lasso,0.5994259875572197,0.07665904782407486,0.6310080006226162,0.3718956276690922,0.4929923996363964,1205
1,Ridge,0.6258174169745871,0.06050613728635571,0.6434598255271946,0.3778803295591909,0.48460287391353274,1205
1,RandomForest,0.6970309289788383,0.1315038631101903,0.7497326416687058,0.28057166485218993,0.4060073107811065,1205
1,XGBoost,0.6924656107045998,0.12670957833325117,0.7539152991107637,0.27725642005188594,0.40260026483945843,1205
2,Lasso,0.6013682150473629,0.07832262981031721,0.6320842247581715,0.3709753776110073,0.4922729290807593,1205
2,Ridge,0.6267524256869046,0.06213276367713801,0.643768438468634,0.3777704863175971,0.48439309798104346,1205
2,RandomForest,0.6938266910595693,0.1319498195970011,0.7460805655750034,0.2817862403348409,0.4089589528042327,1205
2,XGBoost,0.6939963558703588,0.12393143007305572,0.7548196456877259,0.27536955907845645,0.40185981797596704,1205
3,Lasso,0.6003981249254453,0.07814633057829572,0.6307697639640346,0.372356505745668,0.49315152220658404,1205
3,Ridge,0.6266458974504658,0.06245288661665678,0.6431800492671815,0.3782638636936301,0.4847929700126363,1205
3,RandomForest,0.6982531637126071,0.12977253820845497,0.7478747491170128,0.28071181524445077,0.4075115484720197,1205
3,XGBoost,0.6970627535126944,0.12122311970268472,0.7561298129684018,0.27304821296202647,0.4007846730286881,1205
4,Lasso,0.6013917361456323,0.07737611659095053,0.6322248882933643,0.37127753008926534,0.49217881586935924,1205
4,Ridge,0.626087054148388,0.06144164467565845,0.6435634348034889,0.37810216616157094,0.484532456882234,1205
4,RandomForest,0.6935050917279217,0.12907258832830387,0.7456233190845415,0.2819952983798548,0.40932700446404013,1205
4,XGBoost,0.6914678931053507,0.12250529982666393,0.7518185005667628,0.27797593870596743,0.40431183212981997,1205
