imputation,model,cv_r2_mean,cv_r2_std,oof_r2,oof_mae,oof_rmse,n_train
0,Lasso,0.6113784495407344,0.05995739667656119,0.6450225192026586,0.3688191567090728,0.4857769308637748,1210
0,Ridge,0.6183845792853333,0.04795041498655173,0.6492454127096245,0.3739776152791734,0.4828788290770916,1210
0,RandomForest,0.6927831608867232,0.12642729624872176,0.7531150641275443,0.28076791434726667,0.40512009041803637,1210
0,XGBoost,0.7110755556161168,0.11394263211553225,0.7706433578014825,0.2752923398250991,0.39047402227076117,1210
1,Lasso,0.6088673340509565,0.06061320133179538,0.6431217443216679,0.3695103891450369,0.48707577358206344,1210
1,Ridge,0.6174665699193695,0.04837308274236102,0.6483250302621268,0.3741912260966799,0.48351195270197,1210
1,RandomForest,0.6904970905960504,0.13007979022431007,0.7507410242898038,0.2825064759593628,0.40706324298016416,1210
1,XGBoost,0.7034240695202959,0.11569412394887213,0.7572196587902751,0.28345036304036597,0.4017383059612149,1210
2,Lasso,0.6122887525874535,0.06056249547067574,0.6451880752138233,0.3685083062518037,0.4856636382261106,1210
2,Ridge,0.6196274761808991,0.048698740115919764,0.6493046636931432,0.373928279365834,0.48283804236330735,1210
2,RandomForest,0.6903670736167505,0.12795049607802933,0.7498920055892979,0.28228067545945235,0.40775591715147586,1210
2,XGBoost,0.7102708575001182,0.12369757179167323,0.772960686313725,0.2740516601180537,0.38849641705710614,1210
3,Lasso,0.6098332510458722,0.06059509269014377,0.6433933652536559,0.37006094992026795,0.4868903810055917,1210
3,Ridge,0.6177475837356312,0.04908007606890807,0.6479164734110491,0.37475588236667917,0.48379273012107565,1210
3,RandomForest,0.6931475918209312,0.12636534983799674,0.7511655334102093,0.2813818080924791,0.40671646370053416,1210
3,XGBoost,0.7116726855418414,0.11833542620780511,0.7651185018006053,0.27798041380958477,0.39514900198435915,1210
4,Lasso,0.6114683296210895,0.060071745108927876,0.6450244345128463,0.36926191708076755,0.4857756203373189,1210
4,Ridge,0.6186473406105799,0.04786355553770205,0.6490194129209285,0.3741402230769269,0.4830343693666344,1210
4,RandomForest,0.6894994193851763,0.1265850984521778,0.7509009291952539,0.2824807295958001,0.40693265219216085,1210
4,XGBoost,0.7119193640264778,0.11059777605223844,0.769769991630478,0.27641005603095037,0.39121675805217493,1210
