imputation,model,cv_r2_mean,cv_r2_std,oof_r2,oof_mae,oof_rmse,n_train
0,Lasso,0.9627809444046486,0.007262810509644831,0.9573450611547016,0.10234913045098079,0.1676163621944362,1205
0,Ridge,0.961090291593113,0.007876085104712854,0.9565878531789833,0.10408851174380473,0.1690975754307099,1205
0,RandomForest,0.9532214171751509,0.016395807072127948,0.950668349336051,0.11088196244186346,0.1802580102040198,1205
0,XGBoost,0.9382081529499958,0.02525378222560639,0.938006095957884,0.12304809340019382,0.20207204769553958,1205
1,Lasso,0.962731388005517,0.00731519088630608,0.9572790900598275,0.10234928227314478,0.16774593174676317,1205
1,Ridge,0.9610035941634925,0.00789461319396124,0.956521546123268,0.10417279128033263,0.16922666469540418,1205
1,RandomForest,0.9531838437575285,0.01654372661059226,0.9505813570377688,0.11111922620034154,0.18041687526737793,1205
1,XGBoost,0.9375018052165325,0.028818043351764046,0.9382433474439029,0.1227695199557408,0.20168501084986298,1205
2,Lasso,0.9627568000750161,0.007288116428365771,0.9572930111007788,0.10231296998905678,0.1677185986649477,1205
2,Ridge,0.9610838457499737,0.007851496952931436,0.9565399338279237,0.10404839473479643,0.16919087663582832,1205
2,RandomForest,0.9530571282147127,0.01657483503872089,0.9506385957525763,0.1109803862029428,0.18031236185478683,1205
2,XGBoost,0.9362876894667089,0.027275513565431005,0.9370622437289883,0.12413327523388616,0.20360450223412013,1205
3,Lasso,0.9627250621388466,0.007290040579051816,0.957310356443155,0.10234567913126025,0.16768453595019758,1205
3,Ridge,0.9610054452713473,0.00787606134413587,0.9565688192076568,0.10416765116014104,0.1691346416197616,1205
3,RandomForest,0.9528256151247589,0.01695387184695745,0.9503241315519143,0.11122895420678787,0.1808858034264441,1205
3,XGBoost,0.9375153658254026,0.02689352764501554,0.9367417602535808,0.12346638776358852,0.20412222820958376,1205
4,Lasso,0.9627716122977535,0.007285119580805753,0.9573247886018381,0.10234801409406312,0.16765618885940423,1205
4,Ridge,0.9610726215969244,0.007830181771041994,0.9566201111749013,0.10407927704473961,0.16903473860990295,1205
4,RandomForest,0.9532833609855766,0.016716108400320836,0.9505692267851774,0.11066149915344284,0.18043901638515383,1205
4,XGBoost,0.9386227666758371,0.025992016745032837,0.9373575329611243,0.12398184527072795,0.20312630832911163,1205
