Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
CHL,Chile,Mining Specialists,Mining Specialists,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0
CHN,China,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,Unlabeled_1,Unlabeled_4,Unlabeled_3,Oil Exporters,1.0,1.0,1.0,1.0,True,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COM,Comoros,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
COD,"Congo, Dem. Rep.",Mining Specialists,,,Mining Specialists,1.0,,,1.0,True,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,3.0,1.0,3.0,1.0,,,,,3.0,1.0
COG,"Congo, Rep.",Unlabeled_4,Petrostates,Petrostates,Petrostates,1.0,1.0,1.0,1.0,True,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0
CRI,Costa Rica,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,Mining Specialists,,,,1.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czechia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
