Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
SDN,Sudan,Unlabeled_1,Unlabeled_0,Petrostates,,1.0,1.0,1.0,,True,2.0,1.0,0.0,1.0,1.0,1.0,,,3.0,1.0,0.0,1.0,1.0,1.0,,,2.0,1.0,0.0,1.0,2.0,1.0,,
SUR,Suriname,Diverse Resource Exporters,Unlabeled_0,Mining Specialists,Unlabeled_3,1.0,1.0,1.0,1.0,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SYR,Syrian Arab Republic,Unlabeled_1,,Unlabeled_3,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,Mining Specialists,,,Mining Specialists,1.0,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
TZA,Tanzania,Diverse Resource Exporters,,Unlabeled_0,Unlabeled_0,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,Mining Specialists,,,Mining Specialists,1.0,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Unlabeled_1,Unlabeled_4,Unlabeled_3,Mining Specialists,1.0,1.0,1.0,1.0,True,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
TUN,Tunisia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkiye,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Unlabeled_1,,Unlabeled_3,Oil Exporters,1.0,,1.0,1.0,True,2.0,1.0,,,1.0,1.0,2.0,1.0,3.0,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0
URY,Uruguay,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
UZB,Uzbekistan,Diverse Resource Exporters,,,Unlabeled_0,1.0,,,1.0,True,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,2.0,1.0,0.0,1.0,,,,,0.0,1.0
VUT,Vanuatu,Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",Petrostates,Petrostates,Petrostates,,1.0,1.0,1.0,,True,2.0,1.0,2.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,3.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,
VNM,Viet Nam,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
PSE,West Bank and Gaza,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",Mining Specialists,,Petrostates,Unlabeled_0,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,Mining Specialists,Unlabeled_2,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0
ZWE,Zimbabwe,Diverse Resource Exporters,Unlabeled_0,Unlabeled_0,Unlabeled_0,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
