model,pooled_r2,pooled_mae,pooled_rmse,n_pooled
Lasso,0.6317066337317939,0.3715310291978585,0.49252547352981907,1205
Ridge,0.6436729676480151,0.3779473262873008,0.48445800282596474,1205
RandomForest,0.7487276797071111,0.2799752961036318,0.40682166611310583,1205
XGBoost,0.7600169716784406,0.27155579826132764,0.3975776970106516,1205
