Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
AFG,Afghanistan,Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Diversified Manufacturing,,Mining Specialists,Unlabeled_1,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,Petrostates,Petrostates,Petrostates,,1.0,1.0,1.0,,True,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,,
AND,Andorra,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Petrostates,,Petrostates,Petrostates,1.0,,1.0,1.0,True,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0
ARG,Argentina,Diversified Manufacturing,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,Diverse Resource Exporters,,Unlabeled_0,Unlabeled_0,1.0,,1.0,1.0,True,0.0,1.0,,,0.0,1.0,1.0,1.0,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,0.0,1.0
AZE,Azerbaijan,Petrostates,,Petrostates,Petrostates,1.0,,1.0,1.0,True,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0
BHR,Bahrain,Unlabeled_3,,Petrostates,Mining Specialists,1.0,,1.0,1.0,True,0.0,1.0,,,0.0,1.0,0.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0
BGD,Bangladesh,Mining Specialists,Unlabeled_0,Mining Specialists,,1.0,1.0,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,Diversified Manufacturing,,Unlabeled_3,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Diversified Manufacturing,Unlabeled_0,Unlabeled_3,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,Diversified Manufacturing,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,True,0.0,1.0,,,0.0,1.0,0.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0
BOL,Bolivia,Unlabeled_3,Mining Specialists,Unlabeled_3,Unlabeled_0,1.0,1.0,1.0,1.0,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
BIH,Bosnia and Herzegovina,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Diverse Resource Exporters,,Unlabeled_4,Unlabeled_4,1.0,,1.0,1.0,True,2.0,1.0,,,2.0,1.0,1.0,1.0,3.0,1.0,,,3.0,1.0,1.0,1.0,3.0,1.0,,,4.0,1.0,1.0,1.0
BRA,Brazil,Mining Specialists,Mining Specialists,Mining Specialists,Unlabeled_1,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Diversified Manufacturing,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Diverse Resource Exporters,Unlabeled_0,Unlabeled_4,Unlabeled_4,1.0,1.0,1.0,1.0,True,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
BDI,Burundi,Diverse Resource Exporters,Unlabeled_0,Unlabeled_0,Unlabeled_0,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,Diversified Manufacturing,,Unlabeled_3,Petrostates,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Unlabeled_3,Unlabeled_1,Unlabeled_3,Petrostates,1.0,1.0,1.0,1.0,True,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0
CAF,Central African Republic,Diverse Resource Exporters,Unlabeled_0,Unlabeled_4,Unlabeled_4,1.0,1.0,1.0,1.0,True,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0
CHL,Chile,Mining Specialists,Mining Specialists,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0
