k,snapshot,silhouette
3,aggregate,0.6063384740180037
3,1995,0.45625510827213206
3,2010,0.5163810372262096
3,2023,0.5841927123824332
4,aggregate,0.603939847393496
4,1995,0.4423865494120303
4,2010,0.4315328910110955
4,2023,0.4891374481464382
5,aggregate,0.565478205513631
5,1995,0.45591751376202244
5,2010,0.5161796607758627
5,2023,0.4892579513607114
