k,snapshot,silhouette
3,aggregate,0.5272326912167834
3,1995,0.40111316953782106
3,2010,0.6257388391917015
3,2023,0.5558713294411051
4,aggregate,0.5294490590597689
4,1995,0.4178320302395804
4,2010,0.5716964150031024
4,2023,0.5283356711559202
5,aggregate,0.5263321469150691
5,1995,0.47898901201880867
5,2010,0.5241020500538249
5,2023,0.4996490840308006
