Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Albania,ALB,2019.0,0.1077031797074172,-1.5228487695077102,3,Oil Exporters,"<b>Albania</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $474,538,798<br>  Copper: $21,874,160<br>  Coal: $2,547,990"
Algeria,DZA,2019.0,4.497139951789252,-2.5694299786323116,2,Petrostates,"<b>Algeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $34,841,633,626<br>  Natural Gas: $13,234,530,581<br>  Gold: $3,143,000"
Angola,AGO,2019.0,1.2913962158323882,-3.170877849262903,3,Oil Exporters,"<b>Angola</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $33,289,163,839<br>  Gold: $1,032,700"
Argentina,ARG,2019.0,3.97082739049961,0.3783611638980745,2,Petrostates,"<b>Argentina</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $16,865,697,054<br>  Natural Gas: $6,334,033,100<br>  Gold: $2,383,830,800"
Azerbaijan,AZE,2019.0,5.418291128631346,-0.7987854960809909,2,Petrostates,"<b>Azerbaijan</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $17,877,989,348<br>  Natural Gas: $3,643,505,770<br>  Gold: $175,020,200"
Bahrain,BHR,2019.0,7.468687149007858,-2.397782129549535,2,Petrostates,"<b>Bahrain</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $2,475,754,075<br>  Aluminium: $1,911,007,000<br>  Oil: $1,500,450,010"
Belarus,BLR,2019.0,-0.5713490875081396,-2.8616887499977692,3,Oil Exporters,"<b>Belarus</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $797,910,798"
Benin,BEN,2019.0,-3.9135141396689903,-2.2730971467771415,0,Forestry Intensive,"<b>Benin</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $224,500"
Bolivia,BOL,2019.0,2.55267515988111,3.7772345813920527,1,Major Producers,"<b>Bolivia</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $2,297,526,538<br>  Gold: $1,887,596,000<br>  Zinc: $1,449,775,100"
Bosnia and Herzegovina,BIH,2019.0,-2.89589835044753,1.4177599023734877,4,Forestry Intensive,"<b>Bosnia and Herzegovina</b><br>Cluster: 4<br><br>Top Resources:<br>  Coal: $1,099,461,770<br>  Aluminium: $94,766,000<br>  Bauxite: $33,699,979"
