Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Tanzania,TZA,1995.0,-3.109499827493538,-1.3641600591761331,0,Forestry Intensive,"<b>Tanzania</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $3,968,000<br>  Coal: $1,700,856"
Tunisia,TUN,1995.0,0.3251876666108135,-1.2655684550449495,3,Oil Exporters,"<b>Tunisia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $591,430,868<br>  Zinc: $54,366,000<br>  Lead: $6,157,800"
Uganda,UGA,1995.0,-3.143960201615965,-1.0064220305807516,0,Forestry Intensive,"<b>Uganda</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $38,365,600"
Ukraine,UKR,1995.0,0.6576968465111541,2.387133809765215,1,Major Producers,"<b>Ukraine</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $3,066,068,542<br>  Natural Gas: $992,506,921<br>  Iron ore: $920,907,206"
United Arab Emirates,ARE,1995.0,8.616134813383265,-0.425946990277666,2,Petrostates,"<b>United Arab Emirates</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $15,179,899,282<br>  Natural Gas: $1,886,225,441<br>  Aluminium: $499,748,000"
Uzbekistan,UZB,1995.0,2.400717889453516,2.7769831940711955,1,Major Producers,"<b>Uzbekistan</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $2,677,132,795<br>  Oil: $1,070,129,637<br>  Gold: $788,640,000"
"Venezuela, RB",VEN,1995.0,5.345575669880108,1.326620492188224,2,Petrostates,"<b>Venezuela, RB</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $18,378,609,646<br>  Natural Gas: $1,885,552,782<br>  Aluminium: $1,272,250,540"
Viet Nam,VNM,1995.0,-0.9474162444083768,-0.5809869682149823,0,Forestry Intensive,"<b>Viet Nam</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $959,536,534<br>  Coal: $283,476,000<br>  Zinc: $14,760,000"
"Yemen, Rep.",YEM,1995.0,0.8487961375179875,-1.7466387243520298,3,Oil Exporters,"<b>Yemen, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,183,015,384"
Zambia,ZMB,1995.0,-3.3443497433001164,1.330353656582431,0,Forestry Intensive,"<b>Zambia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $1,042,910,900<br>  Cobalt: $170,877,300<br>  Coal: $5,562,508"
Zimbabwe,ZWE,1995.0,-3.4010552269886976,2.428716068097952,4,Mining Exporters,"<b>Zimbabwe</b><br>Cluster: 4<br><br>Top Resources:<br>  Gold: $297,091,600<br>  Coal: $218,023,715<br>  Copper: $24,537,250"
