Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Pakistan,PAK,1995.0,-0.883132649012935,-0.7532995352776075,0,Forestry Intensive,"<b>Pakistan</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $10,936,511,021<br>  Oil: $1,974,731,388<br>  Coal: $369,094,742"
Peru,PER,1995.0,0.283981199087376,3.9201443986738567,2,Major Producers,"<b>Peru</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $6,003,140,300<br>  Gold: $4,844,241,800<br>  Oil: $3,700,819,698"
Qatar,QAT,1995.0,7.919590546009,-1.1780165506686158,1,Petrostates,"<b>Qatar</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $30,450,967,906<br>  Natural Gas: $15,031,260,824"
Rwanda,RWA,1999.0,-2.948405054790567,-1.289829214472649,0,Forestry Intensive,"<b>Rwanda</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $90,000"
Saudi Arabia,SAU,1995.0,6.65668761083979,-0.3027520265168704,1,Petrostates,"<b>Saudi Arabia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $327,333,684,657<br>  Natural Gas: $24,269,414,872<br>  Gold: $248,038,100"
Senegal,SEN,1999.0,-2.406181783987324,-1.1683269449361031,0,Forestry Intensive,"<b>Senegal</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $29,758,983<br>  Gold: $13,530,000"
South Africa,ZAF,1995.0,-2.681760014793046,7.06060639764324,4,Mining Exporters,"<b>South Africa</b><br>Cluster: 4<br><br>Top Resources:<br>  Coal: $26,324,920,408<br>  Gold: $14,771,788,900<br>  Manganese: $4,553,460,984"
Tanzania,TZA,1995.0,-2.952717745096096,-1.2082721538939518,0,Forestry Intensive,"<b>Tanzania</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $723,939,000<br>  Copper: $13,985,020<br>  Coal: $5,208,759"
Togo,TGO,2005.0,-3.0299362633026248,-0.0991674145961693,0,Forestry Intensive,"<b>Togo</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $88,359,700"
Tunisia,TUN,1995.0,0.5143478843101731,-1.168732334680986,3,Oil Exporters,"<b>Tunisia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,609,264,717<br>  Zinc: $135,323,240<br>  Lead: $23,574,150"
Uganda,UGA,1995.0,-2.9789865973173417,-0.8432238576718499,0,Forestry Intensive,"<b>Uganda</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $109,837,600"
Ukraine,UKR,1995.0,0.9262855606485088,2.3896877795180327,2,Major Producers,"<b>Ukraine</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $7,828,667,465<br>  Natural Gas: $7,583,437,822<br>  Iron ore: $3,656,237,053"
United Arab Emirates,ARE,1995.0,8.782393252144688,-0.6706314974527108,1,Petrostates,"<b>United Arab Emirates</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $89,627,498,651<br>  Natural Gas: $17,467,540,851<br>  Aluminium: $2,335,565,550"
Uzbekistan,UZB,1995.0,2.6684736306500487,2.760736469952562,2,Major Producers,"<b>Uzbekistan</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $21,456,361,909<br>  Oil: $4,605,815,114<br>  Gold: $2,785,743,000"
"Venezuela, RB",VEN,1995.0,5.589485001949966,1.2229529512067352,1,Petrostates,"<b>Venezuela, RB</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $104,391,946,298<br>  Natural Gas: $12,553,586,997<br>  Aluminium: $3,124,186,360"
Viet Nam,VNM,1995.0,-0.7423813574551034,-0.4627064628891275,0,Forestry Intensive,"<b>Viet Nam</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $10,688,678,855<br>  Coal: $2,264,516,559<br>  Natural Gas: $1,775,586,619"
"Yemen, Rep.",YEM,1995.0,1.027199209129139,-1.657699447674439,3,Oil Exporters,"<b>Yemen, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $13,213,493,845"
Zambia,ZMB,1995.0,-3.084708457370604,1.50152896758527,0,Forestry Intensive,"<b>Zambia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $3,271,780,190<br>  Cobalt: $504,190,300<br>  Coal: $21,068,776"
Zimbabwe,ZWE,1995.0,-3.120538773883531,2.61799488755509,4,Mining Exporters,"<b>Zimbabwe</b><br>Cluster: 4<br><br>Top Resources:<br>  Gold: $741,660,800<br>  Coal: $518,188,680<br>  Copper: $42,666,240"
