Country Code
AGO
ALB
ARE
ARG
AZE
BEN
BFA
BHR
BIH
BLR
BOL
BRA
BWA
CHN
CIV
CMR
COD
COG
COL
DOM
DZA
ECU
EGY
ETH
GAB
GHA
GIN
GNQ
GTM
HND
IDN
IND
IRN
IRQ
JAM
KAZ
KEN
KHM
KWT
LAO
LBR
MDG
MEX
MLI
MMR
MNG
MOZ
MRT
MWI
MYS
NER
NGA
NIC
NPL
OMN
PAK
PER
QAT
RWA
SAU
SEN
SWZ
TCD
TGO
TUN
TZA
UGA
UKR
UZB
VEN
VNM
YEM
ZAF
ZMB
ZWE
