Country Code,Country Name,Total_Rents,Entropy,Oil,Gas,Mineral,Forestry
IDN,Indonesia,2.4569090318770397,1.3447482386641285,0.3330004496961793,0.30851377439855093,0.1700324959381415,0.18845327996712824
BOL,Bolivia,4.314471688910027,1.2997829184248908,0.2521024329232319,0.4020187424852542,0.23243089020683774,0.11344793438467611
CHN,China,0.7694738651174462,1.2900043944312798,0.4175348900115361,0.17161620447853165,0.2795744067006824,0.13127449880924985
UKR,Ukraine,2.104767925458605,1.285256881272729,0.16106321185526903,0.45135086124771284,0.22126292484354684,0.16632300205347142
IND,India,1.0518574118519108,1.229170286345735,0.3128032002800651,0.06228511055056851,0.41490976958167836,0.21000191958768816
MYS,Malaysia,6.290959572259693,1.1293481973796111,0.31847694525679904,0.3821814648807281,0.00783751546622336,0.29150407439624954
BRA,Brazil,2.8651711489541993,1.1265831694181871,0.4591115171903822,0.01632879569315468,0.2658579602787026,0.2587017268377605
CIV,Cote d'Ivoire,3.152027221899368,1.1198299964364344,0.21258372519068724,0.06972223478622142,0.14924567065325411,0.5684483693698372
VNM,Viet Nam,2.7810808763505115,1.1116466141235872,0.3519388794829729,0.12987506859931894,0.03898977147859512,0.479196280439113
ZAF,South Africa,1.7730808775119835,1.0691775555113545,0.16330086532946117,0.011203447142367845,0.46854809075574966,0.35694759677242127
MMR,Myanmar,6.74521244011466,1.0556622039567467,0.01958964758609595,0.43995853948599467,0.11893637956208303,0.42151543336582636
ARG,Argentina,1.4539411041248842,1.0543871862631002,0.6202423168743458,0.1957604375919729,0.0956012642814002,0.08839598125228113
PAK,Pakistan,1.1136896345278535,1.0525083165699298,0.2914993508939037,0.547195200707398,0.02463719314669325,0.136668255252005
GHA,Ghana,9.828226918863031,1.044288266241119,0.2668636959900332,0.009754284108616392,0.18600125619716334,0.5373807637041872
TUN,Tunisia,2.490594904912164,1.039988571409423,0.6450226008444306,0.10996409322534023,0.12402408575273238,0.12098922017749676
UZB,Uzbekistan,11.070711972593372,0.8807254666692904,0.06296566614298589,0.42112289192635255,0.5158091483904345,0.00010229354022730616
MRT,Mauritania,4.7312431615604105,0.8726611062526208,0.06183083872052005,-2.346577816260439e-17,0.536089433356913,0.4020797279225671
MEX,Mexico,2.2804136597057343,0.8569963887886515,0.7129548752625601,0.04242024276248447,0.1837196031654434,0.060905278809512034
CMR,Cameroon,5.749403215574448,0.8376201605363278,0.3776455879083012,0.03923482176185012,0.004901895051820615,0.578217695278028
GTM,Guatemala,1.529734727040016,0.8029410405521581,0.08371327967316698,0.002616491364620967,0.2139319907183246,0.6997382382438874
