Country Code
AGO
ALB
ARG
AZE
BIH
BOL
BWA
CHL
CHN
CMR
COD
COG
COL
DOM
DZA
ECU
EGY
EST
GAB
GHA
GIN
GNQ
IDN
IND
IRN
IRQ
JAM
KAZ
LBR
LBY
MEX
MMR
MNG
MRT
MYS
NGA
OMN
PAK
PER
PNG
ROU
RUS
SAU
TTO
TUN
UKR
UZB
VEN
VNM
YEM
ZAF
ZWE
BHR
KWT
QAT
ARE
