Country Code,Country Name,Total_NR,Adjusted_NR
AGO,Angola,28.897859059390697,28.31891249184178
ALB,Albania,1.634973785463651,1.496928401993607
ARE,United Arab Emirates,16.8958990035406,16.895775324320226
ARG,Argentina,2.166688387219261,2.002376031053012
ARM,Armenia,2.2010016694829098,1.9477926936055319
AUS,Australia,5.74886126457436,5.577367295210694
AUT,Austria,0.1100229132882208,0.049495275953457395
AZE,Azerbaijan,23.4349054129318,23.415139193663148
BFA,Burkina Faso,8.32797318460633,3.43823460667146
BGD,Bangladesh,0.6377175638150119,0.5662299176225338
BGR,Bulgaria,0.5802695552477548,0.3593260161917549
BHR,Bahrain,13.3637839937888,13.363265104091646
BIH,Bosnia and Herzegovina,0.8007569280623432,0.2530717260726092
BLR,Belarus,1.6696053470978305,0.6667077893592506
BOL,Bolivia,4.09529358747088,3.658770242724131
BRA,Brazil,3.21717303299592,2.553423578429632
BRB,Barbados,0.2305476616224187,0.21950864677066978
BRN,Brunei Darussalam,20.8493177212138,20.784424525204038
BWA,Botswana,0.6560538055258753,0.3804897218037384
CAN,Canada,1.9331758303334812,1.8626253667302728
CHE,Switzerland,0.0091832516564966,0.00044479482175690047
CHL,Chile,2.56889266052365,1.8036978512198218
CHN,China,1.2669136757697306,1.179611571881633
CIV,Cote d'Ivoire,2.95827158248838,1.65036833447722
CMR,Cameroon,5.55584424286198,2.9134044581689698
COD,"Congo, Dem. Rep.",12.7500585788424,4.26464583578646
COG,"Congo, Rep.",39.243039155317504,36.226264741275635
COL,Colombia,4.30433092902696,4.2033181292609925
CRI,Costa Rica,0.7596898409005863,0.00698634796129749
CYP,Cyprus,0.0036132517671187,0.0028026940996515003
CZE,Czechia,0.3997903193410526,0.1043536524077826
DEU,Germany,0.0926260316690239,0.06092051650841521
DNK,Denmark,0.4462247626444604,0.43081765438237685
DOM,Dominican Republic,1.0554444420818196,1.0218209372647962
DZA,Algeria,18.5236789388593,18.381432361183215
ECU,Ecuador,5.82070104913459,5.543753432898477
EGY,"Egypt, Arab Rep.",5.72496131230483,5.554726546528277
ESP,Spain,0.039010107061129,0.0177537576178517
EST,Estonia,1.80772963579084,0.9245876898433228
ETH,Ethiopia,5.503739713695591,0.027998299626901257
FIN,Finland,0.3652069846799115,0.0565179228713264
FRA,France,0.0337878193709446,0.006821072938584197
GAB,Gabon,19.1754988018892,16.93168930006545
GBR,United Kingdom,0.5404911291607402,0.5404911291607402
GEO,Georgia,0.6036057925514928,0.5229725886560886
GHA,Ghana,9.76736656039863,6.28568667828179
GIN,Guinea,4.65794341633325,0.0
GNQ,Equatorial Guinea,25.437280160975696,23.488175840564807
GRC,Greece,0.0704760678864158,0.06091931806132551
GTM,Guatemala,1.1479098150349394,0.4404947384949125
HND,Honduras,0.9168552088064672,0.0014501350491602505
HRV,Croatia,0.6194661256499128,0.37802285254960566
HUN,Hungary,0.3038950614764921,0.21143905346357128
IDN,Indonesia,3.23583967668836,2.806470110380387
IND,India,2.0122453839689705,1.8563569648955405
IRL,Ireland,0.0671703776701022,0.0530661717171874
IRN,"Iran, Islamic Rep.",27.80066615337149,27.785171847995564
IRQ,Iraq,40.609902398822,40.605901057392046
ISR,Israel,0.1896558551951894,0.1894517191037439
ITA,Italy,0.0824926231070222,0.06995271909696249
JAM,Jamaica,0.3642343988078185,0.21321339673190348
JOR,Jordan,0.0428576620025573,0.019311505900133
JPN,Japan,0.0932286615908601,0.0693770281715522
KAZ,Kazakhstan,17.9259738525419,17.919782745824442
KEN,Kenya,1.2271842115853495,0.006602433047109502
KGZ,Kyrgyz Republic,7.24320231053747,7.230694566125334
