Country Name,Country Code,Oil,Gas,Mineral,Forestry,Total_Rents
Papua New Guinea,PNG,1.5719422304623,7.06589944245783,3.10580299721339,2.0715590465242,13.81520371665772
Liberia,LBR,0.0,0.0,0.0,14.2604895547102,14.2604895547102
United Arab Emirates,ARE,15.681591549088,1.21418377523218,0.0,0.0001236792203744,16.895899003540553
Kazakhstan,KAZ,13.3329218324239,0.925016309467418,3.00499256400792,0.0061911067174589,17.269121812616696
Algeria,DZA,14.1421031504305,4.23642792336282,0.0029012873898951,0.142246577676085,18.5236789388593
Gabon,GAB,16.6842425426461,0.24178434717823,0.0056624102411341,2.24380950182375,19.175498801889212
Chad,TCD,15.5707595430138,0.0,0.0,4.07919932216284,19.64995886517664
Brunei Darussalam,BRN,9.00049471310791,11.7839298120962,0.0,0.0648931960097618,20.849317721213872
"Venezuela, RB",VEN,20.091290670094267,0.6642921791163184,0.0162938748140305,0.1197774789538042,20.891654202978422
Qatar,QAT,14.5084244384971,7.865482625327519,0.0,7.960227225378702e-05,22.373986666096872
Azerbaijan,AZE,20.4577104992688,2.78333521411986,0.1740934802744389,0.0197662192686531,23.43490541293175
Oman,OMN,21.6117797561797,3.36669233100504,0.0,0.0015576188289987,24.980029706013738
Equatorial Guinea,GNQ,18.813552099543,4.67462374102181,0.0,1.94910432041089,25.437280160975696
Saudi Arabia,SAU,24.3295780055005,1.07981796945695,0.0427233495760672,0.0010484109245127,25.45316773545803
"Iran, Islamic Rep.",IRN,20.0780490508657,6.82201707137804,0.875208744950145,0.0154943053759284,27.790769172569817
Angola,AGO,27.504828641196,0.814083850645771,0.0,0.57894656754892,28.89785905939069
Libya,LBY,32.7515623093831,1.68853062615573,0.0,0.0589350917271918,34.49902802726602
"Congo, Rep.",COG,35.8517991110343,0.374465630241367,0.0,3.01677441404187,39.24303915531754
Kuwait,KWT,38.6553473115018,1.18290776369048,0.0,0.0004152637141161,39.8386703389064
Iraq,IRQ,40.2312783051026,0.374622752289475,0.0,0.0040013414299577,40.60990239882203
