Country Code,Country Name,prod_pc,log10_prod_pc
AGO,Angola,1111.786468584712,3.0460213839904045
ALB,Albania,169.3290230224501,2.2287314026347858
ARE,United Arab Emirates,10516.942651905885,4.021889505750551
ARG,Argentina,551.5215947937811,2.741562521882587
AZE,Azerbaijan,2081.2709452459044,3.3183286214733125
BEN,Benin,0.01896825145677212,-1.721972701671965
BFA,Burkina Faso,104.7440103464,2.0201291977683487
BHR,Bahrain,3830.2389872185995,3.5832258725566666
BIH,Bosnia and Herzegovina,400.1681372911318,2.6022425057156577
BLR,Belarus,73.96466220579646,1.8690242781825925
BOL,Bolivia,713.5561586782153,2.8534281588722226
BRA,Brazil,504.0110921495922,2.7024400943946354
BWA,Botswana,109.50048750755211,2.0394160527046163
CHN,China,400.7376330140729,2.6028601286640622
CIV,Cote d'Ivoire,67.78379024811667,1.831125849509023
CMR,Cameroon,75.79729243098379,1.879653692396106
COD,"Congo, Dem. Rep.",147.94363319173414,2.1700962798772245
COG,"Congo, Rep.",1113.4483052920311,3.046670058597203
COL,Colombia,629.5391960251686,2.7990227750912298
DOM,Dominican Republic,141.19130539323368,2.1498079535429606
DZA,Algeria,1176.7746144967057,3.070693291175189
ECU,Ecuador,678.960317392073,2.831844392187322
EGY,"Egypt, Arab Rep.",241.12835112443503,2.382248276379207
ETH,Ethiopia,2.1194207651473436,0.32621718504554204
GAB,Gabon,3297.992618732091,3.5182496793110745
GHA,Ghana,325.68044280222114,2.512791679847978
GIN,Guinea,214.42168502691365,2.331268704580876
GNQ,Equatorial Guinea,2672.5414778991826,3.42692445419249
GTM,Guatemala,32.78125487992223,1.5156255745241194
HND,Honduras,20.253363370587113,1.3064971545627861
IDN,Indonesia,341.670708441245,2.533607748164835
IND,India,82.27353467164576,1.9152601560568332
IRN,"Iran, Islamic Rep.",1614.6738743306655,3.208084818381647
IRQ,Iraq,2419.3101528571124,3.383691547998083
JAM,Jamaica,97.60657497538308,1.9894790736026557
KAZ,Kazakhstan,3618.4612370447276,3.558523924584638
KEN,Kenya,2.0025389980899937,0.3015809824293704
KWT,Kuwait,15988.974174253617,4.2038206010350185
LAO,Lao PDR,330.7311020492654,2.5194750380138835
LBR,Liberia,40.52453406658358,1.6077180302207386
MDG,Madagascar,8.875578456680786,0.9481966673449106
MEX,Mexico,585.1746713275604,2.767285519878538
MLI,Mali,111.32986395482006,2.0466116783605766
MMR,Myanmar,110.41129564154373,2.043013506217887
MNG,Mongolia,2404.5125081251026,3.3810270405886915
MOZ,Mozambique,60.78322060143817,1.7837837074645153
MRT,Mauritania,150.86926177127802,2.1786007652697026
MWI,Malawi,0.23303170397316436,-0.6325849891717056
MYS,Malaysia,957.5600679723495,2.981166026892029
NER,Niger,18.61585686937018,1.2698830311573968
NGA,Nigeria,261.52740401767085,2.4175172029168412
NIC,Nicaragua,53.540082352085776,1.7286790348566836
NPL,Nepal,0.09559236909819367,-1.0195767749918858
OMN,Oman,6129.572005876927,3.7874301511945787
PAK,Pakistan,39.91259096077921,1.6011099213055837
PER,Peru,1034.6202986709625,3.0147809947712174
QAT,Qatar,28569.541316441773,4.455903267847308
RWA,Rwanda,30.30913720336967,1.4815735736771298
SAU,Saudi Arabia,9042.875041702902,3.9563065296166173
SEN,Senegal,32.346080430543964,1.5098216621139058
SWZ,Eswatini,11.233131321522034,1.050500836056383
TCD,Chad,160.50388770521909,2.2054855562952556
TGO,Togo,68.29570988440676,1.8343934235637154
TUN,Tunisia,84.48425640847282,1.9267757859679815
TZA,Tanzania,34.64303310607249,1.5396159088523371
UGA,Uganda,0.04354659967313802,-1.361045751123526
UKR,Ukraine,297.33394285095284,2.4732444899362838
UZB,Uzbekistan,531.9326952025027,2.7258566850181585
VEN,"Venezuela, RB",1605.7298499140793,3.205672480817832
VNM,Viet Nam,122.34281640108716,2.087578473982383
YEM,"Yemen, Rep.",46.37975639538915,1.6663284632235706
ZAF,South Africa,693.742913992977,2.8411985601963683
ZMB,Zambia,282.38028438520826,2.450834371269233
ZWE,Zimbabwe,93.4829078625626,1.9707322130165477
