iter,feature,short,coef
4,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
4,HCI_x_ProductionValue,HC × Production,-0.0
4,GFCF_x_ProductionValue,GFCF × Production,-0.0
5,Total_Production_Value_Per_Capita,Production Value,-0.0
5,Human capital index,Human Capital,0.0
5,Rule of law index,Rule of Law,0.020678178595695363
5,Political stability — estimate,Political Stability,0.0
5,Trade (% of GDP),Trade,-0.0
5,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
5,Share of investment in GDP,Investment Share,0.0
5,Domestic credit to private sector (% of GDP),Domestic Credit,0.01977976162801358
5,Landlocked,Landlocked,-0.013627228069286899
5,Urban population (% of total population),Urban Population,0.028685022604836918
5,Government revenue,Gov Revenue,-0.0
5,Capital depreciation rate,Depreciation,-0.0
5,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
5,Real interest rate (%),Real Rate,-0.0
5,"Inflation, consumer prices (annual %)",Inflation,0.0
5,Access to electricity (% of population),Electricity,0.025652948103959523
5,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.022444613812714138
5,L1_ECI,Lagged ECI,0.5296987124403375
5,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
5,HCI_x_ProductionValue,HC × Production,-0.0
5,GFCF_x_ProductionValue,GFCF × Production,-0.01190080935617586
6,Total_Production_Value_Per_Capita,Production Value,-0.0
6,Human capital index,Human Capital,0.0
6,Rule of law index,Rule of Law,0.0
6,Political stability — estimate,Political Stability,0.0
6,Trade (% of GDP),Trade,-0.0
6,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
6,Share of investment in GDP,Investment Share,0.0
6,Domestic credit to private sector (% of GDP),Domestic Credit,0.036102772748741435
6,Landlocked,Landlocked,-0.0
6,Urban population (% of total population),Urban Population,0.0
6,Government revenue,Gov Revenue,-0.0
6,Capital depreciation rate,Depreciation,-0.0
6,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
6,Real interest rate (%),Real Rate,0.0
6,"Inflation, consumer prices (annual %)",Inflation,-0.0
6,Access to electricity (% of population),Electricity,0.03831438378389693
6,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
6,L1_ECI,Lagged ECI,0.5878387734455439
6,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
6,HCI_x_ProductionValue,HC × Production,0.0
6,GFCF_x_ProductionValue,GFCF × Production,0.0
7,Total_Production_Value_Per_Capita,Production Value,-0.0
7,Human capital index,Human Capital,0.0
7,Rule of law index,Rule of Law,0.019016715623780225
7,Political stability — estimate,Political Stability,0.0
7,Trade (% of GDP),Trade,-0.0
7,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
7,Share of investment in GDP,Investment Share,-0.0
7,Domestic credit to private sector (% of GDP),Domestic Credit,0.0744654967037151
7,Landlocked,Landlocked,0.0
7,Urban population (% of total population),Urban Population,0.02497394427346306
7,Government revenue,Gov Revenue,-0.02277808637169891
7,Capital depreciation rate,Depreciation,-0.02427914146567449
7,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
7,Real interest rate (%),Real Rate,0.0
7,"Inflation, consumer prices (annual %)",Inflation,-0.0
7,Access to electricity (% of population),Electricity,0.056955552140358905
7,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.003339461013976386
7,L1_ECI,Lagged ECI,0.4870655268642687
7,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
7,HCI_x_ProductionValue,HC × Production,-0.0
7,GFCF_x_ProductionValue,GFCF × Production,0.0
8,Total_Production_Value_Per_Capita,Production Value,-0.002181160533361303
8,Human capital index,Human Capital,0.019935691098546433
8,Rule of law index,Rule of Law,0.0
8,Political stability — estimate,Political Stability,0.015890764983272954
8,Trade (% of GDP),Trade,-0.0
8,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
8,Share of investment in GDP,Investment Share,0.0
8,Domestic credit to private sector (% of GDP),Domestic Credit,0.12202975056357364
8,Landlocked,Landlocked,-0.0
8,Urban population (% of total population),Urban Population,0.0
8,Government revenue,Gov Revenue,-0.009450083552723155
8,Capital depreciation rate,Depreciation,-0.0
8,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
8,Real interest rate (%),Real Rate,0.0
8,"Inflation, consumer prices (annual %)",Inflation,-0.0016146719405847568
8,Access to electricity (% of population),Electricity,0.047258527903388144
8,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.02370623611149673
8,L1_ECI,Lagged ECI,0.5656083687572636
8,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
8,HCI_x_ProductionValue,HC × Production,0.0
8,GFCF_x_ProductionValue,GFCF × Production,0.0
9,Total_Production_Value_Per_Capita,Production Value,-0.0
9,Human capital index,Human Capital,0.0
9,Rule of law index,Rule of Law,0.0
9,Political stability — estimate,Political Stability,0.0
9,Trade (% of GDP),Trade,-0.0
9,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
9,Share of investment in GDP,Investment Share,0.0
9,Domestic credit to private sector (% of GDP),Domestic Credit,0.059551460470615776
9,Landlocked,Landlocked,-0.0
9,Urban population (% of total population),Urban Population,0.0
9,Government revenue,Gov Revenue,-0.0
9,Capital depreciation rate,Depreciation,-0.0
9,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
9,Real interest rate (%),Real Rate,0.004842478632172236
9,"Inflation, consumer prices (annual %)",Inflation,-0.0
9,Access to electricity (% of population),Electricity,0.03021537180072367
9,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0021029021012568885
9,L1_ECI,Lagged ECI,0.5775108436705754
9,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
9,HCI_x_ProductionValue,HC × Production,0.0
9,GFCF_x_ProductionValue,GFCF × Production,-0.0
10,Total_Production_Value_Per_Capita,Production Value,-0.0
10,Human capital index,Human Capital,0.0
10,Rule of law index,Rule of Law,0.0
10,Political stability — estimate,Political Stability,-0.0
10,Trade (% of GDP),Trade,-0.0
10,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
10,Share of investment in GDP,Investment Share,0.005729790069791479
10,Domestic credit to private sector (% of GDP),Domestic Credit,0.023178224704249403
10,Landlocked,Landlocked,-0.0025628748000972924
10,Urban population (% of total population),Urban Population,0.0049916959526444754
10,Government revenue,Gov Revenue,-0.0
10,Capital depreciation rate,Depreciation,-0.004906907510411504
10,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
10,Real interest rate (%),Real Rate,0.0
10,"Inflation, consumer prices (annual %)",Inflation,0.0
10,Access to electricity (% of population),Electricity,0.02876632346260692
10,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
10,L1_ECI,Lagged ECI,0.6305207035715379
10,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
10,HCI_x_ProductionValue,HC × Production,0.0
10,GFCF_x_ProductionValue,GFCF × Production,-0.0
11,Total_Production_Value_Per_Capita,Production Value,-0.0
11,Human capital index,Human Capital,0.0
11,Rule of law index,Rule of Law,0.0
11,Political stability — estimate,Political Stability,0.014759023407711734
11,Trade (% of GDP),Trade,-0.0
11,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
11,Share of investment in GDP,Investment Share,0.0
11,Domestic credit to private sector (% of GDP),Domestic Credit,0.09737085385508848
11,Landlocked,Landlocked,-0.0
11,Urban population (% of total population),Urban Population,0.0
11,Government revenue,Gov Revenue,-0.008908990950359344
11,Capital depreciation rate,Depreciation,-0.0
11,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
11,Real interest rate (%),Real Rate,0.0
11,"Inflation, consumer prices (annual %)",Inflation,-0.0
11,Access to electricity (% of population),Electricity,0.04779814930641898
11,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
11,L1_ECI,Lagged ECI,0.4632183728695606
11,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
11,HCI_x_ProductionValue,HC × Production,0.0
11,GFCF_x_ProductionValue,GFCF × Production,0.0
12,Total_Production_Value_Per_Capita,Production Value,-0.0
12,Human capital index,Human Capital,0.0
12,Rule of law index,Rule of Law,0.0
12,Political stability — estimate,Political Stability,0.0
12,Trade (% of GDP),Trade,-0.0
12,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
12,Share of investment in GDP,Investment Share,0.0
12,Domestic credit to private sector (% of GDP),Domestic Credit,0.05707858913782925
12,Landlocked,Landlocked,-0.0
12,Urban population (% of total population),Urban Population,0.007942280173850264
12,Government revenue,Gov Revenue,-0.0
12,Capital depreciation rate,Depreciation,-0.011307549849165975
12,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
12,Real interest rate (%),Real Rate,0.0
12,"Inflation, consumer prices (annual %)",Inflation,-0.0
12,Access to electricity (% of population),Electricity,0.04624950581392429
12,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
12,L1_ECI,Lagged ECI,0.5914493671557531
12,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
12,HCI_x_ProductionValue,HC × Production,-0.0
12,GFCF_x_ProductionValue,GFCF × Production,0.0
13,Total_Production_Value_Per_Capita,Production Value,-0.0
13,Human capital index,Human Capital,0.016358422878943915
13,Rule of law index,Rule of Law,0.0
13,Political stability — estimate,Political Stability,0.014621622774867192
13,Trade (% of GDP),Trade,-0.011179755821334214
