Country Code,Country Name,Year,Last_Known_ECI,Ensemble,ECI_std,LASSO,Ridge,Elastic Net,RF
AGO,Angola,2020,-1.204,-1.2185315816989886,0.04515529333560235,-1.1726770937609023,-1.2589698485535021,-1.1743171664710386,-1.2681622180105114
AGO,Angola,2021,-1.204,-1.2450111636288725,0.09748915278226715,-1.1481176896223244,-1.309984581561453,-1.1516615299061679,-1.3702808534255444
AGO,Angola,2022,-1.204,-1.261573755393221,0.13179975357207988,-1.1291954580009553,-1.3578274443329699,-1.1346474044706452,-1.4246247147683133
AGO,Angola,2023,-1.204,-1.2786614661477247,0.16208477583605924,-1.1149716375749246,-1.4031253186712793,-1.1221623463126147,-1.4743865620320806
AGO,Angola,2024,-1.204,-1.2949635479709127,0.18759852282580594,-1.1046637994419835,-1.4463799385678182,-1.113313273253921,-1.515497180619928
AGO,Angola,2025,-1.204,-1.307334476830258,0.2055739872704073,-1.097619812998951,-1.4879928741381439,-1.1073832090843863,-1.53634201109955
AGO,Angola,2026,-1.204,-1.3166160504898445,0.21814824543365527,-1.0932961472970306,-1.5282855278793188,-1.1037965574047826,-1.541085969378246
AGO,Angola,2027,-1.204,-1.3257287026488642,0.2292719092233528,-1.0912397858839065,-1.5675151389660622,-1.1020912230854514,-1.5420686626600366
AGO,Angola,2028,-1.204,-1.3352314099063776,0.23984108188079084,-1.0910731533767541,-1.6058875925225258,-1.1018962310661935,-1.5420686626600366
AGO,Angola,2029,-1.204,-1.345257911268267,0.2501748194367135,-1.0924815522210227,-1.6435676717097234,-1.102913758482285,-1.5420686626600366
AGO,Angola,2030,-1.204,-1.3557158318157425,0.2603397414211024,-1.0952026916124245,-1.6806872631331868,-1.1049047098573221,-1.5420686626600366
ALB,Albania,2020,-0.558,-0.5100964008947706,0.056414362007626034,-0.5186079972022397,-0.4357922365859467,-0.4931307061166758,-0.5928546636742201
ALB,Albania,2021,-0.558,-0.47940753598062413,0.11020085253802311,-0.4874255529453167,-0.34085596669457174,-0.44270230247213554,-0.6466463218104725
ALB,Albania,2022,-0.558,-0.45099300477056925,0.14454616592399558,-0.4630855251018181,-0.2677689650985905,-0.4038672045818098,-0.6692503243000587
ALB,Albania,2023,-0.558,-0.4277399147337869,0.16823881044643657,-0.44444844244615245,-0.2121914747788201,-0.3743393402545321,-0.6799804014556429
ALB,Albania,2024,-0.558,-0.40945562210617514,0.184590863614918,-0.43056459049881035,-0.17065010792931418,-0.3522834255534977,-0.6843243644430782
ALB,Albania,2025,-0.558,-0.39559849567021793,0.1956672521045252,-0.420642411235041,-0.1403648879759994,-0.3362260743180645,-0.6851606091517668
