Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
CMR,1995,Total,842792281.709559,Cameroon,13058516.0,1504.6096051253735,64.5396675785793,4.289462685784294
COD,1995,Total,454114018.9297703,"Congo, Dem. Rep.",44433704.0,1225.1224169268826,10.220035199626173,0.83420522377366
COG,1995,Total,1116470480.556813,"Congo, Rep.",2749461.0,6997.237984551312,406.0688551526328,5.803273463746159
COL,1995,Total,5221413098.828087,Colombia,35804662.0,21140.66959493264,145.8305373425418,0.6898103992765536
CRI,1995,Total,5753600.0,Costa Rica,3535176.0,19927.46420007635,1.6275285869784135,0.00816726388584945
CUB,1995,Total,282452585.91452205,,,,,
CYP,1995,Total,0.0,Cyprus,862695.0,15477.902497141276,0.0,0.0
CZE,1995,Total,3169872730.7360625,Czechia,10327253.0,42791.227873978205,306.9424880688081,0.7173023615325211
DEU,1995,Total,12270396598.483501,Germany,81678051.0,42647.16630775583,150.22881237070044,0.35225977568263367
DNK,1995,Total,1489003234.321143,Denmark,5233373.0,42835.31962086113,284.5207544581942,0.6642199870959532
DOM,1995,Total,44268155.99999875,Dominican Republic,7888115.0,7574.297818219904,5.612006924341081,0.07409276818824645
DZA,1995,Total,11937474395.216974,Algeria,28470191.0,9093.926,419.2973062673508,4.610740248681932
ECU,1995,Total,2545263793.9453125,Ecuador,11590514.0,5319.929196036603,219.5988714517158,4.12785327322249
EGY,1995,Total,6842758775.817329,"Egypt, Arab Rep.",65652622.0,5535.529294920392,104.22674018742663,1.8828685503131373
ERI,1995,Total,79836638.47081803,,,,,
ESP,1995,Total,2439963574.461422,Spain,39724050.0,42748.43932192355,61.42283011076217,0.1436843802605478
EST,1995,Total,193189363.51102945,Estonia,1436634.0,11024.361238555235,134.47361228470817,1.2197859755757714
ETH,1995,Total,14669200.0,Ethiopia,57537335.0,1220.0745117968836,0.25495098095871144,0.020896345140693776
FIN,1995,Total,60773000.0,Finland,5107790.0,42692.62003565201,11.898100744157453,0.02786922127108038
FJI,1995,Total,43682948.0,,,,,
FRA,1995,Total,1455867411.659065,France,59541294.0,40308.947664995554,24.451390184080733,0.060659956660973346
GAB,1995,Total,2693932361.7012463,Gabon,1123213.0,7109.671964419636,2398.416294773339,33.73455634488084
GBR,1995,Total,24343348824.186737,United Kingdom,58019030.0,42786.47707666157,419.57524667659453,0.9806258316730107
GEO,1995,Total,33369969.931295957,Georgia,4657722.0,3892.5832714874887,7.164440026969398,0.18405360983405814
GHA,1995,Total,1062579160.9170333,Ghana,17399017.0,1737.6049368976164,61.07121804163036,3.5146779768403027
GIN,1995,Total,514224922.00000006,Guinea,7553249.0,1224.0229680358934,68.07996426438478,5.561984214530556
GNQ,1995,Total,43477616.60156251,Equatorial Guinea,571264.0,7028.392347815281,76.10774808418263,1.0828614043984057
GRC,1995,Total,2749632593.588904,Greece,10562153.0,36163.5300267992,260.32879788703156,0.7198655598447202
GTM,1995,Total,59395719.468060665,Guatemala,10312996.0,4664.1391998169565,5.759307912856813,0.12348061809739376
GUF,1995,Total,30628000.0,,,,,
GUY,1995,Total,159321880.0,,,,,
HND,1995,Total,42039955.0,Honduras,5739637.0,2565.188295515749,7.324497176389378,0.28553448451302627
HRV,1995,Total,190678689.43965155,Croatia,4620030.0,11038.452276899749,41.272175600515915,0.37389458744036524
HUN,1995,Total,872237628.5261587,Hungary,10328965.0,17080.576305854764,84.44579186067129,0.49439661957849484
IDN,1995,Total,20306006560.29655,Indonesia,199888057.0,4183.729449020833,101.58689250902344,2.428142014125674
IND,1995,Total,21854396851.061802,India,960301044.0,2304.796675407815,22.75786013938958,0.9874129194221769
IRL,1995,Total,270990500.0,Ireland,3608841.0,45247.67153546607,75.09072857463103,0.1659549011616506
