month,zone_class,trips,sum_fare,sum_pay,sum_cbd,fare_per_trip,pay_per_trip,cbd_fee_per_trip
2021-11-01,airport,379912,18009342.66,15579430.2,0.0,47.403984764892925,41.00799711512139,0.0
2021-11-01,buffer,472303,12110679.0,9916207.120000001,0.0,25.641757515831998,20.995435387876004,0.0
2021-11-01,cbd,3278188,85858534.49,69860286.53,0.0,26.190851314811717,21.310640674055303,0.0
2021-11-01,outer_borough,6463131,124770999.41,105272170.29,0.0,19.30503952496089,16.28810715580421,0.0
2021-11-01,upper_manhattan,1258063,28232388.490000002,23590383.96,0.0,22.441156357034586,18.751353437784914,0.0
2021-12-01,airport,358461,16483259.83,13549490.879999999,0.0,45.98341194718533,37.79906567241624,0.0
2021-12-01,buffer,453947,11693622.61,9395892.719999999,0.0,25.759885206863355,20.69821525420368,0.0
2021-12-01,cbd,3147420,83048081.03,66421178.71,0.0,26.3860816255854,21.103373146894917,0.0
2021-12-01,outer_borough,6615504,124230490.83,102008323.32,0.0,18.778688793778976,15.419584557729841,0.0
2021-12-01,upper_manhattan,1260223,27669813.84,22502403.37,0.0,21.956283800565455,17.85589008453266,0.0
2022-01-01,airport,296024,13007621.41,10606960.74,0.0,43.94110413344864,35.83142157392644,0.0
2022-01-01,buffer,401461,8527523.81,6764772.88,0.0,21.24122594722775,16.85038616453404,0.0
2022-01-01,cbd,2752887,57249478.43,45248382.35,0.0,20.79615996951564,16.436701669919614,0.0
2022-01-01,outer_borough,6222188,112093545.43,91694081.14,0.0,18.015133170196723,14.73662980610679,0.0
2022-01-01,upper_manhattan,1185205,22942989.63,18521940.55,0.0,19.35782386169481,15.627626064689231,0.0
2022-02-01,airport,304321,13973521.350000001,11434235.260000002,0.0,45.91704598105291,37.572941926452664,0.0
2022-02-01,buffer,442398,10412547.79,8009369.25,0.0,23.536606833665612,18.104442718999636,0.0
2022-02-01,cbd,3261031,76579990.16,58659775.3,0.0,23.48336773247479,17.988107227438192,0.0
2022-02-01,outer_borough,6215696,118018801.19,92867394.29,0.0,18.98722221775325,14.940787691354275,0.0
2022-02-01,upper_manhattan,1247042,26578623.67,20599220.11,0.0,21.31333481149793,16.518465384485847,0.0
2022-03-01,airport,423077,21220542.39,17538552.240000002,0.0,50.15763652952063,41.45475230277231,0.0
2022-03-01,buffer,504963,12773259.280000001,10012524.39,0.0,25.295436061652044,19.828233731976404,0.0
2022-03-01,cbd,3756089,96248496.36,75222219.45,0.0,25.624658084512905,20.0267404339993,0.0
2022-03-01,outer_borough,7094754,140460461.49,116493105.71,0.0,19.797791648589932,16.41961168914384,0.0
2022-03-01,upper_manhattan,1390078,31457650.57,25326152.57,0.0,22.6301333953922,18.219231273353007,0.0
2022-04-01,airport,455343,23969287.53,19585179.47,0.0,52.64007029865398,43.01192610845011,0.0
2022-04-01,buffer,506583,13858817.09,10747183.1,0.0,27.3574460453667,21.215048866622052,0.0
2022-04-01,cbd,3739322,105247572.27,81278278.36,0.0,28.14616453731452,21.73610038397335,0.0
2022-04-01,outer_borough,6954451,143589288.27,117028954.03,0.0,20.647106187102334,16.82792128810743,0.0
2022-04-01,upper_manhattan,1388279,33146450.68,26353859.05,0.0,23.875928887493075,18.983114381187068,0.0
2022-05-01,airport,508244,28012701.48,22664469.95,0.0,55.1166398029293,44.59367931544691,0.0
2022-05-01,buffer,536981,15660503.49,12225092.99,0.0,29.163980643635437,22.766341807252026,0.0
2022-05-01,cbd,3814095,114805562.69,89133316.83,0.0,30.100341677383494,23.369453783925152,0.0
2022-05-01,outer_borough,7098716,152959923.57,125332320.29,0.0,21.5475479748732,17.65563241155161,0.0
2022-05-01,upper_manhattan,1401097,36004259.63,28737768.91,0.0,25.697192721132087,20.51090603291564,0.0
2022-06-01,airport,478082,26594943.73,21349904.88,0.0,55.62841464434972,44.657412075752696,0.0
2022-06-01,buffer,516846,14615840.15,11423522.84,0.0,28.278907353447643,22.102372544239483,0.0
2022-06-01,cbd,3787090,110647097.98,86446399.31,0.0,29.216917997723847,22.82660282961324,0.0
2022-06-01,outer_borough,6967809,148442072.29,122134645.78,0.0,21.303981250060097,17.528414711138034,0.0
2022-06-01,upper_manhattan,1331470,32945770.41,26352944.29,0.0,24.74390741811682,19.792368051852463,0.0
2022-07-01,airport,465070,25261841.5,19699743.77,0.0,54.31836390220827,42.35866379254736,0.0
2022-07-01,buffer,459855,12256059.3,9216462.82,0.0,26.6520083504583,20.042106359613356,0.0
2022-07-01,cbd,3640214,97862131.56,73374380.63,0.0,26.8836204574786,20.156611844798135,0.0
2022-07-01,outer_borough,6784983,142024512.19,115863048.13,0.0,20.93218394062299,17.07639475736343,0.0
2022-07-01,upper_manhattan,1257894,30073635.2,23587302.31,0.0,23.907924833094043,18.75142286233975,0.0
2022-08-01,airport,495624,26809595.810000002,20919277.04,0.0,54.09261014398012,42.207958129549816,0.0
2022-08-01,buffer,456113,12187384.940000001,8952984.7,0.0,26.72009993137666,19.62887420441864,0.0
2022-08-01,cbd,3526601,95185986.66,69879920.26,0.0,26.990857956428865,19.815091148672618,0.0
2022-08-01,outer_borough,6780604,141806764.91,113768849.07,0.0,20.91358895313751,16.778571506314186,0.0
2022-08-01,upper_manhattan,1273868,30083552.92,23177246.73,0.0,23.61591069090361,18.194386490594002,0.0
2022-09-01,airport,529950,28940998.42,23873506.54,0.0,54.610809359373526,45.048601830361356,0.0
2022-09-01,buffer,507189,15003788.06,11744395.08,0.0,29.582242635388386,23.155855272886438,0.0
2022-09-01,cbd,3835742,116928143.11,89805761.47,0.0,30.48383940056448,23.41287851737682,0.0
2022-09-01,outer_borough,6737753,145376467.1,119735030.99,0.0,21.57640196961806,17.77076586066601,0.0
2022-09-01,upper_manhattan,1321118,33169780.45,26668344.96,0.0,25.10735638300288,20.18619454129003,0.0
2022-10-01,airport,529665,28441363.67,23002325.060000002,0.0,53.696890808341124,43.428063134245235,0.0
2022-10-01,buffer,577398,15964946.84,12753798.49,0.0,27.649813196443354,22.088400877730784,0.0
2022-10-01,cbd,4249815,119887265.03,95383276.65,0.0,28.209996206893713,22.44410089615666,0.0
2022-10-01,outer_borough,7303343,150841832.41,125415240.12,0.0,20.653806402081894,17.172305904296156,0.0
2022-10-01,upper_manhattan,1475530,35209115.96,28813977.6,0.0,23.8620129445013,19.52788326906264,0.0
2022-11-01,airport,499113,26176829.19,20828727.549999997,0.0,52.44669882371327,41.73148675750781,0.0
2022-11-01,buffer,538292,14804609.19,11430079.43,0.0,27.502933705126583,21.233976039027144,0.0
2022-11-01,cbd,3774525,106201675.02,81511867.6,0.0,28.13643439108232,21.595264993608467,0.0
2022-11-01,outer_borough,6798419,137796920.99,110600830.36,0.0,20.268965621271654,16.268610446046353,0.0
2022-11-01,upper_manhattan,1389238,33178037.97,25997884.240000002,0.0,23.882184312551196,18.71377275887933,0.0
2022-12-01,airport,475218,25055618.3,19850344.42,0.0,52.72447234742792,41.77102807553586,0.0
2022-12-01,buffer,580631,17273592.19,13230786.29,0.0,29.749689889103408,22.78690991352511,0.0
2022-12-01,cbd,4141433,126364391.33,96060708.39,0.0,30.51223847639211,23.195041037727762,0.0
2022-12-01,outer_borough,7363704,150188883.72,118183491.27,0.0,20.395833906414488,16.049462508270295,0.0
2022-12-01,upper_manhattan,1482874,37092058.05,28599491.89,0.0,25.013627624464384,19.28652865314248,0.0
2023-01-01,airport,506441,25063530.54,20225539.41,0.0,49.489536866091015,39.936615341174985,0.0
2023-01-01,buffer,540742,12993097.57,9927458.27,0.0,24.028275166345505,18.35895541681615,0.0
2023-01-01,cbd,3860488,94474572.39999999,71736253.35,0.0,24.47218393115067,18.582172344532605,0.0
2023-01-01,outer_borough,7254919,135514004.57,111338809.84,0.0,18.678913516470686,15.346664771860306,0.0
2023-01-01,upper_manhattan,1451720,30532893.44,24213357.11,0.0,21.032219326040835,16.67908213016284,0.0
2023-02-01,airport,433233,22600282.380000003,18129365.82,0.0,52.166576368836175,41.84668716372022,0.0
2023-02-01,buffer,525312,13140139.71,10059292.059999999,0.0,25.013972096582606,19.149176222892297,0.0
2023-02-01,cbd,3850351,96970142.27,74331081.42999999,0.0,25.18475387568562,19.30501438180571,0.0
2023-02-01,outer_borough,7073820,137971669.22,113453660.52,0.0,19.50454905835885,16.03852805414896,0.0
2023-02-01,upper_manhattan,1430708,31513217.0,24989758.67,0.0,22.02630935173355,17.466707860723503,0.0
2023-03-01,airport,532724,29171371.549999997,23577291.39,0.0,54.75888368085537,44.257986105375394,0.0
2023-03-01,buffer,559663,15139376.629999999,11597504.37,0.0,27.05087995811765,20.722299616018923,0.0
2023-03-01,cbd,4097896,113020251.74,86183231.81,0.0,27.580068342388387,21.03109298283802,0.0
2023-03-01,outer_borough,7865194,160256513.17,131127364.05,0.0,20.37540500208895,16.6718537457563,0.0
2023-03-01,upper_manhattan,1533342,36039244.33,28588584.7,0.0,23.503722150700884,18.644623769517825,0.0
2023-04-01,airport,518661,29559545.17,23998043.72,0.0,56.99203365975078,46.269227337316664,0.0
2023-04-01,buffer,544382,15448796.54,11681415.33,0.0,28.37859543482334,21.45812192541267,0.0
2023-04-01,cbd,3941149,112509478.3,85246867.74,0.0,28.547380040693717,21.629953026389003,0.0
2023-04-01,outer_borough,7513172,156850099.49,130208495.76,0.0,20.876681578699383,17.330695445279304,0.0
2023-04-01,upper_manhattan,1515986,36466684.21,29010365.599999998,0.0,24.05476317723251,19.136301786428106,0.0
2023-05-01,airport,574751,33170807.08,26787692.21,0.0,57.71335253005214,46.60747386259441,0.0
2023-05-01,buffer,553456,16899021.990000002,12558601.32,0.0,30.533632285131976,22.69123709924547,0.0
2023-05-01,cbd,3879874,120442632.24,89646726.95,0.0,31.042923620715516,23.105576869248846,0.0
2023-05-01,outer_borough,7776009,165294683.72,136573286.11,0.0,21.257007768380927,17.563416671714243,0.0
2023-05-01,upper_manhattan,1529978,39097022.35,30754040.42,0.0,25.553976821888945,20.100969046613745,0.0
2023-06-01,airport,532821,31401966.09,24959961.79,0.0,58.93530114240993,46.84492876594579,0.0
2023-06-01,buffer,530252,16084755.74,11714629.01,0.0,30.33417269524679,22.092569212374492,0.0
2023-06-01,cbd,3791845,116056436.83,84177387.59,0.0,30.60685150105028,22.199585581689124,0.0
2023-06-01,outer_borough,7565781,162725868.48,131809148.92,0.0,21.508138879515542,17.421750500047516,0.0
2023-06-01,upper_manhattan,1426723,36091572.17,27840186.42,0.0,25.296832090041306,19.513378854900356,0.0
2023-07-01,airport,540276,30800677.959999997,24633600.18,0.0,57.00915450621534,45.5944742687071,0.0
2023-07-01,buffer,489753,13804037.370000001,10090995.2,0.0,28.185712736828567,20.604253981088426,0.0
2023-07-01,cbd,3720579,105039824.2,76674334.73,0.0,28.232117689209126,20.608172741393208,0.0
2023-07-01,outer_borough,7635393,158284818.62,131036479.04,0.0,20.730408849943938,17.1617202991385,0.0
2023-07-01,upper_manhattan,1382813,32861792.08,25825841.48,0.0,23.764451216469617,18.676307989583552,0.0
2023-08-01,airport,539658,30735322.28,24314719.4,0.0,56.953333926301475,45.05579348402136,0.0
2023-08-01,buffer,455099,13105780.1,9492762.57,0.0,28.797646446157867,20.85867595841784,0.0
2023-08-01,cbd,3390387,96947756.39,70277908.46,0.0,28.59489385430041,20.728580088349794,0.0
2023-08-01,outer_borough,7460885,155294394.23,129341059.3,0.0,20.81447364890358,17.335887002681318,0.0
2023-08-01,upper_manhattan,1333108,31809952.83,25111851.71,0.0,23.861497215529422,18.837072247709862,0.0
2023-09-01,airport,563100,33181769.240000002,26811720.85,0.0,58.92695656188955,47.61449271887764,0.0
2023-09-01,buffer,538436,17507768.560000002,12880987.33,0.0,32.515969511696845,23.922968245065338,0.0
2023-09-01,cbd,3958231,128038502.18,94353360.9,0.0,32.347405237339615,23.837254798924068,0.0
2023-09-01,outer_borough,7826154,169278093.28,144028328.87,0.0,21.629793290548587,18.403462143729858,0.0
2023-09-01,upper_manhattan,1462152,37935332.26,30253259.53,0.0,25.944862271501183,20.69091279839579,0.0
2023-10-01,airport,583467,34613738.010000005,27061041.82,0.0,59.32424286206419,46.37972982190938,0.0
2023-10-01,buffer,557525,17711743.34,12518949.21,0.0,31.768518613515088,22.454507349446214,0.0
2023-10-01,cbd,3967023,127214361.15,90850115.36,0.0,32.0679666213178,22.901333155870283,0.0
2023-10-01,outer_borough,7806402,169349858.63,138909950.89,0.0,21.693714803567634,17.79436299719128,0.0
2023-10-01,upper_manhattan,1497172,38116304.62,29262568.94,0.0,25.458868199512146,19.54522856425314,0.0
2023-11-01,airport,553871,32210958.08,25303658.130000003,0.0,58.15606536540096,45.68511102765807,0.0
2023-11-01,buffer,528799,16906748.1,11746538.82,0.0,31.971974417500792,22.213617688384435,0.0
2023-11-01,cbd,3689419,117317235.27,81677497.67,0.0,31.79829541453546,22.13830895054208,0.0
2023-11-01,outer_borough,7605050,158079580.86,131158723.67,0.0,20.78613301161728,17.24626710804005,0.0
2023-11-01,upper_manhattan,1446819,36325499.27,27890318.560000002,0.0,25.107148350968576,19.276992187688993,0.0
2023-12-01,airport,508520,30852801.68,23546892.11,0.0,60.67175662707465,46.304751258554234,0.0
2023-12-01,buffer,524473,17910249.27,12483493.26,0.0,34.149039645510825,23.801975049239903,0.0
2023-12-01,cbd,3796954,130446373.58,91542903.52,0.0,34.355531718319476,24.109563486942427,0.0
2023-12-01,outer_borough,8009605,170406600.78,138721008.36,0.0,21.275281462693854,17.319332021991098,0.0
2023-12-01,upper_manhattan,1473321,38649275.06,29275341.95,0.0,26.232759228979972,19.870307930179507,0.0
2024-01-01,airport,533951,31558424.36,23394429.71,0.0,59.10359632250899,43.81381383310454,0.0
2024-01-01,buffer,535705,15131291.42,10400366.83,0.0,28.245566907159724,19.414354598146367,0.0
2024-01-01,cbd,3803073,107246555.42,73888700.66,0.0,28.199972869308585,19.428683241157874,0.0
2024-01-01,outer_borough,8062975,162337199.65,133179066.52,0.0,20.133660299083157,16.517360716112847,0.0
2024-01-01,upper_manhattan,1535370,35737458.01,27182869.87,0.0,23.276121071793767,17.704442492689058,0.0
2024-02-01,airport,492226,29454061.68,21851008.97,0.0,59.83849223730563,44.392228305696975,0.0
2024-02-01,buffer,514085,15024206.99,10585209.78,0.0,29.22514173726135,20.590388320997498,0.0
2024-02-01,cbd,3766756,108675649.98,77146649.84,0.0,28.85125821263708,20.4809257196378,0.0
2024-02-01,outer_borough,8147114,165021637.12,141312413.33,0.0,20.255226221211586,17.34508849759559,0.0
2024-02-01,upper_manhattan,1526841,36109126.3,28545920.54,0.0,23.64956554087819,18.696066283260667,0.0
2024-03-01,airport,559860,36002649.47,26165329.07,0.0,64.30652211267102,46.73548578215983,0.0
2024-03-01,buffer,532674,16492590.52,11236960.1,0.0,30.9618838539144,21.095379350221712,0.0
2024-03-01,cbd,3924674,121276645.36,83229083.77,0.0,30.901074932593126,21.206623472420894,0.0
2024-03-01,outer_borough,9057448,190350297.8,155671907.23,0.0,21.01588635121063,17.18717095919292,0.0
2024-03-01,upper_manhattan,1588594,39713599.23,30168983.29,0.0,24.999212655971252,18.99099662342927,0.0
2024-04-01,airport,573298,36484157.21,26398359.11,0.0,63.63907986771278,46.04648735910469,0.0
2024-04-01,buffer,523103,16324794.43,11104988.41,0.0,31.207610030911695,21.22906657006364,0.0
2024-04-01,cbd,3727222,116405851.15,79905892.25,0.0,31.231263163288908,21.438457985598927,0.0
2024-04-01,outer_borough,8372377,175768961.77,143516175.03,0.0,20.993913887298675,17.14162836073913,0.0
2024-04-01,upper_manhattan,1547301,38364485.2,29106123.97,0.0,24.79445511894583,18.81089973444081,0.0
2024-05-01,airport,627462,40820969.43,30011285.03,0.0,65.05727746062709,47.82964550841326,0.0
2024-05-01,buffer,559809,18653138.080000002,12816206.15,0.0,33.320539826976706,22.893890862776413,0.0
2024-05-01,cbd,3957829,132173458.6,91183970.35,0.0,33.395444472209384,23.038885800776132,0.0
2024-05-01,outer_borough,8832318,191217872.78,157231107.17,0.0,21.649794853400884,17.80179418019143,0.0
2024-05-01,upper_manhattan,1602213,42271774.44,32262736.12,0.0,26.383367529785364,20.136358973494787,0.0
2024-06-01,airport,587066,38608562.31,28417708.240000002,0.0,65.76528415885097,48.4063261030276,0.0
2024-06-01,buffer,511134,16873046.98,11641326.76,0.0,33.01100490282392,22.775488932452156,0.0
2024-06-01,cbd,3776925,125027398.59,86492144.07000001,0.0,33.10296036855379,22.900148684445682,0.0
2024-06-01,outer_borough,8826923,191721315.51,159599696.91,0.0,21.720062077124723,18.08101157220925,0.0
2024-06-01,upper_manhattan,1498618,38918000.0,30138343.96,0.0,25.969259677916586,20.110758018387607,0.0
2024-07-01,airport,573412,34705414.010000005,25758911.76,0.0,60.52439434472945,44.922170725412094,0.0
2024-07-01,buffer,472433,14657417.17,10080222.879999999,0.0,31.025388086776324,21.336830577034203,0.0
2024-07-01,cbd,3582819,109792905.24,75801273.11,0.0,30.64427905512391,21.15688040897405,0.0
2024-07-01,outer_borough,8312506,175673305.8,145979347.69,0.0,21.133615518593313,17.561412610108192,0.0
