hour,margin,fpm,pph,n
0,0.20351897017218826,7.0559695871451815,67.02364086938685,152161
1,0.20814192000564233,6.654699424346996,66.0137123295436,74897
2,0.21468504535753385,6.448109264769043,68.6023946690316,54793
3,0.21607523686206856,6.015684027001614,70.48508183057034,48658
4,0.2416297857103128,5.885589993321199,73.20441891537901,39592
5,0.24021103044551756,5.63643557693921,71.62690528038215,45641
6,0.2144497223873526,5.986374559697826,66.52392561964162,104102
7,0.21430150965700312,7.006536264034344,63.638747214612216,124605
8,0.20986573593810892,7.9941480977675425,62.71218262828057,140791
9,0.22727821799744388,7.774260971905733,60.19139980690327,108522
10,0.22745821276715625,7.617818890326412,59.15916366038038,156148
11,0.22493185287902084,7.620436680523984,58.7369905450371,119398
12,0.21313305798375964,7.906226457961392,59.21009897791921,101781
13,0.21672985319414576,7.873227514153635,58.651117544577026,98395
14,0.22426131552941939,8.095672399678365,57.08040155976998,93874
15,0.2060615989653628,8.278368863070337,58.267153981252726,79531
16,0.1988681692778838,8.240947872873958,56.80464012019215,162158
17,0.20610977350491,8.419349166961556,57.49319799422613,167765
18,0.20994311066973975,8.364273807679606,59.20619038643351,146761
19,0.21668345524679578,7.860097136978353,61.20632364091059,102887
20,0.19854300066905814,7.242570844007709,61.509924366515115,193250
21,0.22155214645583673,7.387622938592418,63.49546001773983,142319
22,0.21116919884683238,7.209594220562245,64.38124236153837,136443
23,0.21397411536479488,6.706025640482562,64.08539068548222,92324
