month,control,treat,gap
2019-02-01,13.438521831656846,19.84266144255192,6.404139610895072
2019-03-01,12.77149481100775,19.191523199021884,6.420028388014133
2019-04-01,13.83894440980296,19.800594987504454,5.961650577701494
2019-05-01,15.04878561870366,21.595227379856556,6.546441761152897
2019-06-01,15.9967654541601,24.698650150723495,8.701884696563395
2019-07-01,15.226546117065372,21.196674866152506,5.970128749087134
2019-08-01,15.7309216627235,21.96094716329691,6.2300255005734115
2019-09-01,15.977400395795597,23.40500579343446,7.427605397638862
2019-10-01,15.50585613370473,21.920863440704757,6.415007307000026
2019-11-01,13.665754965451876,22.69147974355293,9.025724778101052
2019-12-01,14.866488844259706,26.857632987421503,11.991144143161797
2020-01-01,14.082454497175897,21.447478782172393,7.365024284996496
2020-02-01,13.531113117939446,21.28160491905192,7.750491801112473
2020-03-01,13.575989946834069,21.027263107527833,7.4512731606937646
2020-04-01,15.110806027851362,20.913643708314748,5.802837680463385
2020-05-01,15.879249470999708,21.54152518543406,5.662275714434353
2020-06-01,18.760536384347986,24.568487544793882,5.807951160445896
2020-07-01,17.98549087617301,21.709135878294102,3.723645002121092
2020-08-01,16.780575722042272,20.529883102236656,3.7493073801943844
2020-09-01,16.434702296421438,19.625091838472112,3.1903895420506743
2020-10-01,16.36159533859449,20.31941885468817,3.957823516093679
2020-11-01,17.224792134839774,20.896715684918128,3.671923550078354
2020-12-01,15.997987285054299,19.596545854059926,3.598558569005627
2021-01-01,15.830658412875877,19.707047950450836,3.8763895375749584
2021-02-01,18.74639013718138,22.224665803195577,3.4782756660141985
2021-03-01,18.77654792960877,23.070205780386697,4.293657850777926
2021-04-01,19.39069035355954,24.262623752530676,4.871933398971137
2021-05-01,19.968004016633632,25.78538034478829,5.817376328154658
2021-06-01,22.976026280273963,27.677691026637113,4.70166474636315
2021-07-01,21.093396762288435,27.840679225240013,6.747282462951578
2021-08-01,21.03998883060095,27.691954858676212,6.651966028075261
2021-09-01,22.339587862756474,29.601206660521566,7.261618797765092
2021-10-01,19.372698208069874,25.403622778887303,6.0309245708174295
2021-11-01,20.026800145105604,25.949759212846523,5.922959067740919
2021-12-01,19.47089414384152,27.315013168936755,7.844119025095235
2022-01-01,18.277845722124678,22.24237672868436,3.9645310065596817
2022-02-01,19.536903061369582,23.96038041215981,4.423477350790229
2022-03-01,20.612697408159598,24.88733524672651,4.274637838566914
2022-04-01,21.72770416904492,31.652405118188756,9.924700949143837
2022-05-01,23.270133613679683,33.37804667551372,10.10791306183404
2022-06-01,22.146878028184307,28.834274279082447,6.687396250898139
2022-07-01,21.721278261802542,28.553431284014398,6.832153022211855
2022-08-01,21.948504643821526,27.656592067891996,5.70808742407047
2022-09-01,22.59244132192193,31.27027835064118,8.67783702871925
2022-10-01,21.60828387407188,30.19029593415402,8.582012060082139
2022-11-01,21.170368127334218,27.1215137827439,5.951145655409682
2022-12-01,21.33777090689123,31.006838812414077,9.669067905522848
2023-01-01,20.215118754614725,27.494791343805055,7.27967258919033
2023-02-01,20.532084181313994,26.313819329233684,5.78173514791969
2023-03-01,21.415714331576176,27.787201237265293,6.3714869056891175
2023-04-01,21.793427818069304,30.771608372361435,8.97818055429213
2023-05-01,22.787529051322316,31.44926905515513,8.661740003832815
2023-06-01,22.275207340566666,31.827901103270918,9.552693762704251
2023-07-01,21.80285807986627,30.691962599975525,8.889104520109257
2023-08-01,22.033846473958977,28.505095958526205,6.4712494845672275
2023-09-01,22.75130853865881,34.73009198670195,11.978783448043139
2023-10-01,23.25574752002982,33.744000408323465,10.488252888293644
2023-11-01,21.888337456460288,30.682942583099805,8.794605126639517
2023-12-01,22.60668145969642,36.699760865000194,14.093079405303772
2024-01-01,21.79170217119505,28.550841471156065,6.759139299961017
2024-02-01,21.22314561015914,30.456321859563026,9.233176249403886
2024-03-01,22.439771933769006,33.369861473475446,10.93008953970644
2024-04-01,21.929475318356097,31.08750476070748,9.158029442351381
2024-05-01,23.140150489255046,33.17714776912298,10.036997279867936
2024-06-01,22.826926962597952,34.362112289613655,11.535185327015704
2024-07-01,22.353693911983747,29.559941878761364,7.206247966777617
2024-08-01,22.952380408444835,33.108292169219375,10.15591176077454
2024-09-01,23.836409624950836,37.70188405079054,13.865474425839704
2024-10-01,22.90774198229561,33.660544928503185,10.752802946207574
2024-11-01,22.47602771035226,36.811199865558194,14.335172155205935
2024-12-01,23.072781471792258,39.917714590887144,16.844933119094886
2025-01-01,20.723443700292965,30.412494247025815,9.689050546732851
2025-02-01,21.958900371441647,33.83216558838561,11.87326521694396
2025-03-01,24.381120671803433,40.18428098535407,15.803160313550638
2025-04-01,22.868493865606823,33.43888208434978,10.570388218742956
2025-05-01,23.948267074493206,40.40351394254476,16.455246868051557
2025-06-01,24.712893106743213,41.51336362245687,16.80047051571366
2025-07-01,22.932029022848152,33.76300647883672,10.83097745598857
2025-08-01,22.895346540476755,35.94481072457931,13.049464184102558
2025-09-01,24.356032783960384,36.91679640884263,12.560763624882245
2025-10-01,22.919856462339926,34.715124153828306,11.79526769148838
2025-11-01,22.85345718317964,40.082840050591706,17.229382867412067
2025-12-01,22.12310005916882,38.490168401557405,16.367068342388585
2026-01-01,22.37518229073375,39.32224028405022,16.947057993316466
2026-02-01,23.040454662156016,38.795536768375314,15.755082106219298
2026-03-01,24.024078924189144,40.95625671087065,16.932177786681503
2026-04-01,22.26627481824817,35.36973083890589,13.103456020657717
