zone_class,pool_req,pool_match,n
airport,0.01151977299639212,0.006516424745668626,158077
cbd,0.030365032609851395,0.017462726295460727,513330
buffer,0.0260944866041267,0.013992813849763306,84683
upper_manhattan,0.04098714825618493,0.01973690082271874,123170
outer,0.049296322446221875,0.02315239672153136,725834
