month,n_trips,mean_margin,p10,p25,p50,p75,p90,p95,p99,sd_margin,sum_fare,sum_pay,frac_below_5pct,frac_above_30pct,frac_above_40pct,frac_negative,margin_revenue_weighted
2019-02-01,13332145,-0.1333217711594611,-0.7286821705426357,-0.2577854671280276,0.059534883720930284,0.20437158469945355,0.2781065088757397,0.33134684147794996,0.4546075679463814,0.6611253005609783,211159210.57019496,207652314.87390217,0.48832734717481696,0.0757197735248154,0.020181448671612857,0.43306324676186764,0.016607827273189213
2019-03-01,17081550,-0.18743090290388698,-0.6858573216520651,-0.3188073394495412,-0.07455570004334629,0.13974852518850983,0.24930362116991645,0.29628640790559413,0.42945544554455445,0.6194746098570549,259986674.16066983,272594026.97874403,0.6417897087793555,0.04777060629743788,0.013952012551554161,0.584761336061423,-0.04849230391817283
2019-04-01,15497664,-0.13025197857724,-0.6763848396501457,-0.2629126410244814,0.03028571428571435,0.19493177387914232,0.27725856697819323,0.3312655086848636,0.45648168999797073,0.6156669049900457,249569843.86063483,247923534.97871804,0.5232071749652076,0.07526463343120615,0.020219434361204373,0.46747613059619825,0.006596585775147323
2019-05-01,15739336,-0.027676329294469216,-0.4666973756973119,-0.1347368421052631,0.09259259259259271,0.22190201729106626,0.2973830293417922,0.35214007782101164,0.4861111111111111,0.4939816753361786,282583037.2914453,270295552.3285495,0.4375850417069691,0.09629618428630025,0.027365576286064418,0.3757332583788795,0.0434827407924806
2019-06-01,14283784,0.03523322341659963,-0.37499999999999994,-0.0649350649350648,0.1304655067075042,0.26854020296643255,0.3351230425055929,0.3849721706864564,0.5082781456953642,0.43631926964844314,270892709.40152305,246618617.04983246,0.38006175394419295,0.154058616400248,0.04047316873455942,0.31587358083824285,0.08960777277955834
2019-07-01,13264715,-0.0024201587393263705,-0.4607046070460704,-0.11199999999999992,0.09636363636363642,0.26322930800542743,0.33210830958710197,0.3801801801801802,0.5019442889917293,0.47566235874639956,236292944.8820235,218876751.72124556,0.4252997520112569,0.14498449457828533,0.03748199640927076,0.3520036427469418,0.07370593806545311
2019-08-01,11520759,0.005911269610178646,-0.4607046070460704,-0.1004490483529547,0.1239669421487604,0.26835138387484964,0.33075142611632347,0.37894110648423557,0.499228894405448,0.4893496527804482,207439089.36187613,191284317.51411417,0.40444739795355494,0.147892078985421,0.03679609997917672,0.34012194856259037,0.07787718263446508
2019-09-01,13826474,0.025015239692116043,-0.4513201320132014,-0.0561194029850747,0.1610576923076923,0.2653301886792453,0.32625000000000004,0.3732014388489208,0.4902780947684789,0.48473712911559647,255648115.42223847,227899976.7000796,0.3560823967122782,0.1436101496303396,0.033445041736598936,0.29652599787914113,0.10854036094234043
2019-10-01,14364192,0.03909687771008247,-0.4811320754716982,-0.023419203747072726,0.1863057324840764,0.2646755921730176,0.3386503067484663,0.3854047890535918,0.4902459711620017,0.4822973182725657,261072511.36917758,222330424.66002372,0.306369616891782,0.16744060508241604,0.03889922941715065,0.26484503966530104,0.1483958862845174
2019-11-01,15469723,-0.06233355182280766,-0.6438492063492064,-0.2407407407407407,0.10693301997649826,0.24601769911504423,0.3257243195785778,0.3775981524249423,0.476820572336414,0.540424937878355,258187870.07368156,233073088.68814576,0.4394958461764312,0.13532000540669023,0.03462751078348333,0.39061972861440375,0.09727328157735904
2019-12-01,15975412,-0.011526461950906543,-0.5487179487179487,-0.1534508076358298,0.14105096799683922,0.2556818181818182,0.34487534626038785,0.3956111598442026,0.4848913704903327,0.4903189427152552,289830444.6718897,253080864.53531137,0.38725242266052357,0.16628071939553107,0.044155167954353855,0.34340428904118403,0.12679682487525312
2020-01-01,14465590,0.06030923206673993,-0.40653824256548965,-0.037087912087912026,0.1890867752936719,0.278384986548918,0.35893155258764614,0.4025099914135351,0.4990267448858437,0.4213783495673353,243752641.84112874,204181737.12003928,0.3163072505165707,0.2021371406212951,0.0533959555054443,0.2754883139920321,0.1623404137169544
2020-02-01,15618504,-0.06737016420381652,-0.6603174603174605,-0.23172804532577904,0.11494252873563221,0.24766355140186908,0.29357798165137616,0.33901808785529725,0.4376146788990826,0.53635211272325,246966368.4511907,226612188.4880604,0.41442535085306503,0.09095653463353469,0.018691226765380348,0.36871988507990267,0.0824168087775603
2020-03-01,9738028,-0.04018782810670976,-0.5770445264304664,-0.16527777777777783,0.11823361823361812,0.24999999999999994,0.30387205387205396,0.34848484848484856,0.43462445856628207,0.5092907300528633,152278670.22905636,139114076.5696625,0.40216078655760695,0.1058781100239186,0.01995712068192862,0.3531377194643515,0.08645067388355687
2020-04-01,3037209,0.2005217271624947,0.051835508661699406,0.17457886676875964,0.24965706447187933,0.2744903033316758,0.32620796072433556,0.3612565445026179,0.430232558139535,0.20082758334781903,48664082.649549074,38321738.67022289,0.09897837126124676,0.16293643275783787,0.02119643396289159,0.07645045171405722,0.21252520167298405
2020-05-01,4284817,0.2166545882282531,0.07547169811320745,0.19634263715110692,0.26171875,0.29324894514767935,0.34030817800890273,0.3708759954493742,0.43082706766917295,0.2117503678843653,73353703.1493084,56908019.00029448,0.08606972013040463,0.22346368584702683,0.023644183637247518,0.06717136344445983,0.22419705404019508
2020-06-01,5028638,0.1605208223151987,-0.08528051752480129,0.10345741198060124,0.22646657571623466,0.28621089223638474,0.3478260869565217,0.38391442155309025,0.43920498830865157,0.28302323869134793,97217996.74880484,78296914.87023352,0.18726402656146654,0.21014159301186525,0.03259510825794181,0.14645933948715337,0.19462530098681474
2020-07-01,6992637,0.086428761719231,-0.15851851851851856,0.00736235595390515,0.13347457627118642,0.22411347517730498,0.2907980601564931,0.33532344562542393,0.40229651819563095,0.24007805891807676,131183686.97791554,112272056.76010354,0.3177831195870742,0.08714366268404895,0.010817807359369576,0.23931887212220512,0.14416144761197125
2020-08-01,7777877,0.1268982959628076,-0.1327433628318585,0.0648357870894677,0.18497913769123783,0.2634200332042059,0.3222302679217959,0.36367470909144745,0.4383468843428598,0.25905242345515667,137947845.7586472,117367268.28066729,0.23022992006687687,0.15448585777327156,0.023744397089334273,0.1776954045429106,0.14919100305478916
2020-09-01,8761994,0.1232221592848135,-0.25,0.024590163934426125,0.22116301239275502,0.31731984829329957,0.3779816513761468,0.4118673647469459,0.4809731946184975,0.32954704465425827,153411448.01923013,132350095.53182326,0.27386950961162493,0.2999688198827801,0.06383352921720786,0.2300535699978795,0.13728670682234112
2020-10-01,9714045,0.15535232252091136,-0.12116991643454053,0.07297726070861972,0.22026022304832707,0.30880713489409145,0.3679291687161829,0.40171858216971,0.47368421052631576,0.27428366967669204,171451690.50967503,143840981.15158767,0.22167943426245196,0.27449666951306073,0.052151086390890715,0.17374131991358904,0.16104075308915833
2020-11-01,8307140,0.19310912579375294,-0.048979693319396396,0.12584573748308522,0.24791666666666667,0.31858407079646023,0.37931034482758613,0.41142443962400577,0.4786117836965295,0.24426451430696322,149308395.5387237,121491580.88181968,0.16363044320909484,0.35153590766497256,0.0633896864624889,0.12625560662273658,0.1863044241855082
2020-12-01,8412927,0.15964289638643608,-0.08009422850412246,0.08291266555680754,0.21005154639175258,0.3063608376134631,0.3601423487544484,0.39232409381663114,0.4610281923714759,0.2642452275114719,145379394.78862822,121151298.60134389,0.20247019854088832,0.26560743959860816,0.042287066082945926,0.15307133890499702,0.16665426501816394
2021-01-01,8622409,0.16427415558147176,-0.07475712753812364,0.08587257617728533,0.21190965092402464,0.3104448742746615,0.3639398998330551,0.395498108422081,0.46610169491525427,0.25480517659888424,145663658.72878143,120689939.85198411,0.19824262569776033,0.2755927026890049,0.04513866136482275,0.15043962771888925,0.17144783465378388
2021-02-01,8216136,0.12569361632201723,-0.16519108721268985,0.03908045977011493,0.18851013346822518,0.29749768303985163,0.3722563652326602,0.4114003487400555,0.5027195027195026,0.3250108481258049,155148099.27903914,132539222.43078576,0.2627598910241992,0.24507542231530735,0.06097160514382917,0.20876589676704474,0.1457244848845396
2021-03-01,10081731,0.13265817366013208,-0.12541254125412554,0.04738955823293172,0.1792792792792793,0.2795373867757104,0.3491561181434599,0.39233226837060703,0.47444169961610655,0.2852390244669886,194030543.3983479,163394570.27076924,0.2534880170875418,0.20551530287804742,0.04366462465622223,0.1937422254174407,0.15789252862464298
2021-04-01,10154636,0.16289364878203025,-0.06953642384105951,0.08975979772439949,0.20532585844428872,0.2950397527381728,0.35958904109589035,0.4024390243902439,0.4806338028169014,0.2715336629022633,211086615.95805982,172243725.540587,0.1964608086395219,0.23839072124298694,0.052092167557753914,0.14673514639027926,0.1840139899025639
2021-05-01,10718909,0.13958569893036488,-0.10453949270047015,0.061196105702364445,0.18338727076591146,0.27776207968352645,0.34795042897998096,0.3924185048584407,0.47234285865411296,0.2841099930228163,239731208.99836433,200179296.80029842,0.2341043290879697,0.20040332462940025,0.04375324018517183,0.1753567457285065,0.16498441051259105
2021-06-01,10648380,0.1388587609777444,-0.11860253792055411,0.057966771244890615,0.18473600117093278,0.2831858407079646,0.36208237426678697,0.4102833158447009,0.4769955137133385,0.3004274905144428,254081991.6385583,211238295.34031373,0.23941961124602992,0.21533247310858553,0.058804813502147744,0.1827778497762101,0.1686215383544042
2021-07-01,10625480,0.15931411154978406,-0.08665292271163662,0.08272859216255435,0.2059386973180077,0.2990469930989156,0.37166863854358456,0.4199103890170744,0.49283213805792037,0.2980451568409029,250320416.4887974,202087179.54017884,0.20797771018344582,0.24744830351193547,0.06733916961869017,0.15785131589349374,0.19268598872268639
2021-08-01,10121214,0.14351270498458768,-0.1339013998782714,0.05983325159391853,0.19967532467532473,0.29827798277982787,0.3752988047808765,0.4289822460345079,0.5074285024539059,0.33598240838862037,236741460.76876903,193257200.16029313,0.2382325875137113,0.245662229847131,0.07353880670836523,0.18669637851743873,0.18367826432797085
2021-09-01,10482675,0.10944489141798679,-0.16687737041719347,0.01264222503160563,0.16037409075164538,0.27053549388226683,0.3498190591073582,0.40084388185654013,0.4790257104194858,0.3398781565313822,254510537.837918,213868058.9401021,0.3006066676683194,0.18697841915350805,0.05060139706706542,0.23424526659464306,0.1596887863389711
2021-10-01,12001756,0.08279089134397905,-0.18584070796460184,-0.015777610818933065,0.1275094953879545,0.2410458452722063,0.3198900091659029,0.37092663001333426,0.45502645502645506,0.3220921425158955,270872184.28764504,234928533.88009197,0.3486548135122894,0.13534419463285205,0.031706943550593766,0.27063689680076813,0.1326959816936527
2021-11-01,11726989,0.13835268907298687,-0.08508845829823097,0.06490026793688607,0.17726347914547302,0.26724137931034486,0.3358193578443035,0.3830830654540572,0.4651721708401202,0.29758121636473395,267133220.4473628,222800859.210011,0.2267557341445447,0.17124250734779406,0.03821833549941933,0.16447120398936163,0.16595600188965365
2021-12-01,11708672,0.1604678735737807,-0.03745019920318716,0.0913321698662014,0.19445514054678464,0.276595744680851,0.33805233805233803,0.38118811881188114,0.4602186242761757,0.2668541207820512,261297221.9767224,212563571.90989727,0.18527404303408618,0.18860524916916283,0.03623861015151846,0.12909089946323546,0.1865065755317007
2022-01-01,10750605,0.17751039200934635,-0.008352315869400108,0.11125158027812894,0.206266318537859,0.2847106055536969,0.34461538461538466,0.38766519823788553,0.46829753558068654,0.22609658448924944,212220956.44714856,171720161.00037575,0.1538669684171263,0.2104588532459336,0.04061436542408543,0.10581116132533937,0.19084258277225852
2022-02-01,11361437,0.21852796629972449,0.04026383311830462,0.155268022181146,0.2436454849498328,0.31731984829329957,0.3779174147217236,0.4215867158671587,0.49844585351321125,0.20188397520726303,243893810.29817992,190510845.56053084,0.10786443651450077,0.3069280760875583,0.07103406021615047,0.07310941388840161,0.21887789883795772
2022-03-01,13050609,0.1784863141500224,-0.009523809523809419,0.10189274447949528,0.20168776371308006,0.2871851040525739,0.3532804614275414,0.3994661921708185,0.4777562862669245,0.2157767852995726,300140655.3720246,243263985.9701948,0.16389419068489447,0.22075375946057382,0.04950834095175175,0.1078289909689272,0.189500050672346
2022-04-01,12928259,0.18686324085327882,-0.0232149127916049,0.10872313527180788,0.2195636875439831,0.3054545454545455,0.3735763097949886,0.420985333473776,0.49400798934753665,0.22851900706554104,317717684.2604956,253620529.3601456,0.1664695919226247,0.2638622106812681,0.06875125258551829,0.11707678504893815,0.20174248421059549
2022-05-01,13239248,0.17088473268216972,-0.045157184720627914,0.0942788074133763,0.20675453047775944,0.2974186307519641,0.3699717508884162,0.4179030662710188,0.489667942086897,0.24642152989210941,345107744.17252064,276587684.3900603,0.18561424334675203,0.24396725554200663,0.06564466501420624,0.1328496150234515,0.1985468623625174
2022-06-01,12966160,0.1657278096014464,-0.04171934260429837,0.08561643835616438,0.19512195121951217,0.2838864454218313,0.35412262156448204,0.400997506234414,0.4752253333924296,0.22554352551527204,330953835.79148865,266219925.4700628,0.19381181475471534,0.21237475089000907,0.05076738217020305,0.13437563627164867,0.19559800588687015
2022-07-01,12497080,0.19159224931921306,-0.006321112515802758,0.11029411764705886,0.21643286573146292,0.30513963520283344,0.3766438716465019,0.42554622996739655,0.5073891625615763,0.21479789799919624,305216412.99832284,240305911.7202851,0.15594570891760315,0.2637560934234237,0.07239787214293258,0.10473038501794019,0.2126704151994422
2022-08-01,12415211,0.21262567947642444,0.02944785276073622,0.13782991202346043,0.23450789793438648,0.31731984829329957,0.39082278481012656,0.43984220907297833,0.5204626334519573,0.22679703851381802,303796412.74055123,235127374.06018096,0.1184917437166392,0.3013814263809129,0.08807945350264285,0.07872278610488376,0.22603637107135666
2022-09-01,12818591,0.1742135880285416,-0.029761904761904788,0.0965447154471544,0.20339388145315498,0.2931216931216931,0.3704396632366697,0.41937282263536135,0.4924535075893419,0.25071643957141765,337291282.4814406,270361063.6501649,0.17739172737471692,0.23406620899286046,0.06677387553749083,0.12298902430072073,0.19843447580047824
2022-10-01,14013283,0.15480114860405605,-0.05815423514538547,0.07928601079286011,0.18750000000000003,0.27560050568900124,0.34587378640776706,0.3955479452054795,0.48039215686274506,0.245219535646632,348092547.11106974,283751358.66986847,0.20426883550414274,0.19057910983457624,0.04681493979676283,0.14521864719352345,0.18483931636913564
2022-11-01,12892472,0.19482846937653264,0.0,0.12753950338600442,0.2270973963355833,0.301994301994302,0.3639365918097754,0.4081201547558214,0.49065629680809997,0.2006173591698956,316184696.4705317,249123005.80016848,0.14221260282744846,0.2556830063311365,0.05689428683653531,0.099833530761207,0.2120965733602902
2022-12-01,13933309,0.20440123576141397,0.0011074197120708514,0.13928571428571432,0.24020227560050572,0.3134505703422053,0.37857391401484297,0.4262845266684387,0.49721004384216816,0.20383413410553422,353970070.3730646,274678130.4000256,0.13727722538845583,0.29183756708474634,0.07272751935667256,0.09910158455539886,0.22400747014986244
2023-01-01,13533842,0.19431935392861371,-0.011009800196725823,0.12403789224393136,0.22980849292256453,0.3031496062992126,0.3592293349906774,0.40153301886792453,0.4895238095238096,0.19069108232125087,297123576.26865405,236324970.31046557,0.151164539973202,0.25875128437290756,0.05125477303488544,0.10754270664605069,0.20462397067816462
2023-02-01,13236095,0.1960798431495144,-0.011132055166591458,0.12423312883435578,0.23381294964028776,0.3086574654956085,0.3679676735433575,0.408896492728828,0.4912928877205572,0.2080529797050121,300813279.97109264,239926386.55118245,0.15109788801002108,0.2758124658367895,0.0581517433956163,0.10736852523346198,0.20240759791509622
2023-03-01,14503746,0.20241430051065407,-0.004012662186406173,0.1266568483063329,0.23609467455621294,0.3144278606965175,0.3797752808988764,0.42275735170742007,0.49842519685039366,0.2002681197187025,351961094.94232297,279835266.488827,0.14639038769708185,0.2937773455216328,0.07210454457765601,0.10267044113982692,0.20492557129166644
2023-04-01,13953728,0.19008603649653338,-0.04203718674211814,0.10746200617249971,0.22874462815946514,0.31549471064094586,0.3875,0.433139534883721,0.501591343093571,0.21704999209750844,349161146.7417503,278880632.44837373,0.17532490242034243,0.2967172643755131,0.08215123585610956,0.12860097315928762,0.2012838912611261
2023-05-01,14237046,0.19474120263966893,-0.03793103448275861,0.10877684407096179,0.23071104387291985,0.3203359328134373,0.3970775095298602,0.4461538461538461,0.5087027152471572,0.2108011742928578,373072180.4816495,295067669.3481432,0.1733336395766369,0.30784679630872863,0.09631365944873677,0.12629775867831008,0.20908691458258744
2023-06-01,13771590,0.218063303738862,0.008426966292134819,0.1330603889457522,0.24745417515274953,0.327930174563591,0.40474478792235796,0.45068605639375003,0.5113846153846153,0.18945212958699753,360246928.96118504,279067162.6484829,0.13780217099114916,0.34569036690752486,0.10641538123048973,0.09349508662398459,0.22534478377593292
2023-07-01,13701834,0.20915419976284208,-0.011667476908118543,0.11063094209161635,0.23950233281493,0.3310901749663526,0.40310077519379844,0.44896193771626297,0.5120374013179356,0.18592347672150522,338752270.910067,266955100.0387759,0.1617571779077166,0.34018044591694807,0.10412153584695304,0.1092993098588116,0.21194594704385628
