year,operator,wav_req,wav_match,n
2019,Uber,0.00032502484345702486,0.0043240979797559,638941
2019,Lyft,0.00023383637454159396,0.004037726604501517,429026
2020,Uber,0.000897617276275696,0.026767481265614644,678923
2020,Lyft,0.0009261071125451498,0.031717850089998466,459165
2021,Uber,0.0011378377809399419,0.051959723582033296,677649
2021,Lyft,0.000715415810021251,0.03466147305612221,462865
2022,Uber,0.0012494136343723038,0.05425496298589512,692811
2022,Lyft,0.001084306710133976,0.057818918193092546,464900
2023,Uber,0.0020602892629186876,0.06948427875478547,685480
2023,Lyft,0.001811521794876598,0.08806245838185243,464085
2024,Uber,0.0024509890236493253,0.07575400240739066,687188
2024,Lyft,0.002947692052421928,0.12090874815590245,464612
2025,Uber,0.002861489749164358,0.09320418700253173,691598
2025,Lyft,0.0030988466074409198,0.07241162904327889,462549
2026,Uber,0.0024517418452990112,0.10212039674135466,226308
2026,Lyft,0.004005831055299407,0.05832081725333285,154541
