month,operator,gini_trips_per_zone,top10_share,top3_share,airport_share,n_active_zones
2018-01-01,uber,0.5157393968160693,0.15715067499680271,0.055321433328952084,0.027544018808192388,260
2018-02-01,uber,0.5279809432384452,0.16078908998513367,0.05906495526742322,0.025262210990155166,260
2018-03-01,uber,0.5114776051873378,0.15236053842239972,0.05432763825938568,0.026168686145190207,261
2018-04-01,uber,0.5077714381100427,0.14962637547262123,0.052282025135424466,0.02708515310166305,261
2018-05-01,uber,0.5050210856035218,0.15095265553789855,0.05194175301597314,0.028456443471811116,261
2018-06-01,uber,0.4977634671361957,0.14878950694579857,0.04983683892748318,0.028945408583987427,260
2018-07-01,uber,0.49552004452482734,0.14587252664004818,0.050171636490180735,0.027877382780261046,261
2018-08-01,uber,0.4925996127552328,0.1477226028973717,0.049519085509207764,0.030587994546399544,261
2018-09-01,uber,0.49451917929928846,0.14866542362812613,0.049371910624599405,0.02970215664229179,261
2018-10-01,uber,0.5002922083316725,0.15040346439829488,0.0507889747395213,0.03116679432846342,262
2018-11-01,uber,0.4988181049368894,0.1510464945262536,0.05122018621206746,0.031785197043426736,261
2018-12-01,uber,0.49461198436910214,0.14670825352624853,0.05010390488074808,0.027301080062799563,262
2019-01-01,uber,0.4962995841651987,0.14994952692897132,0.05206034086960497,0.02993878395613491,261
2019-02-01,uber,0.48317632032534297,0.13469602664232927,0.04620190895530071,0.026381096655550433,264
2019-03-01,uber,0.4667309578531471,0.1283194154838547,0.0440419312723145,0.02833400803654197,264
2019-04-01,uber,0.4609483331292439,0.1282164474017288,0.04521142506342004,0.030828044217465052,263
2019-05-01,uber,0.4637937928080207,0.13403876005409243,0.048809373377283236,0.03435826018887136,263
2019-06-01,uber,0.46335133116668614,0.13291389853457045,0.04687448062898462,0.03253132291969056,263
2019-07-01,uber,0.4642227643263914,0.13423445942266887,0.04556185474099978,0.031151400215003216,263
2019-08-01,uber,0.4645917753465323,0.13546344258132428,0.04930487890172291,0.03456001172894483,263
2019-09-01,uber,0.47078214383234185,0.13916146208770827,0.05024586748754596,0.03460003377487014,262
2019-10-01,uber,0.47669720472027155,0.141771184176236,0.0503848207148096,0.03477344551509374,263
2019-11-01,uber,0.45940686591403446,0.12973545491233743,0.045390484648807815,0.02984076406069368,262
2019-12-01,uber,0.45334911666882016,0.1259400165573744,0.04439844417369363,0.030339714571263086,263
2020-01-01,uber,0.45313663664765813,0.12840783709823142,0.04622628270063163,0.031940379944353135,263
2020-02-01,uber,0.45366342337225896,0.1260367420791211,0.04307261394877195,0.027799902612027992,262
2020-03-01,uber,0.4303314684111368,0.1148354092909807,0.04169150348333504,0.02211933202565784,262
2020-04-01,uber,0.4848131184524196,0.1518817592758507,0.05907026660424,0.004880454866871288,260
2020-05-01,uber,0.475229613907761,0.147784822417949,0.05754823674560471,0.005344939854004593,261
2020-06-01,uber,0.4344892729584624,0.13295005844750496,0.05106473397134144,0.008759724858516529,260
2020-07-01,uber,0.42658253698080584,0.12535773247968957,0.04811705828268153,0.009119716447422469,262
2020-08-01,uber,0.4234023918193113,0.12272171579947257,0.04607638994119179,0.010176711226261051,261
2020-09-01,uber,0.4220671277226855,0.1200443051188493,0.044636303666635964,0.009691744748282648,260
2020-10-01,uber,0.4366639120474498,0.11698942162426858,0.04334942404474008,0.010029599925555247,264
2020-11-01,uber,0.42851101905563893,0.11697454879411759,0.04293021067476715,0.010593992328176554,262
2020-12-01,uber,0.42334874299499625,0.11836156076752455,0.04465454188645442,0.011344064680100687,261
2021-01-01,uber,0.4295508063764055,0.11946980997132924,0.045067502942212914,0.01390184871572106,262
2021-02-01,uber,0.4199941938985321,0.11512026397036883,0.0421013125812905,0.010887684126771055,261
2021-03-01,uber,0.4243599881935942,0.11567823964587308,0.04304094754063132,0.012061306958606804,262
2021-04-01,uber,0.4257044806825987,0.11504083393149898,0.04295140870201071,0.014551146034770118,261
2021-05-01,uber,0.4289874811856802,0.1162562370398349,0.04219060229593702,0.019020983122265207,260
2021-06-01,uber,0.4368616837910779,0.11752797619351257,0.040874017511698967,0.02187223350910574,262
2021-07-01,uber,0.43955389449381865,0.11971050622583125,0.04177711590225972,0.024322683806320963,261
2021-08-01,uber,0.4337777464648518,0.12025592502301977,0.043364052416635226,0.027321574845019812,260
2021-09-01,uber,0.45448410984576104,0.12434713255803544,0.041508818561822855,0.026400443746835405,263
2021-10-01,uber,0.46488973657585,0.12922910074224195,0.04328508662981925,0.026528193372464294,262
2021-11-01,uber,0.4692426384349877,0.1348947564974683,0.047347238813757506,0.03204853339357604,262
2021-12-01,uber,0.4592405008263043,0.12929101429756665,0.044213642281914003,0.030279212313568303,263
2022-01-01,uber,0.44878899965196095,0.12359148325414361,0.04379452493856938,0.027256621556011454,260
2022-02-01,uber,0.47136701090088495,0.13256071671506525,0.044190130594237424,0.026525461814512742,262
2022-03-01,uber,0.4771698882982782,0.13828350312630275,0.04771467523113504,0.032120324676621244,264
2022-04-01,uber,0.47916279956264574,0.1411346379451559,0.050533205242054346,0.03490035139257877,263
2022-05-01,uber,0.479368301944594,0.1439918709341668,0.053085065947256115,0.03803532309002987,263
2022-06-01,uber,0.4750244547272695,0.14445408094214837,0.05202967491072484,0.03653478267481512,261
2022-07-01,uber,0.47571585222361845,0.14457984459245163,0.05281533460196638,0.03687519822391373,262
2022-08-01,uber,0.4730112347992448,0.1436980021912917,0.0544190185294574,0.03953610346534397,262
2022-09-01,uber,0.4828402672432184,0.15123233427431995,0.05633194575494946,0.04097021995739468,262
2022-10-01,uber,0.4875253148962959,0.14946834570673748,0.053652175259939094,0.037461825772539425,261
2022-11-01,uber,0.48409237545066897,0.14829444388727928,0.05427628037071515,0.03838643356789646,263
2022-12-01,uber,0.4814075377786633,0.143174267819704,0.04904411836417948,0.03383011362629206,263
2023-01-01,uber,0.47865410403181374,0.1437044081388368,0.052452574550621724,0.03719065829259203,262
2023-02-01,uber,0.48101006030364735,0.14051813572667377,0.04839635652141589,0.03253380513269545,263
2023-03-01,uber,0.47132649736568544,0.14226032346921608,0.05146443815718284,0.03650766184339967,261
2023-04-01,uber,0.4754137444716453,0.14057748551135368,0.052537995917503126,0.03695085700802507,261
2023-05-01,uber,0.47132029143800436,0.14195769664341779,0.05422104635293493,0.040143139114680315,263
2023-06-01,uber,0.4689421882738656,0.1420937951872422,0.052988244575834356,0.038466961409585304,261
2023-07-01,uber,0.4659134681851156,0.14125815287395613,0.053377889937327026,0.03922876723985953,261
2023-08-01,uber,0.45692466535510645,0.13824140171429028,0.05437673498971949,0.040936787300643304,261
2023-09-01,uber,0.4693705675219646,0.14207605345441746,0.05328726440059431,0.039234632718966315,262
2023-10-01,uber,0.4755084252779669,0.1434381314131598,0.05463047532286661,0.04047613729116843,263
2023-11-01,uber,0.4644759443037778,0.14095218795871833,0.054088416285842544,0.04005648556701337,261
2023-12-01,uber,0.4612530110879727,0.13491010046873583,0.049381301822298086,0.03551962397757623,262
2024-01-01,uber,0.46585143894357617,0.13703713273423612,0.05059273207509837,0.0368886526447446,262
2024-02-01,uber,0.46332762633465885,0.13281097809638692,0.04811449777297547,0.03406302933051137,263
2024-03-01,uber,0.45333956828702493,0.13188319406208335,0.04936072584579383,0.03573519192586106,261
2024-04-01,uber,0.45834094940887593,0.1352832809908652,0.052084355448497974,0.038876124151501726,262
2024-05-01,uber,0.45674797370230635,0.13726360036857643,0.05311637231867475,0.04026528827617487,261
2024-06-01,uber,0.45499180945479867,0.1345285563523446,0.05193198285944065,0.03861098172807534,262
2024-07-01,uber,0.45532475799874716,0.13645809728512878,0.05358246989987509,0.039895228167194936,262
2024-08-01,uber,0.4518065852253994,0.13380152945794804,0.05362275467086055,0.040175637147532306,262
2024-09-01,uber,0.4579496744507723,0.13556227993385458,0.052670417197641824,0.03963514326219545,263
2024-10-01,uber,0.4537726656356371,0.13414329791079646,0.0521091870222653,0.03892976763008041,262
2024-11-01,uber,0.4484348635142881,0.12916803339705807,0.047855236707817855,0.0350103106997508,262
2024-12-01,uber,0.4383607596588639,0.12513479080492101,0.04749015704927444,0.03511129985508033,262
2025-01-01,uber,0.4439106678599163,0.1289577195849542,0.04951634939997414,0.036711695220409346,262
2025-02-01,uber,0.44594292355941856,0.12860623789762574,0.047399133745166654,0.03476613553110514,262
2025-03-01,uber,0.44012120318902626,0.12949784889696134,0.048976441722853335,0.03621709313300642,262
2025-04-01,uber,0.43972847981861984,0.1306515877598513,0.0508492436505086,0.03806203152903564,261
2025-05-01,uber,0.43912211670001655,0.12891231343629814,0.05078812948886908,0.038490308377401826,263
2025-06-01,uber,0.43517409663949147,0.13141191132140825,0.052402028412062984,0.039801340100334474,261
2025-07-01,uber,0.4308023481704806,0.13102986504771466,0.05206057427829764,0.03877371375210535,260
2025-08-01,uber,0.4348734233587441,0.13194037332455247,0.05370009672686861,0.040714000111721,261
2025-09-01,uber,0.4492648941006112,0.13515608489751288,0.05198789692545062,0.03839649164688305,262
2025-10-01,uber,0.4445973347290193,0.1317618282519739,0.04941207096580678,0.03595573384246266,261
2025-11-01,uber,0.43985433465296375,0.1278555446290511,0.046489795454499876,0.033533308420011856,261
2025-12-01,uber,0.42759452826080846,0.121672799138325,0.045031862178403874,0.032375059401075,261
2026-01-01,uber,0.4313370682957345,0.12496142310666046,0.04707635839355424,0.03400995123723825,261
2026-02-01,uber,0.4254506966429794,0.12266421851692041,0.04403708071789445,0.03173944734862484,261
2026-03-01,uber,0.423662215812751,0.12361772053403866,0.04571621015351016,0.03308014483653674,260
2026-04-01,uber,0.439261107029588,0.12930904758553355,0.04930717598146127,0.0366115048953982,262
2018-01-01,lyft,0.5501862035802678,0.17043322517581685,0.06067484190937514,0.036396899752785844,260
2018-02-01,lyft,0.5480392157113081,0.16544310277143331,0.05751305679615086,0.03254321349674599,261
2018-03-01,lyft,0.5336093129357256,0.1673817140042469,0.060324916667217475,0.038034349285848326,262
2018-04-01,lyft,0.5368451083047929,0.16835002924853712,0.06004571992415139,0.03866794318419274,260
