year,length_bucket,n_trips,sum_margin,sum_fare,sum_pay,mean_margin,margin_revenue_weighted,p25,p50,p75
2019,0_under_1mi,15937793,-366966.21153865295,108568048.90979303,100463430.4894176,-0.0230249076229471,0.07465012498391121,-0.0230249076229471,-0.0230249076229471,-0.0230249076229471
2019,1_1to3mi,67678698,-1791674.9690217369,648739421.81967,595859062.674282,-0.02647324818544436,0.08151247999861366,-0.02647324818544436,-0.02647324818544436,-0.02647324818544436
2019,2_3to6mi,39464867,-3375471.5528737972,632925473.1702734,606016008.340002,-0.08553105101998183,0.042516008552293094,-0.08553105101998183,-0.08553105101998183,-0.08553105101998183
2019,3_6to12mi,25087012,-2069491.2187587472,667147903.5600322,636664234.6799974,-0.0824925351316748,0.04569251993054013,-0.0824925351316748,-0.0824925351316748,-0.0824925351316748
2019,4_over_12mi,12187384,468628.1925227368,725281603.5899678,652626733.9600034,0.03845190998517293,0.10017470355009761,0.03845190998517293,0.03845190998517293,0.03845190998517293
2020,0_under_1mi,10017946,804310.6972122279,74163098.85026644,64220622.669865236,0.08028698669490011,0.13406230773170402,0.08028698669490011,0.08028698669490011,0.08028698669490011
2020,1_1to3mi,43693971,4053160.5894886884,441271522.2796603,374247825.73098415,0.09276246806427112,0.1518876545724589,0.09276246806427112,0.09276246806427112,0.09276246806427112
2020,2_3to6mi,25581230,2199881.944296022,446982847.56997466,379865783.6599995,0.08599594094169913,0.1501557929456523,0.08599594094169913,0.08599594094169913,0.08599594094169913
2020,3_6to12mi,15760857,1141582.5397852128,422841121.5499149,365042862.1099908,0.07243150164900379,0.136690251951054,0.07243150164900379,0.07243150164900379,0.07243150164900379
2020,4_over_12mi,7085402,701838.3864722697,365657334.41995656,308530861.76999676,0.09905413785587179,0.15622952768219378,0.09905413785587179,0.09905413785587179,0.09905413785587179
2021,0_under_1mi,11353377,1062803.9417708898,108806643.20057076,96729301.78010142,0.09361126136927275,0.11099819887105933,0.09361126136927275,0.09361126136927275,0.09361126136927275
2021,1_1to3mi,51958348,6849389.818623734,684468854.1541561,577803116.0291153,0.13182462649935933,0.15583724150144818,0.13182462649935933,0.13182462649935933,0.13182462649935933
2021,2_3to6mi,31167048,4949582.690527126,683120020.2700218,560724760.9700005,0.15880819673801402,0.17917094458985583,0.15880819673801402,0.15880819673801402,0.15880819673801402
2021,3_6to12mi,20333859,2901757.0312264436,659355865.0699795,546439443.7799947,0.1427056728989044,0.17125262285791698,0.1427056728989044,0.1427056728989044,0.1427056728989044
2021,4_over_12mi,10296355,1439547.4810894777,604865777.1299917,498093831.31000113,0.1398113683035868,0.17652171747360101,0.1398113683035868,0.1398113683035868,0.1398113683035868
2022,0_under_1mi,14407269,2279578.0926742884,141360690.23030946,116771043.58030328,0.15822416397405284,0.17394967872570455,0.15822416397405284,0.15822416397405284,0.15822416397405284
2022,1_1to3mi,62094106,11866897.239607321,880371722.1047223,693902326.5188189,0.19111149196040153,0.2118075704886423,0.19111149196040153,0.19111149196040153,0.19111149196040153
2022,2_3to6mi,36099884,7116457.3752219435,849010713.8598614,667736855.300001,0.1971324166920299,0.21351186221871588,0.1971324166920299,0.1971324166920299,0.1971324166920299
2022,3_6to12mi,25672034,4608675.795879774,900824533.0300257,720181657.8599921,0.179521256316495,0.20053059008331042,0.179521256316495,0.179521256316495,0.179521256316495
2022,4_over_12mi,14592971,2472324.9922709437,943018449.2799947,756678092.7900023,0.16941889299108068,0.19759990552917106,0.16941889299108068,0.16941889299108068,0.16941889299108068
2023,0_under_1mi,16429468,4078968.9124615053,162083598.79999906,118887846.3901005,0.24827151508871165,0.26650292028127653,0.24827151508871165,0.24827151508871165,0.24827151508871165
2023,1_1to3mi,67167168,16344301.390747475,991434961.5591794,729491291.5997752,0.2433376585230968,0.2642066097280438,0.2433376585230968,0.2433376585230968,0.2433376585230968
2023,2_3to6mi,39022535,7280447.594135691,938408208.2299055,739316472.1700072,0.18657033927026245,0.2121589882887317,0.18657033927026245,0.18657033927026245,0.18657033927026245
2023,3_6to12mi,28184304,4318334.56307486,1021003375.4700263,832205471.1999941,0.15321771164102047,0.18491408432721168,0.15321771164102047,0.15321771164102047,0.15321771164102047
2023,4_over_12mi,15947400,2418803.7455776995,1100382909.769998,889310240.2600011,0.1516738619196671,0.19181747338670996,0.1516738619196671,0.1516738619196671,0.1516738619196671
2024,0_under_1mi,17794392,5202879.423049106,184597899.4699884,126426572.32978088,0.2923887156722807,0.3151245345002689,0.2923887156722807,0.2923887156722807,0.2923887156722807
2024,1_1to3mi,70790059,18294495.20279751,1089458876.5800483,778121438.880803,0.2584331113892349,0.28577254671289076,0.2584331113892349,0.2584331113892349,0.2584331113892349
2024,2_3to6mi,41908463,7542602.42768637,1036808069.4199891,811654934.299995,0.17997802562423657,0.21715989850074113,0.17997802562423657,0.17997802562423657,0.17997802562423657
2024,3_6to12mi,31307326,4286200.849626522,1166056224.0999885,948833313.7499939,0.1369072800924142,0.18628853897474484,0.1369072800924142,0.1369072800924142,0.1369072800924142
2024,4_over_12mi,17157435,2694148.8113144673,1259187933.980001,979511055.6299999,0.15702515039774112,0.22210892496881496,0.15702515039774112,0.15702515039774112,0.15702515039774112
2025,0_under_1mi,18659303,6897616.104696748,197940374.64998952,121676551.0700014,0.3696609731187037,0.38528685072382307,0.3696609731187037,0.3696609731187037,0.3696609731187037
2025,1_1to3mi,69334114,17864859.670222238,1113063982.8500154,786060236.2400655,0.2576633440534372,0.2937870164234876,0.2576633440534372,0.2576633440534372,0.2576633440534372
2025,2_3to6mi,40117024,6102931.026828119,1024156132.970025,811482952.869993,0.15212820938133692,0.2076569902318366,0.15212820938133692,0.15212820938133692,0.15212820938133692
2025,3_6to12mi,30679895,3621694.3367944206,1202743326.290013,975643310.7999997,0.11804780742549545,0.1888183542789026,0.11804780742549545,0.11804780742549545,0.11804780742549545
2025,4_over_12mi,17038422,2615385.011376319,1320273502.3100064,1019541770.7399981,0.15349925077429816,0.22777987367301955,0.15349925077429816,0.15349925077429816,0.15349925077429816
2026,0_under_1mi,7185630,2370968.571309033,73927953.5299921,47597923.11999591,0.32995973509755344,0.3561579775005441,0.32995973509755344,0.32995973509755344,0.32995973509755344
2026,1_1to3mi,24472018,5284350.883565053,393212799.36998993,290035832.8700277,0.21593441470846636,0.26239473044945005,0.21593441470846636,0.21593441470846636,0.21593441470846636
2026,2_3to6mi,13562137,1814909.249608886,353225198.4799904,285204847.0000011,0.13382177525628047,0.1925693630372256,0.13382177525628047,0.13382177525628047,0.13382177525628047
