month,zone_class,n_trips,mean_margin,p25,p50,p75,sum_fare,sum_pay,margin_revenue_weighted
2019-02-01,airport,355103,0.03965161744378596,-0.04640455379846359,0.08809182209469155,0.19511505395883566,16739688.639999183,15310628.480000392,0.08536957829574432
2019-02-01,buffer,211760,-0.0641146118447197,-0.11239708951079158,0.13437558973489258,0.24523519928938745,3953116.050000738,3636309.2600006186,0.08014102950508117
2019-02-01,cbd,4975583,-0.09239399244593048,-0.16787003610108298,0.10482758620689653,0.23383297644539616,89992304.98028356,85875279.53014262,0.045748638742422854
2019-02-01,outer,7450402,-0.16520085068946389,-0.32078559738134205,0.022522522522522577,0.18333333333333335,96109990.26006974,98165853.3503974,-0.021390732480198738
2019-02-01,upper_manhattan,339297,-0.25771508843598534,-0.4450402144772117,-0.040540540540540536,0.15926493108728942,4364110.640000621,4664244.260000448,-0.06877314641128907
2019-03-01,airport,487479,-0.00935584070817435,-0.11002553461057007,0.03822055137844619,0.15963489376178558,21923909.079999022,20921788.970000412,0.0457090068355025
2019-03-01,buffer,248378,-0.1332733684153004,-0.28113711139461495,0.011032910099835232,0.20428456541782208,4471486.80000036,4386285.820000438,0.01905428413652377
2019-03-01,cbd,5876464,-0.1607714698678541,-0.29191768670939916,-0.015359741309620152,0.18333333333333335,103873925.09028175,105289103.14017756,-0.01362399705860562
2019-03-01,outer,10028647,-0.2099666780693557,-0.34079601990049757,-0.11190053285968027,0.10514541387024604,124108167.92002174,135702569.10038,-0.09342174149109961
2019-03-01,upper_manhattan,440582,-0.2576091168275809,-0.3838255262877631,-0.13874044199997107,0.07951070336391447,5609185.270000701,6294279.95999616,-0.12213800347432158
2019-04-01,airport,481916,0.017158809730369956,-0.08423493044822256,0.061944087859769556,0.18170472134233917,22182058.59999991,20784879.56000128,0.06298689698703774
2019-04-01,buffer,233396,-0.06860779486263072,-0.1372954445256575,0.11594506221146433,0.24820692888541213,4525194.70000045,4212312.610001054,0.06914223823327759
2019-04-01,cbd,5247833,-0.08814210716035703,-0.17885073104386268,0.0899357601713062,0.2357841361825425,98756643.53036049,94881877.0402021,0.03923550205477755
2019-04-01,outer,9134834,-0.16064833477872348,-0.31929046563192914,-0.013776337115072928,0.18043844856661037,118746470.20988,122372933.08065787,-0.030539542475395143
2019-04-01,upper_manhattan,399685,-0.202176189142993,-0.36166007905138353,-0.04660194174757268,0.15668718522663685,5359476.819999939,5671532.699996845,-0.05822506384063608
2019-05-01,airport,544858,0.02660449878787411,-0.07767527825670963,0.06624329021788192,0.1842613338313479,26402769.1499999,24868162.2300004,0.05812295336451512
2019-05-01,buffer,250097,0.012222802073800961,-0.07031250000000006,0.14016489988221442,0.2541666666666667,5318268.470000563,4861867.899999731,0.085817512330434
2019-05-01,cbd,5418458,-0.006161800998912239,-0.09939393939393942,0.12352406902815617,0.25,114157973.83016112,107218446.69020292,0.060788807887239726
2019-05-01,outer,9128178,-0.0427689517896842,-0.1563483735571879,0.07820299500831943,0.2038404726735598,130760532.7298584,127409559.85070857,0.025626791274035887
2019-05-01,upper_manhattan,397745,-0.07384012725361373,-0.1892807332137876,0.0539130434782608,0.1909774436090226,5943493.109999065,5937515.669996393,0.0010057116062970328
2019-06-01,airport,467641,0.07608824533772558,-0.014826498422713011,0.1196481911715898,0.22523744911804616,24410286.559999235,21952002.430000722,0.1007068935449068
2019-06-01,buffer,213978,0.07310256867497189,-0.010638297872340429,0.19013327815128278,0.2830763545397692,4850765.0800007805,4237721.280000639,0.1263808471219643
2019-06-01,cbd,4935018,0.05433006495254896,-0.03909205548549817,0.1696015800016709,0.275779376498801,109109648.80018936,98015151.14018777,0.10168209486512747
2019-06-01,outer,8308218,0.021972507806941065,-0.08269720101781164,0.10714285714285712,0.26496815286624203,126902448.62084475,117127346.0706369,0.07702847861835671
2019-06-01,upper_manhattan,358929,0.003809095912415307,-0.10731244064577405,0.09298531810766726,0.2575757575757576,5619560.340000222,5286396.1399986,0.059286524184133826
2019-07-01,airport,412096,0.06813287263074355,-0.023328797996994607,0.11837055464569514,0.22460570064126728,21495167.869999856,19306921.30000041,0.10180179020855717
2019-07-01,buffer,185062,0.04845394938490055,-0.04308309847510283,0.163352658170952,0.28045711939382256,3885849.1300006555,3424489.000000553,0.11872826622067656
2019-07-01,cbd,4649376,0.02888205950009675,-0.06827309236947798,0.1441495778045838,0.2698412698412698,95097506.34017423,86415432.1301853,0.09129654965853873
2019-07-01,outer,7688852,-0.024517575189295676,-0.14734480179506362,0.07785220425726533,0.24364047484454496,110905948.19078556,104976299.83062118,0.053465557590868906
2019-07-01,upper_manhattan,329329,-0.04529978299537155,-0.1757950530035336,0.061658706035605804,0.23000000000000004,4908473.350001212,4753609.470000235,0.031550314926521605
2019-08-01,airport,406009,0.07846774256538588,-0.011037107516650912,0.12424677187948348,0.22983565107458906,20726947.529999778,18561784.770000782,0.1044612457702796
2019-08-01,buffer,153345,0.03285063363126706,-0.053285968028419096,0.16536312849162008,0.27045995738814393,3181235.500000708,2835799.8300000266,0.10858538137167284
2019-08-01,cbd,4014687,0.025056437660203684,-0.07008086253369278,0.15715245130960376,0.2709832134292567,81685497.6599893,74451101.07016782,0.0885640266272747
2019-08-01,outer,6666013,-0.009169602059141817,-0.12889812889812893,0.10115236875800257,0.2616666666666667,97589341.19032907,91361255.11051574,0.06381932702739179
2019-08-01,upper_manhattan,280705,-0.029436046927783694,-0.16048619695096825,0.08489178398823295,0.2544802867383512,4256067.480001241,4074376.74000168,0.04268981656266124
2019-09-01,airport,482072,0.1254001039480183,0.0504089366522532,0.17669292163734782,0.25373213955829055,24154263.2799985,20543774.02000074,0.14947627332469748
2019-09-01,buffer,209455,0.052690832144765096,0.0036188231185612313,0.19929542023150482,0.2686567164179105,4530133.0600020625,3888119.8700007577,0.14172060323566138
2019-09-01,cbd,4984145,0.04970306727116958,-0.011503067484662604,0.191891141349625,0.27111574556830026,105807847.09930706,92190743.00020446,0.12869654257611085
2019-09-01,outer,7825409,0.003839001145031777,-0.09720785935884173,0.13473423980222496,0.2518597236981934,116179454.39862826,106661473.75061819,0.08192481792307726
2019-09-01,upper_manhattan,325393,-0.010401957901763462,-0.12522851919561254,0.12312751187431498,0.2507475437847074,4976417.58000301,4615866.070000407,0.07245202079733526
2019-10-01,airport,503948,0.16718657059321843,0.1268966283908354,0.22367130838178334,0.27243213022667023,24543488.090000246,19596673.0900003,0.20155305480052876
2019-10-01,buffer,240947,0.09126285589451229,0.08643363248814467,0.22911694510739863,0.2888527257933278,5122213.420001621,4139198.420000947,0.19191215191505295
2019-10-01,cbd,5242940,0.08361916869355329,0.06260869565217397,0.22253129346314332,0.28823529411764703,111485990.53969266,91043310.5602421,0.18336546036402923
2019-10-01,outer,8045131,0.002884747034804959,-0.10758091264334685,0.15674769488683984,0.25034770514603627,115035647.03965487,103119923.72070745,0.10358287735661498
2019-10-01,upper_manhattan,331226,-0.0189183315852148,-0.15575158198571593,0.1446466819473634,0.25034770514603627,4885172.280000429,4431318.880001186,0.09290427726720873
2019-11-01,airport,465402,0.16139247949598928,0.11601729897973856,0.2197376453371979,0.27641099855282203,22204060.649998177,17707180.500000663,0.20252512461038896
2019-11-01,buffer,244909,0.04004933119383312,0.0,0.21115241635687731,0.288959323824617,5113190.990002846,4204430.750000986,0.17772859292340926
2019-11-01,cbd,5207215,0.028960479688673005,-0.031073446327683624,0.20029673590504457,0.28703703703703703,106753958.88943881,89149478.94022313,0.16490704543751866
2019-11-01,outer,9166784,-0.12471103227645362,-0.3466981132075471,0.028295376121463087,0.217353198948291,118931951.52888678,116872943.10078028,0.017312491736977798
2019-11-01,upper_manhattan,385413,-0.1473950117005794,-0.37106017191977075,0.00837628865979375,0.20737786640079753,5184708.010003508,5139055.409999163,0.008805240317538043
2019-12-01,airport,488344,0.1726892617777025,0.12416197243197627,0.2286128742822567,0.28297055057618437,23733597.13999763,18776966.170001287,0.2088444891332153
2019-12-01,buffer,247802,0.08250108001294476,0.036294493076729814,0.23022598870056485,0.304054054054054,5682055.690003524,4587216.200000456,0.1926836957844722
2019-12-01,cbd,5143340,0.08281458187062536,0.023514851485148563,0.22469635627530368,0.3102725366876311,120927772.3691129,97491794.47021136,0.1938014522203132
