zone_class,operator,tip_amt,tip_share,zero_rate,n
cbd,Uber,1.3910328930466722,0.03811940418155808,0.7738186696582797,1617243
outer,Uber,0.5704175368503243,0.02206879193467204,0.8675801273311893,2264434
buffer,Uber,1.6052612887584807,0.046258674503076073,0.7301691682099359,266044
upper_manhattan,Uber,0.6431678621001953,0.022543993302843925,0.8658314568258056,400008
airport,Uber,3.652314986075691,0.05022613011952784,0.6788717776195099,431169
outer,Lyft,0.796135253786836,0.030348032693936034,0.8285558967019871,1541281
cbd,Lyft,1.509891579478189,0.04606463694990736,0.7496002705239039,1076730
airport,Lyft,3.8928034314802358,0.0594186570976328,0.6518724133814475,309137
upper_manhattan,Lyft,1.071192574293279,0.035444065319623366,0.8032104279892897,274929
buffer,Lyft,1.7611745436518684,0.055101812416780784,0.6994394337468923,159666
