zone_class,operator,margin,n
cbd,Uber,0.19550430962622295,1617243
outer,Uber,0.12533131045959783,2264434
buffer,Uber,0.20614082165331934,266044
upper_manhattan,Uber,0.09911674493523731,400008
airport,Uber,0.18632704594367278,431169
outer,Lyft,0.2148417636034798,1541281
cbd,Lyft,0.22565340727851946,1076730
airport,Lyft,0.20321580299881759,309137
upper_manhattan,Lyft,0.20772543904157195,274929
buffer,Lyft,0.2282424508066088,159666
