zone_id,zone,borough,latitude,longitude,total_pickups,c3
2,Jamaica Bay,Queens,40.616745291659896,-73.83129854302213,4503.004127789619,2
3,Allerton/Pelham Gardens,Bronx,40.86447368477547,-73.84742223236717,3354719.009591359,1
4,Alphabet City,Manhattan,40.7237521415848,-73.97696825691767,4841337.093134275,0
5,Arden Heights,Staten Island,40.55265928694566,-74.18848410184928,431469.06317266834,0
6,Arrochar/Fort Wadsworth,Staten Island,40.60032414603462,-74.0717705589513,810202.6132849418,0
7,Astoria,Queens,40.761492562163745,-73.9196943194607,14755920.758866621,1
8,Astoria Park,Queens,40.778558653750714,-73.92308615750753,56358.2048899647,1
9,Auburndale,Queens,40.75103502557235,-73.78794887777896,1315477.6601834684,2
10,Baisley Park,Queens,40.678953310115254,-73.79098635986956,4961047.0791115975,2
11,Bath Beach,Brooklyn,40.60427284003077,-74.00748815801174,1713673.3778137423,0
12,Battery Park,Manhattan,40.70294583498472,-74.01556351255898,196005.63203587587,0
13,Battery Park City,Manhattan,40.71203815707448,-74.01607915192925,7021192.602982954,0
14,Bay Ridge,Brooklyn,40.62483492360826,-74.02989237418791,8154474.484082782,0
15,Bay Terrace/Fort Totten,Queens,40.783333047260946,-73.78597227877704,1030279.0545101698,2
16,Bayside,Queens,40.7627383754424,-73.77342181890137,2888721.269413364,2
17,Bedford,Brooklyn,40.69150749488067,-73.9499050350751,12884566.248498447,0
18,Bedford Park,Bronx,40.86768245607543,-73.89018328872037,7203810.11638654,1
19,Bellerose,Queens,40.73548677976332,-73.726655375287,1228943.6077430714,2
20,Belmont,Bronx,40.85777967544156,-73.88586748106962,4580775.3374591945,1
21,Bensonhurst East,Brooklyn,40.601429439835144,-73.98353709672226,3878491.107283842,0
22,Bensonhurst West,Brooklyn,40.61221825780564,-73.99525857986235,5135694.453251605,0
23,Bloomfield/Emerson Hill,Staten Island,40.60644770102762,-74.17088688155258,2261180.274138162,0
24,Bloomingdale,Manhattan,40.80197049389963,-73.96547951516966,2162183.6921532066,1
25,Boerum Hill,Brooklyn,40.68563374132065,-73.98611382213666,8443894.55857264,0
26,Borough Park,Brooklyn,40.630949655245466,-73.9886612307829,7930277.75528441,0
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.559133279467545,-73.90690832237583,111378.55567510874,2
28,Briarwood/Jamaica Hills,Queens,40.711596357945105,-73.80872901637515,3643015.9594838866,2
29,Brighton Beach,Brooklyn,40.58092197193379,-73.9612167686685,2993866.7506171884,0
30,Broad Channel,Queens,40.60368744213566,-73.82192695679406,72806.2273372808,2
31,Bronx Park,Bronx,40.8577466809159,-73.87547595053036,659857.2031433455,1
32,Bronxdale,Bronx,40.86400220602362,-73.86490099876723,3855687.8621115857,1
33,Brooklyn Heights,Brooklyn,40.69579822121127,-73.99525011996627,7248294.432866628,0
34,Brooklyn Navy Yard,Brooklyn,40.70085573851716,-73.97118869233039,1267356.737564126,0
35,Brownsville,Brooklyn,40.66400311792597,-73.91025783136133,9604492.461517984,0
36,Bushwick North,Brooklyn,40.700522199519206,-73.91771053131582,11653108.546574077,0
37,Bushwick South,Brooklyn,40.694994318442134,-73.92224002165723,16364817.118144698,0
38,Cambria Heights,Queens,40.6943414672317,-73.73555427058818,1734911.5882863211,2
39,Canarsie,Brooklyn,40.638037139117074,-73.8997349566939,11631924.845458021,2
40,Carroll Gardens,Brooklyn,40.6791990140971,-73.99595619089148,3668075.994368835,0
41,Central Harlem,Manhattan,40.80433394979462,-73.9512920024351,10068070.017168012,1
42,Central Harlem North,Manhattan,40.818257861119235,-73.94077166756267,14100090.688378109,1
43,Central Park,Manhattan,40.78247809974789,-73.96555356545912,2343853.796447319,1
44,Charleston/Tottenville,Staten Island,40.5254945817638,-74.23353354937646,587443.8231884406,0
45,Chinatown,Manhattan,40.71245931177953,-73.99815149899052,3599336.6766537856,0
46,City Island,Bronx,40.84908594313967,-73.78198714613218,306098.7095950801,1
47,Claremont/Bathgate,Bronx,40.842749176098025,-73.90031590586491,5245883.7562184995,1
48,Clinton East,Manhattan,40.76225275531937,-73.98984464313303,14861442.528597994,0
49,Clinton Hill,Brooklyn,40.68796745714746,-73.96236353818358,9236439.007796602,0
50,Clinton West,Manhattan,40.76623772504189,-73.99513522075517,8837162.812709384,0
51,Co-Op City,Bronx,40.87397305492027,-73.82826367307186,5835736.469114662,1
52,Cobble Hill,Brooklyn,40.68665124165607,-73.99672403175195,2302919.2941593537,0
53,College Point,Queens,40.78091235579112,-73.84281349543191,2054968.9579895653,1
54,Columbia Street,Brooklyn,40.68720074733729,-74.0029112774529,866123.4101932138,0
55,Coney Island,Brooklyn,40.57696075363776,-73.98794343407192,3817779.8512194934,0
56,Corona,Queens,40.741406774829755,-73.85884524944,4480515.892535651,2
56,Corona,Queens,40.75181936699946,-73.85358156034266,4480515.892535651,2
56,Corona,Queens,40.741406774829755,-73.85884524944,4480515.892535651,2
56,Corona,Queens,40.75181936699946,-73.85358156034266,4480515.892535651,2
58,Country Club,Bronx,40.84145210068251,-73.8203931925278,508528.07534080587,1
59,Crotona Park,Bronx,40.83855028852789,-73.89498588493973,202856.27257901643,1
60,Crotona Park East,Bronx,40.83399047727388,-73.88590003419156,3636142.823848446,1
61,Crown Heights North,Brooklyn,40.67446941826647,-73.93928705867958,21064298.49359265,0
62,Crown Heights South,Brooklyn,40.66654040578563,-73.94878853931496,5708352.418779988,0
63,Cypress Hills,Brooklyn,40.68383976195104,-73.87817261050246,4812304.582397648,2
64,Douglaston,Queens,40.760615605321455,-73.73933714992846,967824.5330259854,2
65,Downtown Brooklyn/MetroTech,Brooklyn,40.69533752946118,-73.98608600498393,7047539.576321084,0
