month,gini_pay_per_trip,n_zones
2018-01-01,,257
2018-02-01,,254
2018-03-01,,257
2018-04-01,,257
2018-05-01,,257
2018-06-01,,257
2018-07-01,,257
2018-08-01,,257
2018-09-01,,257
2018-10-01,,257
2018-11-01,,257
2018-12-01,,258
2019-01-01,,257
2019-02-01,0.11002882472632258,258
2019-03-01,0.1088479672782594,259
2019-04-01,0.1189155894736964,258
2019-05-01,0.13074970973948652,258
2019-06-01,0.13345751653140603,258
2019-07-01,0.13030900747760565,260
2019-08-01,0.12911059368068112,258
2019-09-01,0.12326591519452723,258
2019-10-01,0.11733145674799439,258
2019-11-01,0.10678735769588465,258
2019-12-01,0.12084776059929259,258
2020-01-01,0.09852718030509844,258
2020-02-01,0.0981570588256575,258
2020-03-01,0.09794375601844996,258
2020-04-01,0.08689987070909244,257
2020-05-01,0.08577855054918149,258
2020-06-01,0.08747275074033767,258
2020-07-01,0.07720302786770028,259
2020-08-01,0.07758883265878413,258
2020-09-01,0.07311247899921347,258
2020-10-01,0.07217946548467524,258
2020-11-01,0.07207836644360044,258
2020-12-01,0.06959426510115096,258
2021-01-01,0.06860166898254927,258
2021-02-01,0.06745686089236314,258
2021-03-01,0.06862484102320465,258
2021-04-01,0.07644240026025395,258
2021-05-01,0.08566907351687458,258
2021-06-01,0.0968318190424784,259
2021-07-01,0.0915446397666797,258
2021-08-01,0.09247315614094687,259
2021-09-01,0.09663271551476948,259
2021-10-01,0.08748614724611259,258
2021-11-01,0.09199869157834395,258
2021-12-01,0.10087367871034725,258
2022-01-01,0.06851279644200847,258
2022-02-01,0.08270257685031623,258
2022-03-01,0.0819451775205422,258
2022-04-01,0.09791033627225065,259
2022-05-01,0.10251499102572703,258
2022-06-01,0.10117742114635386,258
2022-07-01,0.088001481205082,258
2022-08-01,0.0887688067582253,258
2022-09-01,0.10383443347618582,258
2022-10-01,0.09797325755063668,258
2022-11-01,0.096615859729972,258
2022-12-01,0.11126991740287862,258
2023-01-01,0.07964903490595576,258
2023-02-01,0.08055295180373756,258
2023-03-01,0.0860952620495905,258
2023-04-01,0.08939593908962395,258
2023-05-01,0.09792399147028719,258
2023-06-01,0.09900031219230576,258
2023-07-01,0.08955061114650142,258
2023-08-01,0.08638953387007575,258
2023-09-01,0.09952517322757726,258
2023-10-01,0.09233367832441997,258
2023-11-01,0.09101786787907207,258
2023-12-01,0.10619053475202422,258
2024-01-01,0.08094169604952062,258
2024-02-01,0.08137727177759291,258
2024-03-01,0.09126029299765848,258
2024-04-01,0.09331984924489056,258
2024-05-01,0.09963808716608491,258
2024-06-01,0.09740512668843215,260
2024-07-01,0.08933582266020634,259
2024-08-01,0.08718773503119737,258
2024-09-01,0.10182286437667565,258
2024-10-01,0.10116296556859394,258
2024-11-01,0.09758489543823501,258
2024-12-01,0.11902237283920702,258
2025-01-01,0.08545633709330303,258
2025-02-01,0.09138204928840898,258
2025-03-01,0.10192853844921301,258
2025-04-01,0.09654031459588652,258
2025-05-01,0.11028618918141952,259
2025-06-01,0.10973893361423093,260
2025-07-01,0.10291886550298335,259
2025-08-01,0.1008378422379923,260
2025-09-01,0.11321053658739255,259
2025-10-01,0.10501537737217337,258
2025-11-01,0.10863742977891588,258
2025-12-01,0.1258147605847495,258
2026-01-01,0.09425625151911099,258
2026-02-01,0.10214485705087029,258
2026-03-01,0.1060344147724801,258
2026-04-01,0.10685122469603048,258
