month,share_pu_only,share_either,share_both,share_do_only,operator
2019-02-01,29.509756381897073,37.38710622760195,17.987324772046588,7.877349845704873,Uber
2019-03-01,26.738324248718204,34.517449028842165,14.89061380775257,7.779124780123969,Uber
2019-04-01,26.08737296403325,34.74868731918627,15.687556664837773,8.661314355153014,Uber
2019-05-01,26.642947563673257,35.24973578166906,15.54415661332115,8.606788217995797,Uber
2019-06-01,27.157515261366743,35.38411808546539,15.936822434826436,8.226602824098645,Uber
2019-07-01,27.49360853239984,36.41893952046749,16.98965424681913,8.925330988067646,Uber
2019-08-01,27.705927971921767,35.75873718073619,15.864083822857927,8.052809208814422,Uber
2019-09-01,28.869883909584175,37.369467909347044,16.80920637869875,8.499583999762864,Uber
2019-10-01,28.735323478481906,37.916209014348354,16.851643089190844,9.18088553586645,Uber
2019-11-01,26.71548223545156,34.211528314180555,15.646388953951709,7.496046078728992,Uber
2019-12-01,25.367926452892576,32.56053435906365,15.087436286340417,7.192607906171069,Uber
2020-01-01,24.770036741011765,32.12686058534181,14.687996731649086,7.356823844330042,Uber
2020-02-01,25.40315809535509,32.93414332174722,15.08219634716372,7.530985226392138,Uber
2020-03-01,20.11562402119367,26.7539767324605,10.9925306762277,6.638352711266831,Uber
2020-04-01,9.288611536594033,14.208863061634794,3.8518314359685126,4.920251525040762,Uber
2020-05-01,9.93832721177482,15.132831741915126,4.248008911322755,5.194504530140307,Uber
2020-06-01,12.562037076138727,18.354217636594484,5.866590411141174,5.7921805604557575,Uber
2020-07-01,15.20401193920472,22.064585414122522,7.954168880097709,6.860573474917799,Uber
2020-08-01,16.897031737081296,23.693211180680947,9.308508763700088,6.796179443599653,Uber
2020-09-01,18.61669364841735,26.339634490671276,10.379761651598667,7.7229408422539265,Uber
2020-10-01,20.77029559248983,27.906960797131347,11.271519613450984,7.13666520464152,Uber
2020-11-01,19.62825907308432,27.001858401540378,11.055711807209278,7.373599328456064,Uber
2020-12-01,17.606886855604024,24.878068265426638,10.048371474344815,7.271181409822616,Uber
2021-01-01,17.374592881845334,24.165904606802243,9.439822438128806,6.791311724956911,Uber
2021-02-01,19.01706098123657,26.114629520902433,11.336175548814712,7.097568539665862,Uber
2021-03-01,19.905147753158072,27.584147224862114,11.513192620638266,7.678999471704043,Uber
2021-04-01,20.72671850931998,28.366782008431198,11.502010016118176,7.640063499111219,Uber
2021-05-01,22.70435566608494,30.6995806905541,12.998789957766718,7.995225024469164,Uber
2021-06-01,24.592573935556807,33.31866568191463,14.008037497698384,8.726091746357826,Uber
2021-07-01,24.92504157129743,32.972719344369686,13.678296469856777,8.047677773072254,Uber
2021-08-01,24.158914827872234,32.55078001763242,13.817278260065976,8.391865189760185,Uber
2021-09-01,26.83849765763692,35.476301195642726,14.885700703673363,8.637803538005803,Uber
2021-10-01,28.174783426280843,37.14589096733286,16.245762048346553,8.971107541052016,Uber
2021-11-01,27.683341853517568,36.85475350608827,16.45210836258571,9.171411652570702,Uber
2021-12-01,26.54147896187688,35.22344631317858,15.016725800440172,8.681967351301697,Uber
2022-01-01,25.648811977960317,33.707232037911126,15.083051061846579,8.058420059950812,Uber
2022-02-01,28.64599066213525,38.102558011927556,17.193589977116815,9.456567349792314,Uber
2022-03-01,29.1729450153422,38.18951592991468,17.60717665214619,9.01657091457248,Uber
2022-04-01,29.14297667987026,37.94889945307683,15.882852557475468,8.805922773206563,Uber
2022-05-01,28.57696643497394,38.069966525393866,15.841544641410183,9.49300009041993,Uber
2022-06-01,29.014427258363323,38.10500610933477,16.10549335742468,9.090578850971442,Uber
2022-07-01,28.81964973076659,38.357792580409054,16.36961260258014,9.538142849642464,Uber
2022-08-01,28.82875990694915,38.128589086861595,17.137703926374662,9.299829179912441,Uber
2022-09-01,29.55576837421089,38.84855949039763,16.48655387543667,9.292791116186736,Uber
2022-10-01,30.499116160753314,39.97150196378404,17.12768470122992,9.472385803030726,Uber
2022-11-01,29.399738537584597,39.07841705697566,17.42530915986681,9.67867851939106,Uber
2022-12-01,29.884470522788043,38.70293035754959,17.041851060309703,8.818459834761551,Uber
2023-01-01,28.33173149102986,37.09220492130121,16.324396036017372,8.760473430271349,Uber
2023-02-01,28.75107285230619,38.013408409253394,16.45097954544643,9.262335556947198,Uber
2023-03-01,27.692740761916028,36.630998492404196,15.673801872836371,8.938257730488157,Uber
2023-04-01,28.416497246030076,37.47400913747907,16.523996365639288,9.057511891448991,Uber
2023-05-01,27.285554208889103,36.21205478952188,15.805496632922535,8.92650058063278,Uber
2023-06-01,27.207941497053966,36.036790933457915,15.468516107035171,8.828849436403939,Uber
2023-07-01,27.328497923810048,36.471145758921494,16.156704673061707,9.14264783511145,Uber
2023-08-01,25.894145054862978,35.189951836275725,14.938254873786553,9.295806781412736,Uber
2023-09-01,27.465035050836732,36.41129637373259,16.081568467508337,8.946261322895847,Uber
2023-10-01,27.805252452358843,36.832022620544045,15.727036847401537,9.026770168185204,Uber
2023-11-01,26.930219710155818,35.50922966016195,14.49831961322806,8.579009950006125,Uber
2023-12-01,26.911684900790426,35.12850502059609,15.462926169966543,8.216820119805671,Uber
2024-01-01,26.011599449303723,34.98098049930447,15.889149326125315,8.969381050000754,Uber
2024-02-01,25.999079374215235,33.903878785785665,14.46022552218062,7.904799411570427,Uber
2024-03-01,25.225325906610752,33.07618536264798,14.474601733013484,7.850859456037234,Uber
2024-04-01,25.422703314874585,33.96357325118802,15.000043487636344,8.540869936313433,Uber
2024-05-01,25.37760109492673,33.87246299592535,14.006044845548466,8.494861900998616,Uber
2024-06-01,24.890979348646454,33.083529491461725,14.043427738435948,8.19255014281528,Uber
2024-07-01,25.039464188920167,33.75286133738605,14.200224695522543,8.713397148465887,Uber
2024-08-01,24.093672819777527,32.1201333560608,13.490529594525288,8.02646053628327,Uber
2024-09-01,25.953186568578257,34.148720400773506,14.371960116351644,8.19553383219525,Uber
2024-10-01,25.281896328702093,33.90246247539403,13.79901670654948,8.620566146691933,Uber
2024-11-01,24.853180781061752,33.11773874727513,13.503243307745219,8.264557966213383,Uber
2024-12-01,23.782349034108364,31.768939847873824,12.923273561558307,7.986590813765453,Uber
2025-01-01,23.22903236730006,31.231232423704526,12.952142134083438,8.002200056404464,Uber
2025-02-01,24.49738491127444,32.027362698879415,13.54163978531478,7.529977787604972,Uber
2025-03-01,23.601736527697224,30.878904388699507,12.750199000171076,7.277167861002281,Uber
2025-04-01,23.924890973406594,32.10440944786143,13.016171582816364,8.17951847445483,Uber
2025-05-01,23.113708251016863,30.481172937027782,11.771404759664366,7.36746468601093,Uber
2025-06-01,23.12150958494462,30.562374094436457,12.30151041971093,7.440864509491835,Uber
2025-07-01,23.48196146139724,31.228784157757605,13.214318696297225,7.746822696360364,Uber
2025-08-01,22.956523572609402,30.46094287519519,12.363075902046702,7.504419302585781,Uber
2025-09-01,25.558031686100698,33.788370064602695,14.026072942635171,8.230338378502,Uber
2025-10-01,24.848475742314626,33.011754601894225,13.241244880867093,8.163278859579592,Uber
2025-11-01,23.89382551487169,31.338254307925766,12.47439049723331,7.444428793054084,Uber
2025-12-01,22.32819703426576,29.460625405948626,12.556079296194325,7.132428371682869,Uber
2026-01-01,21.950771314572645,28.15920767653869,12.122879975630212,6.208436361966038,Uber
2026-02-01,22.44434702515592,28.927656694011404,12.04673149152752,6.483309668855486,Uber
2026-03-01,22.5439152633815,29.64691647008273,12.390673787446744,7.103001206701235,Uber
2026-04-01,23.765313963583303,31.180470713335833,12.821181724997889,7.415156749752534,Uber
2019-02-01,28.288895024906207,36.4919055549357,15.474317467882647,8.203010530029497,Lyft
2019-03-01,26.303007625686437,34.271131570474,13.586030322755507,7.968123944787562,Lyft
2019-04-01,26.057589920675884,34.803791651704195,14.000011319114211,8.746201731028314,Lyft
2019-05-01,25.68649433587688,34.31366074930146,13.464308578223866,8.627166413424577,Lyft
2019-06-01,25.368939983568815,33.854496750681854,12.96772613017289,8.485556767113039,Lyft
2019-07-01,25.501217161129386,34.139470437404746,13.837650263347967,8.638253276275362,Lyft
2019-08-01,25.96690501481576,34.788349907469275,12.874570542492483,8.821444892653519,Lyft
2019-09-01,26.832145878956943,35.77966378545148,13.894415142017749,8.947517906494546,Lyft
2019-10-01,27.089280388870858,37.90544728414007,14.524546969315393,10.816166895269218,Lyft
2019-11-01,28.21064209693206,37.661083190184456,13.696079390997593,9.450441093252397,Lyft
2019-12-01,27.17567631497706,36.30158906377463,13.52265582233239,9.125912748797571,Lyft
2020-01-01,29.61249443274439,39.78453580372703,15.995129739390018,10.172041370982637,Lyft
2020-02-01,31.906608302310136,41.47922843927277,16.712410870731862,9.572620136962632,Lyft
2020-03-01,24.38086113341634,32.94183297243044,12.010947833239594,8.560971839014101,Lyft
2020-04-01,9.33739922285786,14.699207441133128,3.4208595603636103,5.361808218275266,Lyft
2020-05-01,9.774158259774751,15.124322961286952,3.526591877320869,5.350164701512199,Lyft
2020-06-01,11.301438153313999,18.000602066054487,4.212944574806776,6.699163912740487,Lyft
2020-07-01,13.831932721437465,21.021961682919862,5.588757567809292,7.190028961482399,Lyft
2020-08-01,16.538201809670312,23.94517570102189,7.870799744293536,7.406973891351575,Lyft
2020-09-01,19.589243906402118,28.083168888396585,10.454015564576627,8.49392498199447,Lyft
2020-10-01,21.785702029465035,29.846549193571274,11.464721618830126,8.06084716410624,Lyft
2020-11-01,20.698367295674856,29.145676294087163,11.489967350423646,8.447308998412304,Lyft
2020-12-01,18.144228629184237,25.83294155724988,9.992597930110323,7.688712928065648,Lyft
2021-01-01,17.631723717329525,24.743914341449713,9.159625607232595,7.112190624120187,Lyft
2021-02-01,18.993952707722887,26.472306204524955,11.011020290693718,7.478353496802069,Lyft
2021-03-01,20.03269575015613,28.25833779441212,11.114738030800854,8.225642044255984,Lyft
2021-04-01,20.544325123451717,28.75300623036124,10.640595734149,8.208681106909518,Lyft
2021-05-01,22.416312417313026,31.68630840116989,12.609539598858104,9.26999598385686,Lyft
2021-06-01,23.373641683319757,32.735240759936495,13.80191809885748,9.36159907661674,Lyft
