year,p10,p50,p90
2019,6.8698806837551345,12.413103831204886,26.220687463838907
2020,8.058394160583942,13.657886912524123,27.841359773371103
2021,7.4855823430223225,12.74418604651163,26.50393700787402
2022,7.051094890510949,12.384839650145771,26.276923076923072
2023,6.8658119111608436,12.176470588235295,25.84700136914283
2024,6.760558990305468,12.029295111521671,25.69851105866471
2025,6.854159388646289,12.074239350912778,25.57682299707213
2026,6.519578149069795,11.548872180451127,25.075620793055002
