month,operator,cbd_share_of_city,buffer_share_of_manhattan,airport_share_of_city,outer_borough_share
2018-01-01,uber,0.3353491103351946,0.08178251762607114,0.027547499147100217,0.48435397191936924
2018-02-01,uber,0.3534026648243435,0.08077964741198546,0.02526401592482924,0.4646677170559444
2018-03-01,uber,0.329649713414459,0.08150366082391554,0.02617121291597995,0.4941967358933627
2018-04-01,uber,0.32206331363938684,0.0822608642289181,0.027088187132683263,0.49966796447051287
2018-05-01,uber,0.31854666300173323,0.08416451808927428,0.02846002168418963,0.5027181589817593
2018-06-01,uber,0.31372748047802923,0.08070594434673749,0.028949190009149493,0.5153447835912531
2018-07-01,uber,0.30888085200903115,0.07997147514262429,0.02788094671565757,0.525136271718656
2018-08-01,uber,0.30590920077470957,0.0783945792466736,0.030592238464894797,0.5284467198834797
2018-09-01,uber,0.3122806691343777,0.0804684195397598,0.029706555928855717,0.5182338970022572
2018-10-01,uber,0.31413447624417506,0.08437031584189332,0.031170690844645802,0.5107809221487204
2018-11-01,uber,0.3133149390946949,0.0859591185441031,0.03178898312556802,0.5065048883628817
2018-12-01,uber,0.3147760811703422,0.08404256035707951,0.02730415172234555,0.5104155292791063
2019-01-01,uber,0.31749045250740654,0.08496959296583004,0.02994266009167879,0.5022717471153098
2019-02-01,uber,0.2902449803018143,0.08648677304242924,0.026387693746106756,0.533253321150757
2019-03-01,uber,0.2652011686355971,0.08624471509766317,0.02834143729224449,0.5625573966166936
2019-04-01,uber,0.26007470252027526,0.08779091019861095,0.030835985499784346,0.5645332404684918
2019-05-01,uber,0.26586655536606196,0.08859751819582434,0.03436672108569351,0.5553613504629722
2019-06-01,uber,0.2693706118745866,0.0863728610615967,0.032539689631332525,0.5578842752955964
2019-07-01,uber,0.27539396855522946,0.08439243230326818,0.031159595858604477,0.5551814452392159
2019-08-01,uber,0.2719159657667483,0.08309569359453457,0.034570099002598324,0.5569479229361569
2019-09-01,uber,0.2836710270734729,0.08559772957766346,0.03460964722595916,0.5420512899263996
2019-10-01,uber,0.2852427592026462,0.09051316284697522,0.03478589853069648,0.5366800630547134
2019-11-01,uber,0.2603646781329004,0.0884697656276028,0.029849567730744042,0.5693793002289452
2019-12-01,uber,0.2489304258505661,0.08999273858254561,0.03034816634217248,0.5843148067591775
2020-01-01,uber,0.24454058180233365,0.08781702680590982,0.031948892930180016,0.5872839909418981
2020-02-01,uber,0.25185233848210903,0.086386555169188,0.027809419889595514,0.5831359893955337
2020-03-01,uber,0.19573612296974163,0.0854836820945916,0.022126481517969577,0.646371988820048
2020-04-01,uber,0.09090342516999919,0.08182571420271974,0.004882406855030295,0.7628710916731479
2020-05-01,uber,0.10142856489798904,0.08062426025814359,0.0053471755557688875,0.750360226924677
2020-06-01,uber,0.12526951171277542,0.08613832813223511,0.00876329535911839,0.7232016802956884
2020-07-01,uber,0.15370495880283058,0.08499097123419612,0.009123356208453118,0.6932467264898615
2020-08-01,uber,0.1705239710757666,0.08324484289320219,0.01018031028667363,0.6764841872527623
2020-09-01,uber,0.18445650800130578,0.08568834716965706,0.009694814690654701,0.6596338848670774
2020-10-01,uber,0.20875666947715205,0.08783755765015169,0.01003259864640947,0.6317926732599135
2020-11-01,uber,0.1937155137032474,0.08783763843275563,0.010597227185420775,0.6466667118858183
2020-12-01,uber,0.17233281317161708,0.09086857557139257,0.011347712746278922,0.6696204854563512
2021-01-01,uber,0.17578417827568474,0.08707828222901051,0.013905978745433822,0.6614264472672537
2021-02-01,uber,0.18741985643129036,0.0891729615687223,0.010891050426961538,0.6570976232364207
2021-03-01,uber,0.19594319270569463,0.08747434234080739,0.012064882816070743,0.6475102940270199
2021-04-01,uber,0.21085561103159764,0.08791898209342242,0.014555361150851613,0.6311152404665232
2021-05-01,uber,0.22783459928813332,0.08994054466100757,0.019026125514188447,0.6120339558999816
2021-06-01,uber,0.2427022812024962,0.0916869184102924,0.021878706658335457,0.5977758078514707
2021-07-01,uber,0.24790889284947903,0.08747228220163054,0.024329377876063995,0.5977763964557354
2021-08-01,uber,0.2405219894381862,0.08754276805679792,0.027329402067581138,0.601134011445713
2021-09-01,uber,0.2663667281751532,0.0899979622610751,0.026408441225075248,0.567987406739548
2021-10-01,uber,0.2804994423243932,0.09016701774769757,0.02653555540958542,0.5507310683242566
2021-11-01,uber,0.27660306033018167,0.09429927280408677,0.03205576429910669,0.5453384046048815
2021-12-01,uber,0.26592922765345606,0.09337418416608557,0.030286792634565934,0.5589517348362625
2022-01-01,uber,0.2535408530208565,0.09251206287836558,0.02726380613321434,0.573063425115574
2022-02-01,uber,0.2842974945791321,0.08936483013434479,0.026530780556154192,0.5418859249929036
2022-03-01,uber,0.2852228812888124,0.08935611107866923,0.0321268321775727,0.5387481973710758
2022-04-01,uber,0.28667037003588935,0.08991239902708183,0.034908292546951554,0.5331541497540091
2022-05-01,uber,0.2855046805806934,0.09335272078916959,0.03804468448663547,0.53137550168862
2022-06-01,uber,0.2895041676677779,0.09171406638669867,0.03654698765726365,0.5326542926133395
