month,pool_req,pool_match,n
2019-02-01,0.2992378684842216,0.21882026404744703,57826
2019-03-01,0.25762076270408607,0.19054856337419304,58731
2019-04-01,0.2002169948436537,0.15582099505900848,58602
2019-05-01,0.18729967978414075,0.14651317322842786,58788
2019-06-01,0.14985384500602394,0.10339990119853477,57986
2019-07-01,0.15207097373132625,0.10452795411223972,55628
2019-08-01,0.17187067750504706,0.11418660221414363,57764
2019-09-01,0.1481676706179418,0.09567469560344215,58258
2019-10-01,0.13006601626568187,0.08589239892270391,59153
2019-11-01,0.12274954223569488,0.0731811090154602,58290
2019-12-01,0.1020840726124036,0.06411381140457588,57915
2020-01-01,0.12140746464821173,0.0760838705735792,57178
2020-02-01,0.11303933708108117,0.07052862331857164,57275
2020-03-01,0.09752275018372521,0.057500848603983266,57388
2020-04-01,0.0,0.0,56040
2020-05-01,0.0,0.0,55133
2020-06-01,0.0,0.0,56167
2020-07-01,0.0,0.0,57264
2020-08-01,0.0,0.0,56331
2020-09-01,0.0,0.0,56482
2020-10-01,0.0,0.0,55114
2020-11-01,0.0,0.0,57647
2020-12-01,0.0,0.0,56904
2021-01-01,0.0,0.0,56134
2021-02-01,0.0,0.0,53800
2021-03-01,0.0,0.0,54515
2021-04-01,0.0,0.0,58020
2021-05-01,0.0,0.0,56859
2021-06-01,0.0,0.0,57592
2021-07-01,0.0,0.0,58444
2021-08-01,0.0,0.0,57634
2021-09-01,0.0,0.0,56977
2021-10-01,0.0,0.0,55686
2021-11-01,0.0,0.0,55408
2021-12-01,0.0,0.0,56580
2022-01-01,0.0,0.0,57827
2022-02-01,0.0,0.0,57720
2022-03-01,0.0,0.0,57961
2022-04-01,0.0,0.0,57335
2022-05-01,0.0,0.0,58312
2022-06-01,0.0020847443895062935,0.00027552254456068886,56791
2022-07-01,0.015952942469755142,0.0014227293182308926,58453
2022-08-01,0.013165914595393473,0.0010829563268020255,56783
2022-09-01,0.013083704335068351,0.001316404527641473,57540
2022-10-01,0.0185834899446074,0.001823852274145654,58321
2022-11-01,0.014974933032103956,0.0017385947583795386,56908
2022-12-01,0.013990524291302143,0.001992376877147471,58860
2023-01-01,0.016404242293779077,0.003570192543292078,54030
2023-02-01,0.021771441704231488,0.0058663262103254305,57162
2023-03-01,0.018348274308224995,0.004857082975443867,56838
2023-04-01,0.02368764850126351,0.007656903940361455,58430
2023-05-01,0.02820115236417928,0.009546510446335796,58523
2023-06-01,0.02887019760145523,0.008576691545911478,58626
2023-07-01,0.03359318496615632,0.010192622212160267,57446
2023-08-01,0.03420559188707715,0.008367145942925012,55299
2023-09-01,0.038148864555807314,0.009972847385112749,56847
2023-10-01,0.04610932535327771,0.014864008891520251,57732
2023-11-01,0.049881754441140465,0.01470387609662821,57314
2023-12-01,0.04911488765937372,0.012772463562100614,57233
2024-01-01,0.049643573307785904,0.014488179798694658,57894
2024-02-01,0.05224923931938757,0.016739079998427442,56886
2024-03-01,0.052273368691844894,0.016315730095888284,56876
2024-04-01,0.05074200043442684,0.020336027891786866,56497
2024-05-01,0.051499430142882295,0.017941482922807492,58258
2024-06-01,0.05053508317152172,0.018243663158112683,57928
2024-07-01,0.04842769263337254,0.020982262096304084,57629
2024-08-01,0.05104855011828969,0.022554045351956282,58146
2024-09-01,0.04488150376230443,0.02489653849773447,55314
2024-10-01,0.04210891056017446,0.022723130927905167,57156
2024-11-01,0.041371397862679134,0.021310724409480633,56452
2024-12-01,0.05239586296180527,0.029227628677397376,58152
2025-01-01,0.05562225894250732,0.031607320668214506,58563
2025-02-01,0.046976121762107644,0.023608417171423823,56592
2025-03-01,0.03973752657116725,0.020406511345158584,57990
2025-04-01,0.04081439552797527,0.024985980423437287,57886
2025-05-01,0.046624115613123455,0.02681832464933265,58448
2025-06-01,0.03936766833331562,0.022335184671826238,58313
2025-07-01,0.042558130614971976,0.02658570747637167,57089
2025-08-01,0.044014407669500585,0.02687620628098682,57823
2025-09-01,0.03723827726421257,0.021763286371998695,56756
2025-10-01,0.03285612151384634,0.01972590537837673,58172
2025-11-01,0.02716140200454157,0.015672856045985107,56081
2025-12-01,0.025561833899757778,0.014793934829460483,57885
2026-01-01,0.02410584854465509,0.011766445956264754,56907
2026-02-01,0.02779285711392376,0.015726314267270437,57223
2026-03-01,0.021174968646843335,0.012365881478442389,56588
2026-04-01,0.027592778329023914,0.017688200414637263,55590
