month,borough,u,l,uber_share
2019-03-01,Queens,3187185.0,898913.0,0.7800069895533587
2019-03-01,Staten Island,202550.0,50526.0,0.8003524632916594
2019-04-01,0,4044.0,1016.0,0.799209486166008
2019-04-01,Bronx,2210677.0,315338.0,0.8751638450286321
2019-04-01,Brooklyn,4043856.0,1373962.0,0.746399380710094
2019-04-01,Manhattan,6352218.0,1746103.0,0.7843870352879319
2019-04-01,Queens,2994874.0,837842.0,0.7813973172027356
2019-04-01,Staten Island,187958.0,42152.0,0.8168180435443918
2019-05-01,0,3920.0,1056.0,0.7877813504823151
2019-05-01,Bronx,2156967.0,343499.0,0.8626260065123861
2019-05-01,Brooklyn,4041222.0,1485041.0,0.7312757282814807
2019-05-01,Manhattan,6530894.0,1909015.0,0.7738109498573977
2019-05-01,Queens,3086330.0,926892.0,0.7690404368360385
2019-05-01,Staten Island,195531.0,44946.0,0.8130964707643559
2019-06-01,0,3713.0,1183.0,0.7583741830065359
2019-06-01,Bronx,1896545.0,390473.0,0.8292654452216817
2019-06-01,Brooklyn,3697423.0,1594859.0,0.6986443655118907
2019-06-01,Manhattan,5912980.0,1994296.0,0.7477897571806018
2019-06-01,Queens,2834444.0,1003519.0,0.7385282244774116
2019-06-01,Staten Island,182181.0,47158.0,0.7943742669149163
2019-07-01,0,3705.0,1154.0,0.7625025725457913
2019-07-01,Bronx,1841709.0,362232.0,0.835643513143047
2019-07-01,Brooklyn,3541512.0,1448009.0,0.7097899778355478
2019-07-01,Manhattan,5825392.0,1892195.0,0.7548203862165727
2019-07-01,Queens,2779092.0,965313.0,0.7421985602518958
2019-07-01,Staten Island,181191.0,43370.0,0.8068676217152577
2019-08-01,0,4076.0,1226.0,0.7687665032063372
2019-08-01,Bronx,1801098.0,375374.0,0.8275309767366638
2019-08-01,Brooklyn,3525259.0,1426778.0,0.7118805857064476
2019-08-01,Manhattan,5704363.0,1909850.0,0.7491730268118321
2019-08-01,Queens,2835513.0,975087.0,0.7441119508738782
2019-08-01,Staten Island,183654.0,41266.0,0.8165303218922283
2019-09-01,0,3890.0,1134.0,0.7742834394904459
2019-09-01,Bronx,1716005.0,354814.0,0.8286600615505266
2019-09-01,Brooklyn,3539254.0,1382207.0,0.7191470175218294
2019-09-01,Manhattan,5927003.0,1934782.0,0.7539004182892307
2019-09-01,Queens,2715443.0,928695.0,0.7451537235966366
2019-09-01,Staten Island,182186.0,40056.0,0.8197640410003509
2019-10-01,0,5209.0,1615.0,0.763335287221571
2019-10-01,Bronx,1772604.0,429735.0,0.8048733641823534
2019-10-01,Brooklyn,3606903.0,1537519.0,0.7011289120527049
2019-10-01,Manhattan,6233226.0,2324522.0,0.7283722306382473
2019-10-01,Queens,2821924.0,1040364.0,0.7306353125401317
2019-10-01,Staten Island,192362.0,46523.0,0.8052493877807313
2019-11-01,0,4618.0,1198.0,0.7940165061898212
2019-11-01,Bronx,2101307.0,380518.0,0.8466781501516022
2019-11-01,Brooklyn,4114816.0,1463764.0,0.7376099294085592
2019-11-01,Manhattan,6273307.0,2323054.0,0.7297630939417272
2019-11-01,Queens,3049111.0,962716.0,0.7600305297312172
