event_time,coef,se,ci_low,ci_high,operator,reference
-12,0.019630587257670307,0.048328449035276964,-0.07509317285147254,0.11435434736681316,Uber,False
-11,0.0845646632354029,0.049173487447236576,-0.011815372161180782,0.1809446986319866,Uber,False
-10,0.12422021802935301,0.0484201015885266,0.02931681891584087,0.21912361714286516,Uber,False
-9,0.11013504305868449,0.04859619192685304,0.014886506882052522,0.20538357923531647,Uber,False
-8,0.11636850931721399,0.04889509224201403,0.0205341285228665,0.21220289011156146,Uber,False
-7,0.16041437814986526,0.046937805080120555,0.06841628019282897,0.25241247610690154,Uber,False
-6,0.03612084051806064,0.04839313245309337,-0.05872969909000236,0.13097138012612364,Uber,False
-5,0.1097288867539441,0.04899759178664017,0.013693606852129364,0.20576416665575883,Uber,False
-4,0.22384019060407434,0.04617957924217815,0.13332821528940517,0.3143521659187435,Uber,False
-3,0.1503160977238447,0.04640011417779431,0.05937187393536783,0.24126032151232155,Uber,False
-2,0.24471827707264504,0.0468253950644213,0.1529405027463793,0.3364960513989108,Uber,False
-1,0.0,0.0,0.0,0.0,Uber,True
1,0.18085108287893004,0.048316477529711785,0.08615078692069494,0.27555137883716513,Uber,False
2,0.24112729739994454,0.04756102977316547,0.14790767904454022,0.33434691575534886,Uber,False
3,0.17341145133710323,0.047082743655369214,0.08112927377257957,0.2656936289016269,Uber,False
4,0.2853159147559483,0.048306488708860645,0.19063519688658143,0.3799966326253152,Uber,False
5,0.29158161698439167,0.047005596002262055,0.19945064881995805,0.3837125851488253,Uber,False
6,0.165954973393327,0.04822367014344336,0.07143657991217801,0.260473366874476,Uber,False
7,0.21730214964234773,0.04709377933672341,0.12499834214236985,0.30960595714232564,Uber,False
8,0.19237664285103717,0.046805093209899215,0.10063866015963471,0.2841146255424396,Uber,False
9,0.1977740868244091,0.04676604054245678,0.10611264736119382,0.2894355262876244,Uber,False
10,0.3331603161881953,0.047701788185553415,0.23966481134451062,0.42665582103188,Uber,False
11,0.3268132833391393,0.04586970409407295,0.2369086633147563,0.41671790336352227,Uber,False
12,0.29308009667078405,0.04850412941056126,0.198012003026084,0.3881481903154841,Uber,False
-12,0.08833861381733854,0.044412743758074545,0.00128963605151243,0.17538759158316464,Lyft,False
-11,0.07699349614550166,0.046110538338000474,-0.01338315899697927,0.1673701512879826,Lyft,False
-10,0.09011245365247789,0.04624670017014116,-0.0005310786809987894,0.18075598598595455,Lyft,False
-9,0.06638445565876416,0.04459098625509593,-0.02101387740122386,0.15378278871875217,Lyft,False
-8,0.06717166048438439,0.04580378992380086,-0.022603767766265298,0.15694708873503407,Lyft,False
-7,0.12828870140978188,0.043976081197088346,0.04209558226348872,0.21448182055607504,Lyft,False
-6,0.049163042021451164,0.04592210724958662,-0.04084428818773861,0.13917037223064094,Lyft,False
-5,0.08043706001005513,0.04595235450476991,-0.009629554819293895,0.17050367483940415,Lyft,False
-4,0.11771568270845278,0.04588570876500734,0.027779693529038404,0.20765167188786715,Lyft,False
-3,0.09854080555281242,0.04311666423952392,0.014032143643345527,0.1830494674622793,Lyft,False
-2,0.146531046767997,0.04535586085783899,0.05763355948663257,0.23542853404936143,Lyft,False
-1,0.0,0.0,0.0,0.0,Lyft,True
1,0.09669547027995312,0.04298123568898853,0.012452248329535606,0.18093869223037062,Lyft,False
2,0.1471122256615507,0.04411088936050136,0.060654882514968034,0.23356956880813334,Lyft,False
3,0.059634716748265704,0.044173754407610226,-0.026945841890650343,0.14621527538718176,Lyft,False
4,0.13509630561503372,0.043975352633829956,0.04890461445272701,0.22128799677734043,Lyft,False
5,0.185619203817181,0.044344599926162576,0.09870378796190235,0.2725346196724596,Lyft,False
6,0.10252616082848698,0.04427634186339678,0.015744530776229282,0.18930779088074468,Lyft,False
7,0.12294761549244104,0.044836378004711776,0.03506831460320596,0.2108269163816761,Lyft,False
8,0.11265376023447315,0.04578847067726619,0.022908357707031424,0.20239916276191489,Lyft,False
9,0.14522063994944145,0.04357493743081049,0.05981376258505289,0.23062751731383002,Lyft,False
10,0.20091513097821634,0.045257476936044885,0.11221047618356836,0.2896197857728643,Lyft,False
11,0.26670107877595417,0.04577462756950585,0.17698280873972272,0.3564193488121856,Lyft,False
12,0.18610320626869026,0.04550673712991302,0.09691000149406073,0.2752964110433198,Lyft,False
