month,trips,mean_driver_pay,driver_pay_per_mile,driver_pay_per_hour,operator_margin_share,mean_base_fare
2018-01-01,4502999,0.0,,,,0.0
2018-02-01,3213600,0.0,,,,0.0
2018-03-01,3752152,0.0,,,,0.0
2018-04-01,3848380,0.0,,,,0.0
2018-05-01,4182248,0.0,,,,0.0
2018-06-01,4247000,0.0,,,,0.0
2018-07-01,4666259,0.0,,,,0.0
2018-08-01,4766845,0.0,,,,0.0
2018-09-01,4721403,0.0,,,,0.0
2018-10-01,4820273,0.0,,,,0.0
2018-11-01,4707485,0.0,,,,0.0
2018-12-01,4806092,0.0,,,,0.0
2019-01-01,4539008,0.0,,,,0.0
2019-02-01,13504994,15.500640220202985,3.2983442427030942,49.741723559198135,0.01378199981054229,15.71725543158331
2019-03-01,17248340,15.894918957998275,3.3797870659674913,50.664263910005154,-0.049433685950014405,15.146187101483388
2019-04-01,15657454,15.926703573901605,3.4016638214404322,51.068906313434184,0.005678442062655775,16.01765892206996
2019-05-01,15876126,17.112029304252186,3.601259121485684,52.87728938409134,0.04281925551445731,17.8775319111224
2019-06-01,14397173,17.212959292077688,3.6391580980811282,53.78165273213053,0.08927378226159233,18.90025669275489
2019-07-01,14043151,15.78446268576048,3.3839095387589126,51.79892530599188,0.06614060307505587,16.902397446271138
2019-08-01,13926310,13.819817053476477,2.890992218012098,45.07991311763583,0.07750704513650719,14.980945903832387
2019-09-01,13964852,16.401906686157503,3.4426447235509663,50.87285083569275,0.10863030429941933,18.40079011578497
2019-10-01,14509894,15.393262905297584,3.319281186515377,49.009302531305885,0.14883551664050143,18.084945044395223
2019-11-01,15611001,14.995587751868056,3.331428368422568,49.51930974800704,0.09771954345280975,16.619652618048004
2019-12-01,16105724,15.774067597954616,3.517888894750742,52.35668181748035,0.12722537506372544,18.073471830263575
2020-01-01,14582520,14.060572114421923,3.1509548699204926,50.67128287535711,0.1632592378275266,16.803976512290056
2020-02-01,15743610,14.44387443858175,3.253189041795183,50.70206747816421,0.08339347004197983,15.757987715015807
2020-03-01,9836781,14.198990335354624,3.192418551777,52.57839420504931,0.08972003020313601,15.59848706604325
2020-04-01,3102835,12.40401171186995,2.792381270454964,55.865787588131724,0.2239244796224833,15.982995708763116
2020-05-01,4359377,13.1201690058006,2.902863029092995,53.92865944048683,0.23133745960932484,17.06882840827944
2020-06-01,5114308,15.389124747668697,3.3666227817580756,58.58879405669456,0.20137033262801984,19.2694128159665
2020-07-01,7081522,15.902185480748347,3.6400632733848575,61.26506820114587,0.15161045344453072,18.74396678425909
2020-08-01,7856499,14.988332623729729,3.2935309739771745,54.40768593617284,0.15458278895188415,17.728918252264783
2020-09-01,8847755,15.003662219399159,3.2113485592284583,51.61885494694806,0.1423254405972899,17.49342108252319
2020-10-01,9797775,14.718240169834479,3.2437948458778703,51.245623235698986,0.1651236706758349,17.629245976765134
2020-11-01,8375281,14.542853326354066,3.1615774737042885,51.56864830259118,0.19006288409014038,17.955533881191567
2020-12-01,8486416,14.318393569205186,3.239002172101972,51.61442104462092,0.17041959813701169,17.259802108451908
2021-01-01,8704128,13.910997694427287,3.12025811241,52.997307108241415,0.17533986346939445,16.868764571247116
2021-02-01,8290758,16.03750318125315,3.6111119165947,57.61499263972505,0.14903206713336947,18.846189805564222
2021-03-01,10173376,16.111132569955146,3.5580739405050026,57.00275602661252,0.16129155500781567,19.209455521942765
2021-04-01,10238382,16.881242876071628,3.6963298097508,58.03981324536876,0.18657000640251276,20.753160086232374
2021-05-01,10808415,18.596102541399457,3.903394997202201,61.88579756158677,0.16725633940567308,22.33112471625118
2021-06-01,10747390,19.730657096281053,4.018050880745342,62.09073272059123,0.17039291719132155,23.783134817848797
2021-07-01,10704366,18.965941680245237,3.8267714646635724,62.10513495044421,0.1936964547143234,23.52208642903279
2021-08-01,10196747,19.05577981781837,3.802179939856491,62.403457704839354,0.1841492501598586,23.35694343794153
