month,borough,pay,seconds,tips,fare,trips,pay_per_hour,pay_per_trip,tip_share,margin_share
2019-02-01,Manhattan,100469071.11,6910436095.0,3123732.55,104174660.61,5960819,52.33948350346477,16.854910560109275,0.030153953166981984,0.0355709294208566
2019-02-01,Queens,41241581.54,2712566882.0,1210640.36,42310287.73,2266758,54.73402131730369,18.194082270802618,0.02851771487607343,0.02525877859351533
2019-02-01,Staten Island,2192464.65,141302621.0,77677.51,2177167.41,148533,55.85793585527334,14.760791541273656,0.03421702454087722,-0.007026212100060603
2019-03-01,Bronx,30705019.4,2367896413.0,351405.25,25924029.89,2452904,46.68197022181139,12.517823526725872,0.011315058122764303,-0.18442308276477615
2019-03-01,Brooklyn,60684735.61,4855609827.0,1212738.03,57219615.23,4471468,44.992298800700155,13.57154643844035,0.01959269027768998,-0.060558260765501526
2019-03-01,Manhattan,123575605.44,8373075470.0,3817289.03,120797001.77,7074161,53.13127550061363,17.468588209965816,0.029964693446061393,-0.023002256920999775
2019-03-01,Queens,56718980.06,3735219959.0,1598155.51,54952933.0,3090877,54.665677110663566,18.3504487755417,0.027404561187366287,-0.032137448605336516
2019-03-01,Staten Island,3019368.65,191968317.0,100309.53,2827610.69,202550,56.622505785681284,14.906781782275981,0.03215380696735841,-0.06781625231442301
2019-04-01,Bronx,27327847.69,2095646845.0,329583.52,24559683.06,2210677,46.9450527500496,12.36175510488416,0.011916635261514586,-0.11271174075159274
2019-04-01,Brooklyn,54466388.16,4328002923.0,1153863.2,54455933.44,4043856,45.30472850052647,13.468923759896494,0.020745379098193274,-0.00019198495626771006
2019-04-01,Manhattan,111837005.48,7547120122.0,3620661.67,115419529.17,6352218,53.34660283919091,17.605977231889714,0.03135921380860846,0.031039146631098635
2019-04-01,Queens,53484002.29,3471926703.0,1599100.5,54128084.160000004,2904092,55.45693348814916,18.416772708991314,0.029030690338858453,0.011899217938254214
2019-04-01,Staten Island,2761392.24,175138411.0,92348.57,2711012.97,187958,56.760889899817585,14.691538748018175,0.032360531719066665,-0.01858319032682454
2019-05-01,Bronx,27315392.91,2055048340.0,363625.87,26345627.22,2156967,47.85065760350922,12.663797318178721,0.013137238458132944,-0.036809360502293
2019-05-01,Brooklyn,57196309.910000004,4407259300.0,1373541.72,60134268.85,4041222,46.719900432452434,14.153221453807785,0.02345134368236063,0.04885665022931429
2019-05-01,Manhattan,125668626.81,8078018183.0,4621541.55,133082051.58,6530894,56.00470886139871,19.242178300551195,0.035471145737032035,0.05570566941210353
2019-05-01,Queens,59118527.84,3812475910.0,2010696.02,61826756.95,2993838,55.823749512951025,19.74673574188049,0.03289254947199979,0.04380351232380142
2019-05-01,Staten Island,2906838.51,184210790.0,105604.05,2976851.32,195531,56.807848421908396,14.866381852493976,0.03505595472665212,0.023519081900267746
2019-06-01,Bronx,24021037.72,1776179219.0,352161.73,24892182.57,1896545,48.68637965525031,12.665682976148734,0.014448728026964059,0.03499672427478906
2019-06-01,Brooklyn,52897752.43,3971402993.0,1422693.15,58495393.8,3697423,47.9507894524065,14.306654237289052,0.026190748894074148,0.09569371204062216
2019-06-01,Manhattan,114437814.7,7273942594.0,4692392.59,126903725.41,5912980,56.63725381333412,19.353661723868505,0.0393887721405307,0.09823124317056242
