spec,model,test_auprc,test_roc,test_zombie_rate
Without ICR (leakage-free),Logistic,0.1742763459564998,0.7865076796741894,0.03811180517118684
Without ICR (leakage-free),Random Forest,0.23203462363107002,0.8378123758213909,0.03811180517118684
Without ICR (leakage-free),XGBoost,0.30448858384676386,0.8744417132256507,0.03811180517118684
With ICR lags (leaky baseline),Logistic,0.29826192349371267,0.8978950383283062,0.041543680338340896
With ICR lags (leaky baseline),Random Forest,0.8455042047448352,0.9947126030200564,0.041543680338340896
With ICR lags (leaky baseline),XGBoost,0.8364907332648532,0.9945022540557307,0.041543680338340896
