month_date,L_female,L_male,n_items,gap_pp
2019-09-01,95.34358808721223,93.06292804353265,27.0,2.2806600436795748
2019-10-01,95.91033460972167,93.1907045613319,27.0,2.7196300483897744
2019-11-01,95.66856932904378,92.51748200842987,27.0,3.151087320613911
2019-12-01,94.42113892536852,90.66416614841319,27.0,3.7569727769553367
2020-01-01,97.7277898095013,96.38335466772034,27.0,1.3444351417809628
2020-02-01,97.12217446720055,96.54883413677892,27.0,0.5733403304216296
2020-03-01,98.08376493317408,96.43157254749887,27.0,1.6521923856752068
2020-04-01,98.01205010249211,97.76042291277895,27.0,0.25162718971316167
2020-05-01,98.42587403774948,97.42718473034284,27.0,0.9986893074066359
2020-06-01,97.39150512320985,96.02786015375557,27.0,1.3636449694542847
2020-07-01,97.80913618004315,97.33259299574661,27.0,0.4765431842965455
2020-08-01,97.65901225857161,97.27050253771662,27.0,0.3885097208549837
2020-09-01,96.97921180122223,96.1877538335424,27.0,0.7914579676798326
2020-10-01,97.41988211731648,96.32040355876268,27.0,1.0994785585537983
2020-11-01,98.16598325108819,97.22951275872325,27.0,0.936470492364947
2020-12-01,96.74375393759075,94.98745313157639,27.0,1.756300806014366
2021-01-01,99.62074936548393,98.98808645685182,27.0,0.6326629086321134
2021-02-01,99.0499465040038,98.12517779309731,27.0,0.9247687109064913
2021-03-01,99.81246950681893,99.23479074625375,27.0,0.5776787605651776
2021-04-01,99.05399118565067,98.38635933658418,27.0,0.6676318490664954
2021-05-01,100.15067334322627,99.9627224794448,27.0,0.18795086378146664
2021-06-01,99.17328642379171,98.41823522798056,27.0,0.7550511958111485
2021-07-01,99.90769900855425,98.94762503073697,27.0,0.9600739778172738
2021-08-01,99.42735756073088,98.592729068043,27.0,0.8346284926878837
2021-09-01,98.48204766179788,96.81400007358324,27.0,1.668047588214634
2021-10-01,100.78422191454588,100.39587322086605,27.0,0.3883486936798306
2021-11-01,100.62187376864826,99.07016646929347,27.0,1.5517072993547885
2021-12-01,100.56402558035529,99.38650951355355,27.0,1.1775160668017435
2022-01-01,100.0,100.0,27.0,0.0
2022-02-01,100.08419047619049,100.78991208791209,27.0,-0.7057216117216001
2022-03-01,100.61902857142854,100.91924175824174,27.0,-0.3002131868131954
2022-04-01,101.91143809523811,101.52152747252747,27.0,0.38991062271064436
2022-05-01,101.79528571428571,101.3875934065934,27.0,0.4076923076923151
2022-06-01,103.52177142857141,103.15673626373625,27.0,0.3650351648351631
2022-07-01,103.59259999999999,102.5788021978022,27.0,1.0137978021977858
2022-08-01,104.5139619047619,104.32046153846153,27.0,0.19350036630036982
2022-09-01,105.09021904761904,105.26248351648351,27.0,-0.17226446886446922
2022-10-01,106.95282857142855,106.7954945054945,27.0,0.15733406593405164
2022-11-01,106.6378,106.85850549450547,27.0,-0.2207054945054665
2022-12-01,106.84054285714284,105.29131868131867,27.0,1.5492241758241647
2023-01-01,102.01699999999998,104.12808791208789,27.0,-2.1110879120879105
2023-02-01,102.583253199566,104.01811654142857,27.0,-1.4348633418625667
2023-03-01,103.25713213370922,105.23752748164834,27.0,-1.9803953479391225
2023-04-01,104.66658205434385,106.32369312307691,27.0,-1.6571110687330588
2023-05-01,105.26830802648037,107.92742177285714,27.0,-2.659113746376775
2023-06-01,104.74475590773804,105.65028560626372,27.0,-0.9055296985256831
2023-07-01,105.58778204215606,106.4570582830769,27.0,-0.8692762409208399
2023-08-01,106.62693443871345,106.64437632571429,27.0,-0.01744188700084237
2023-09-01,105.66583494611822,107.55638827857143,27.0,-1.8905533324532087
2023-10-01,107.48722053815396,109.99555798912088,27.0,-2.50833745096692
2023-11-01,106.26386396205787,108.82409502241754,27.0,-2.560231060359669
2023-12-01,106.28039064559236,106.44406543494502,27.0,-0.16367478935265467
2024-01-01,104.01396547033058,107.487899401978,27.0,-3.473933931647423
2024-02-01,103.83621265330261,107.65095104529922,27.0,-3.814738391996613
2024-03-01,103.87992486335813,106.91429740785668,27.0,-3.0343725444985523
2024-04-01,104.82875858964718,110.0333189822042,27.0,-5.204560392557013
2024-05-01,104.71588451394153,108.56064082356123,27.0,-3.8447563096196973
2024-06-01,104.619297386595,109.05149372653857,27.0,-4.432196339943573
2024-07-01,105.1367524274126,108.92587594811182,27.0,-3.7891235206992206
2024-08-01,105.43080608648285,108.90503490957116,27.0,-3.4742288230883105
2024-09-01,106.04574003781173,110.15251068422707,27.0,-4.106770646415342
2024-10-01,105.43895917652794,109.65430771465878,27.0,-4.21534853813084
2024-11-01,104.878800264478,108.2994661846873,27.0,-3.420665920209302
2024-12-01,105.46126470626274,109.31321400778637,27.0,-3.851949301523632
