item_group,w_female,w_male,infl,contrib_F,contrib_M,contrib_to_gap
womens_haircut,0.11428571428571428,0.0,0.05810165633779096,0.6640189295747538,0.0,0.6640189295747538
period_products,0.07619047619047618,0.0,0.056532398970750464,0.4307230397771464,0.0,0.4307230397771464
hair_colour,0.03809523809523809,0.0,0.07773801726869323,0.29614482769025985,0.0,0.29614482769025985
womens_highlighting,0.05714285714285714,0.0,0.04529923394911428,0.25885276542351016,0.0,0.25885276542351016
manicure,0.03809523809523809,0.0,0.05816754451035244,0.22159064575372356,0.0,0.22159064575372356
hair_styling,0.02857142857142857,0.010989010989010988,0.11770288521848205,0.33629395776709153,0.12934382991041982,0.20695012785667172
conditioner,0.047619047619047616,0.03296703296703296,0.11975064217730758,0.5702411532252741,0.3947823368482667,0.17545881637700744
moisturiser,0.05714285714285714,0.03296703296703296,0.06274573040545395,0.35854703088830825,0.2068540562817163,0.15169297460659195
body_lotion,0.047619047619047616,0.021978021978021976,0.045609265711308744,0.21718697957766067,0.10024014442045875,0.11694683515720192
electric_toothbrush,0.02857142857142857,0.03296703296703296,-0.2042070208082647,-0.5834486308807563,-0.6732099587085648,0.08976132782780855
foundation,0.047619047619047616,0.0,0.0109470250551702,0.05212869073890571,0.0,0.05212869073890571
nail_varnish,0.019047619047619046,0.0,0.018709823630996603,0.03563775929713638,0.0,0.03563775929713638
toilet_rolls,0.03809523809523809,0.04395604395604395,-0.04836459284646821,-0.18424606798654555,-0.21259161690755254,0.02834554892100699
lip_gloss,0.019047619047619046,0.0,0.01126102705073162,0.021449575334726894,0.0,0.021449575334726894
mascara,0.02857142857142857,0.0,0.007169713563148328,0.020484895894709507,0.0,0.020484895894709507
sunscreen,0.019047619047619046,0.021978021978021976,0.007255232695606573,0.013819490848774423,0.015945566363970487,-0.0021260755151960645
toothpaste,0.03809523809523809,0.05494505494505494,0.014114250083829383,0.05376857174792145,0.07755082463642517,-0.02378225288850372
toothbrush,0.019047619047619046,0.021978021978021976,0.08290443213358056,0.15791320406396298,0.18220754315072651,-0.02429433908676354
shampoo,0.05714285714285714,0.06593406593406592,0.05731960839857919,0.3275406194204525,0.3779314839466759,-0.05039086452622343
perfume,0.047619047619047616,0.05494505494505494,0.13099949443092562,0.623807116337741,0.7197774419281626,-0.09597032559042162
liquid_soap,0.02857142857142857,0.04395604395604395,0.07084880329145093,0.20242515226128838,0.31142331117121286,-0.10899815890992448
deodorant,0.047619047619047616,0.0879120879120879,0.06609911567086524,0.3147576936707868,0.5810911267768372,-0.26633343310605034
razor_blades,0.009523809523809523,0.0879120879120879,0.04396999531787227,0.04187618601702121,0.38654940938788807,-0.34467322337086687
shower_gel,0.03809523809523809,0.07692307692307691,0.10100255124473545,0.38477162378946833,0.7769427018825803,-0.39217107809311197
hair_gel,0.009523809523809523,0.04395604395604395,0.3025955800154314,0.2881862666813632,1.3300904616062919,-1.0419041949249286
mens_haircut,0.0,0.19780219780219777,0.05872351812352683,0.0,1.16156409475108,-1.16156409475108
electric_razor,0.0,0.06593406593406592,0.36758851279478666,0.0,2.42366052392167,-2.42366052392167
