iter,feature,short,coef
5,Total_Production_Value_Per_Capita,Production Value,0.0
5,Human capital index,Human Capital,0.0005755564443920351
5,Rule of law index,Rule of Law,0.0
5,Political stability — estimate,Political Stability,0.0
5,Trade (% of GDP),Trade,-0.0
5,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
5,Share of investment in GDP,Investment Share,0.0
5,Domestic credit to private sector (% of GDP),Domestic Credit,0.10876678611859802
5,Landlocked,Landlocked,-0.0
5,Urban population (% of total population),Urban Population,0.012445830841718481
5,Government revenue,Gov Revenue,-0.0
5,Capital depreciation rate,Depreciation,-0.0
5,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
5,Real interest rate (%),Real Rate,-0.0
5,"Inflation, consumer prices (annual %)",Inflation,-0.0
5,Access to electricity (% of population),Electricity,0.016291215514406703
5,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
5,L1_ECI,Lagged ECI,0.497879964237533
5,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
5,HCI_x_ProductionValue,HC × Production,0.0
5,GFCF_x_ProductionValue,GFCF × Production,-0.0
6,Total_Production_Value_Per_Capita,Production Value,-0.0
6,Human capital index,Human Capital,0.03273785197095272
6,Rule of law index,Rule of Law,0.0
6,Political stability — estimate,Political Stability,0.0
6,Trade (% of GDP),Trade,0.023030965612754133
6,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
6,Share of investment in GDP,Investment Share,0.012672901209341593
6,Domestic credit to private sector (% of GDP),Domestic Credit,0.006640028882078676
6,Landlocked,Landlocked,-0.0
6,Urban population (% of total population),Urban Population,0.0292967901614904
6,Government revenue,Gov Revenue,-0.0
6,Capital depreciation rate,Depreciation,0.0
6,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
6,Real interest rate (%),Real Rate,0.008273886565647879
6,"Inflation, consumer prices (annual %)",Inflation,-0.007283319606013235
6,Access to electricity (% of population),Electricity,0.09236028129555264
6,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.009276578705537
6,L1_ECI,Lagged ECI,0.7588674722398694
6,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
6,HCI_x_ProductionValue,HC × Production,-0.0
6,GFCF_x_ProductionValue,GFCF × Production,0.004314091768572481
7,Total_Production_Value_Per_Capita,Production Value,-0.0
7,Human capital index,Human Capital,0.007834717228103
7,Rule of law index,Rule of Law,0.0
7,Political stability — estimate,Political Stability,0.019773904262973988
7,Trade (% of GDP),Trade,-0.0
7,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
7,Share of investment in GDP,Investment Share,-0.0
7,Domestic credit to private sector (% of GDP),Domestic Credit,0.022043298812375926
7,Landlocked,Landlocked,-0.0
7,Urban population (% of total population),Urban Population,0.05633681741192717
7,Government revenue,Gov Revenue,-0.0
7,Capital depreciation rate,Depreciation,-0.0
7,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
7,Real interest rate (%),Real Rate,0.0
7,"Inflation, consumer prices (annual %)",Inflation,-0.0
7,Access to electricity (% of population),Electricity,0.03407449639045347
7,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
7,L1_ECI,Lagged ECI,0.6774781269777166
7,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
7,HCI_x_ProductionValue,HC × Production,-0.0
7,GFCF_x_ProductionValue,GFCF × Production,0.0
8,Total_Production_Value_Per_Capita,Production Value,-0.0
8,Human capital index,Human Capital,0.01507090495074199
8,Rule of law index,Rule of Law,-0.0
8,Political stability — estimate,Political Stability,0.018634712645913085
8,Trade (% of GDP),Trade,0.0025955715863656926
8,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
8,Share of investment in GDP,Investment Share,0.0
8,Domestic credit to private sector (% of GDP),Domestic Credit,0.047914037765795676
8,Landlocked,Landlocked,-0.0
8,Urban population (% of total population),Urban Population,0.014137687082715837
8,Government revenue,Gov Revenue,-0.0
8,Capital depreciation rate,Depreciation,-0.0105975456739857
8,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
8,Real interest rate (%),Real Rate,0.0
8,"Inflation, consumer prices (annual %)",Inflation,-0.02248548886920244
8,Access to electricity (% of population),Electricity,0.10048163768898155
8,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.038909367511154584
8,L1_ECI,Lagged ECI,0.4553655621249525
8,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
8,HCI_x_ProductionValue,HC × Production,0.0017003092929889416
8,GFCF_x_ProductionValue,GFCF × Production,0.030828048325017073
9,Total_Production_Value_Per_Capita,Production Value,0.0
9,Human capital index,Human Capital,0.01464908019949092
9,Rule of law index,Rule of Law,0.0
9,Political stability — estimate,Political Stability,0.0
9,Trade (% of GDP),Trade,0.0
9,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
9,Share of investment in GDP,Investment Share,0.0
9,Domestic credit to private sector (% of GDP),Domestic Credit,0.06586043821432737
9,Landlocked,Landlocked,-0.0
9,Urban population (% of total population),Urban Population,0.01039592940609701
9,Government revenue,Gov Revenue,-0.0
9,Capital depreciation rate,Depreciation,-0.0
9,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
9,Real interest rate (%),Real Rate,0.0
9,"Inflation, consumer prices (annual %)",Inflation,-0.0
9,Access to electricity (% of population),Electricity,0.0
9,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
9,L1_ECI,Lagged ECI,0.5579097225349406
9,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
9,HCI_x_ProductionValue,HC × Production,0.0
9,GFCF_x_ProductionValue,GFCF × Production,-0.0
10,Total_Production_Value_Per_Capita,Production Value,0.0
10,Human capital index,Human Capital,0.0
10,Rule of law index,Rule of Law,0.0
10,Political stability — estimate,Political Stability,0.0
10,Trade (% of GDP),Trade,-0.0
10,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
10,Share of investment in GDP,Investment Share,-0.0
10,Domestic credit to private sector (% of GDP),Domestic Credit,0.060820698008843786
10,Landlocked,Landlocked,-0.0
10,Urban population (% of total population),Urban Population,0.0
10,Government revenue,Gov Revenue,-0.0
10,Capital depreciation rate,Depreciation,-0.0
10,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
10,Real interest rate (%),Real Rate,0.0
10,"Inflation, consumer prices (annual %)",Inflation,-0.0
10,Access to electricity (% of population),Electricity,0.05325867125084567
10,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
10,L1_ECI,Lagged ECI,0.5411359437241084
10,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
10,HCI_x_ProductionValue,HC × Production,-0.0
10,GFCF_x_ProductionValue,GFCF × Production,0.0
11,Total_Production_Value_Per_Capita,Production Value,0.0
11,Human capital index,Human Capital,0.0
11,Rule of law index,Rule of Law,0.0
11,Political stability — estimate,Political Stability,0.0
11,Trade (% of GDP),Trade,-0.0
11,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
11,Share of investment in GDP,Investment Share,0.0
11,Domestic credit to private sector (% of GDP),Domestic Credit,0.02082316074395136
11,Landlocked,Landlocked,-0.0
11,Urban population (% of total population),Urban Population,0.016941625916912412
11,Government revenue,Gov Revenue,-0.0
11,Capital depreciation rate,Depreciation,-0.0
11,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
11,Real interest rate (%),Real Rate,0.0
11,"Inflation, consumer prices (annual %)",Inflation,-0.0
11,Access to electricity (% of population),Electricity,0.03686368763358107
11,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
11,L1_ECI,Lagged ECI,0.5474353596495891
11,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
11,HCI_x_ProductionValue,HC × Production,-0.0
11,GFCF_x_ProductionValue,GFCF × Production,0.0
12,Total_Production_Value_Per_Capita,Production Value,0.0
12,Human capital index,Human Capital,0.0
12,Rule of law index,Rule of Law,-0.0
12,Political stability — estimate,Political Stability,-0.0
12,Trade (% of GDP),Trade,0.0
12,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
12,Share of investment in GDP,Investment Share,0.0
12,Domestic credit to private sector (% of GDP),Domestic Credit,0.06667931445360993
12,Landlocked,Landlocked,-0.0
12,Urban population (% of total population),Urban Population,0.0
12,Government revenue,Gov Revenue,0.0
12,Capital depreciation rate,Depreciation,0.0
12,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.02294074988481215
12,Real interest rate (%),Real Rate,0.01971819615573287
12,"Inflation, consumer prices (annual %)",Inflation,-0.02178276793070606
12,Access to electricity (% of population),Electricity,0.05379976233092532
12,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
12,L1_ECI,Lagged ECI,0.6167488272597065
12,Forestry rents (% of GDP),Forestry rents (% GDP),0.015740607386353925
12,HCI_x_ProductionValue,HC × Production,0.0
12,GFCF_x_ProductionValue,GFCF × Production,0.0
13,Total_Production_Value_Per_Capita,Production Value,0.0
13,Human capital index,Human Capital,0.0
13,Rule of law index,Rule of Law,0.0
13,Political stability — estimate,Political Stability,0.0
13,Trade (% of GDP),Trade,-0.0
13,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
13,Share of investment in GDP,Investment Share,-0.0
13,Domestic credit to private sector (% of GDP),Domestic Credit,0.030510380820747397
13,Landlocked,Landlocked,-0.0
13,Urban population (% of total population),Urban Population,0.0
13,Government revenue,Gov Revenue,-0.0
13,Capital depreciation rate,Depreciation,-0.0
13,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
13,Real interest rate (%),Real Rate,-0.0
13,"Inflation, consumer prices (annual %)",Inflation,0.0
13,Access to electricity (% of population),Electricity,0.008998702616748537
13,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
13,L1_ECI,Lagged ECI,0.5586505291535202
