Country Code,Country Name,Year,Economic Complexity Index
AGO,Angola,1995,-1.914
AGO,Angola,1996,-2.328
AGO,Angola,1997,-1.57
AGO,Angola,1998,-1.579
AGO,Angola,1999,-1.505
AGO,Angola,2000,-1.938
AGO,Angola,2001,-1.454
AGO,Angola,2002,-1.898
AGO,Angola,2003,-1.812
AGO,Angola,2004,-0.848
AGO,Angola,2005,-1.257
AGO,Angola,2006,-1.654
AGO,Angola,2007,-1.649
AGO,Angola,2008,-1.516
AGO,Angola,2009,-0.96
AGO,Angola,2010,-1.427
AGO,Angola,2011,-1.23
AGO,Angola,2012,-1.322
AGO,Angola,2013,-1.265
AGO,Angola,2014,-1.736
AGO,Angola,2015,-1.078
AGO,Angola,2016,-1.092
AGO,Angola,2017,-1.5810000000000002
AGO,Angola,2018,-1.505
AGO,Angola,2019,-1.204
ARE,United Arab Emirates,1995,-0.1159999999999999
ARE,United Arab Emirates,1996,-0.187
ARE,United Arab Emirates,1997,-0.194
ARE,United Arab Emirates,1998,-0.394
ARE,United Arab Emirates,1999,-0.347
ARE,United Arab Emirates,2000,-0.249
ARE,United Arab Emirates,2001,-0.272
ARE,United Arab Emirates,2002,-0.062
ARE,United Arab Emirates,2003,-0.078
ARE,United Arab Emirates,2004,0.09
ARE,United Arab Emirates,2005,-0.129
ARE,United Arab Emirates,2006,0.0329999999999999
ARE,United Arab Emirates,2007,-0.078
ARE,United Arab Emirates,2008,-0.399
ARE,United Arab Emirates,2009,0.155
ARE,United Arab Emirates,2010,0.245
ARE,United Arab Emirates,2011,-0.051
ARE,United Arab Emirates,2012,0.408
ARE,United Arab Emirates,2013,0.0619999999999999
ARE,United Arab Emirates,2014,0.145
ARE,United Arab Emirates,2015,0.205
ARE,United Arab Emirates,2016,0.141
ARE,United Arab Emirates,2017,0.338
ARE,United Arab Emirates,2018,0.343
ARE,United Arab Emirates,2019,0.333
AZE,Azerbaijan,1995,-0.147
AZE,Azerbaijan,1996,0.408
AZE,Azerbaijan,1997,0.226
AZE,Azerbaijan,1998,0.249
AZE,Azerbaijan,1999,-0.235
AZE,Azerbaijan,2000,-0.175
AZE,Azerbaijan,2001,-0.658
AZE,Azerbaijan,2002,-0.4
AZE,Azerbaijan,2003,-0.563
AZE,Azerbaijan,2004,-0.419
AZE,Azerbaijan,2005,-0.442
AZE,Azerbaijan,2006,-0.648
AZE,Azerbaijan,2007,-0.602
AZE,Azerbaijan,2008,-0.852
AZE,Azerbaijan,2009,-1.141
AZE,Azerbaijan,2010,-1.239
AZE,Azerbaijan,2011,-0.876
AZE,Azerbaijan,2012,-0.683
AZE,Azerbaijan,2013,-1.112
AZE,Azerbaijan,2014,-1.155
AZE,Azerbaijan,2015,-0.967
AZE,Azerbaijan,2016,-0.946
AZE,Azerbaijan,2017,-1.119
AZE,Azerbaijan,2018,-1.236
AZE,Azerbaijan,2019,-0.827
BHR,Bahrain,1995,-0.411
BHR,Bahrain,1996,-0.105
BHR,Bahrain,1997,-0.143
BHR,Bahrain,1998,-0.011
BHR,Bahrain,1999,-0.124
BHR,Bahrain,2000,-0.326
BHR,Bahrain,2001,-0.192
BHR,Bahrain,2002,-0.288
BHR,Bahrain,2003,0.017
BHR,Bahrain,2004,-0.154
BHR,Bahrain,2005,0.298
BHR,Bahrain,2006,0.23
BHR,Bahrain,2007,0.439
BHR,Bahrain,2008,0.357
BHR,Bahrain,2009,0.305
BHR,Bahrain,2010,0.418
BHR,Bahrain,2011,0.257
BHR,Bahrain,2012,0.327
BHR,Bahrain,2013,0.527
BHR,Bahrain,2014,0.492
BHR,Bahrain,2015,0.237
BHR,Bahrain,2016,0.233
BHR,Bahrain,2017,0.698
BHR,Bahrain,2018,0.54
BHR,Bahrain,2019,0.492
BOL,Bolivia,1995,-0.565
BOL,Bolivia,1996,-0.676
BOL,Bolivia,1997,-0.797
BOL,Bolivia,1998,-0.547
BOL,Bolivia,1999,-0.58
BOL,Bolivia,2000,-0.572
BOL,Bolivia,2001,-0.831
BOL,Bolivia,2002,-0.912
BOL,Bolivia,2003,-0.717
BOL,Bolivia,2004,-1.047
BOL,Bolivia,2005,-0.915
BOL,Bolivia,2006,-0.893
BOL,Bolivia,2007,-1.074
BOL,Bolivia,2008,-0.895
BOL,Bolivia,2009,-0.95
BOL,Bolivia,2010,-0.893
BOL,Bolivia,2011,-0.922
BOL,Bolivia,2012,-0.649
BOL,Bolivia,2013,-1.055
BOL,Bolivia,2014,-1.317
BOL,Bolivia,2015,-1.122
BOL,Bolivia,2016,-1.137
BOL,Bolivia,2017,-1.159
BOL,Bolivia,2018,-1.16
BOL,Bolivia,2019,-0.964
CHL,Chile,1995,-0.078
CHL,Chile,1996,-0.097
CHL,Chile,1997,0.0049999999999999
CHL,Chile,1998,0.027
CHL,Chile,1999,-0.005
CHL,Chile,2000,0.047
CHL,Chile,2001,-0.001
CHL,Chile,2002,-0.121
CHL,Chile,2003,-0.04
CHL,Chile,2004,-0.144
CHL,Chile,2005,-0.188
CHL,Chile,2006,-0.169
CHL,Chile,2007,-0.327
CHL,Chile,2008,-0.335
CHL,Chile,2009,-0.386
CHL,Chile,2010,-0.329
CHL,Chile,2011,-0.252
CHL,Chile,2012,-0.356
