Year,ClusterLabels,median,std,n,se
2013,Oil Exporters,-0.2995,0.7476070491909504,6,0.3052092997709387
2013,Petrostates,-1.057,0.8388574616161502,12,0.24215729063790525
2014,Diversified Producers,-0.3835,0.7649125246259668,14,0.2044314712859038
2014,Mining Exporters,-1.5215,0.5898590227051433,4,0.29492951135257167
2014,Mixed Producers 1,-1.068,,1,
2014,Oil Exporters,-0.376,0.6800230633343745,6,0.2776182530822576
2014,Petrostates,-0.8965000000000001,0.9993982242359953,12,0.28850141689514297
2015,Diversified Producers,-0.6194999999999999,0.7822363825863371,14,0.2090614670791068
2015,Mining Exporters,-1.2475,0.5639296646450396,4,0.2819648323225198
2015,Mixed Producers 1,-1.186,,1,
2015,Oil Exporters,-0.16749999999999998,0.7208822372620927,6,0.29429894098801423
2015,Petrostates,-0.6975,0.7087736955581461,12,0.20460534196251076
2016,Diversified Producers,-0.6094999999999999,0.8603726256367383,14,0.22994425643512806
2016,Mining Exporters,-1.2035,0.5903119937795606,4,0.2951559968897803
2016,Mixed Producers 1,-0.857,,1,
2016,Oil Exporters,-0.16399999999999998,0.5142275760789186,6,0.2099325288435946
2016,Petrostates,-0.6034999999999999,0.7284937761011976,12,0.2102980388674967
2017,Diversified Producers,-0.6965,0.8499293829748186,14,0.2271531824317106
2017,Mining Exporters,-1.4285,0.6354604629715369,4,0.31773023148576846
2017,Mixed Producers 1,-0.308,,1,
2017,Oil Exporters,-0.1625,0.5966281086237892,6,0.24357240538834996
2017,Petrostates,-0.62,0.7278954043658812,12,0.2101253038262665
2018,Diversified Producers,-0.6595,0.8925114952933487,14,0.2385337306532153
2018,Mining Exporters,-1.221,0.5529134953438316,4,0.2764567476719158
2018,Mixed Producers 1,-0.379,,1,
2018,Oil Exporters,-0.069,0.7585105800184992,6,0.3096606475913055
2018,Petrostates,-0.917,0.8181042896769817,12,0.2361663659350965
2019,Diversified Producers,-0.5755,0.8997189304700407,14,0.2404599987295413
2019,Mining Exporters,-1.359,0.48241406834101896,4,0.24120703417050948
2019,Mixed Producers 1,-0.849,,1,
2019,Oil Exporters,0.029,0.5831743021315897,6,0.23807991188767788
2019,Petrostates,-0.9555,0.8779028558117488,12,0.2534287250626272
