Country Code,Country,ClusterLabels,PC1,PC2
AGO,Angola,Petrostates,2.479056424717954,-0.8497620136576852
ARE,United Arab Emirates,Petrostates,1.5235328524412504,2.9192775186522053
AZE,Azerbaijan,Petrostates,1.057407477292089,-0.01978439109144158
BHR,Bahrain,Oil Exporters,1.1072563869533385,3.6110707853845776
BOL,Bolivia,Diversified Producers,-1.9230079206593373,-0.2164236453748313
CHL,Chile,Mining Exporters,-1.8537089414870458,1.399096787530294
CMR,Cameroon,Diversified Producers,-1.7113388235499707,-0.8866292592329016
COG,"Congo, Rep.",Petrostates,2.3883906889545172,-0.46709409769038285
DZA,Algeria,Oil Exporters,-0.0028145440376536523,0.49602790995732726
ECU,Ecuador,Diversified Producers,-1.705802390402976,0.21171805072082434
EGY,"Egypt, Arab Rep.",Diversified Producers,-1.35523185649354,-0.08374341967329679
GAB,Gabon,Petrostates,2.376646038625177,-0.5385362312398544
GIN,Guinea,Mining Exporters,-0.9189188171358911,-2.872516901032255
GNQ,Equatorial Guinea,Petrostates,1.5876491297862831,-2.9318634903983867
IDN,Indonesia,Diversified Producers,-2.073982892536797,-0.015612848905360367
IRN,"Iran, Islamic Rep.",Petrostates,0.003771689045049824,0.07510828475171273
IRQ,Iraq,Petrostates,1.1209927709000165,-3.1657002551965356
KAZ,Kazakhstan,Diversified Producers,-0.9466514191637327,0.7808731297400725
KWT,Kuwait,Petrostates,2.8548247815815633,0.7966809962045268
LBR,Liberia,Mixed Producers 1,-1.9717476419229139,-1.931706487610118
LBY,Libya,Petrostates,1.6117654960815835,-0.4270059130632389
MEX,Mexico,Diversified Producers,-2.0214229441355416,1.3688794765240737
MNG,Mongolia,Mining Exporters,-1.763692101265683,-1.2935920359200588
MYS,Malaysia,Diversified Producers,-0.574172356508997,3.4275809289796815
NGA,Nigeria,Diversified Producers,-0.4854671019682715,-1.1704232333659697
OMN,Oman,Petrostates,2.2112771490072167,0.17174495165040893
PNG,Papua New Guinea,Mining Exporters,-0.25816589159133335,-1.3389454840997335
QAT,Qatar,Oil Exporters,2.4591547687030566,1.5404006944589699
RUS,Russian Federation,Oil Exporters,-0.825610367440917,1.39325512444128
SAU,Saudi Arabia,Petrostates,1.901116017135952,0.14169941685617732
TTO,Trinidad and Tobago,Oil Exporters,-0.5897661731085007,0.9349331923990373
UZB,Uzbekistan,Oil Exporters,-0.37127897785340885,0.12160419026236673
VEN,"Venezuela, RB",Diversified Producers,-0.1303614395534935,0.25419066891419567
VNM,Viet Nam,Diversified Producers,-1.4218062803770402,-0.9485564191368954
YEM,"Yemen, Rep.",Diversified Producers,2.5608491250992578,-1.2044138057633518
ZAF,South Africa,Diversified Producers,-2.1381003552022957,0.9609795561104082
ZWE,Zimbabwe,Diversified Producers,-2.2006415599289673,-0.24281173108584195
