feature,short,coef,ci_lo,ci_hi,se
log_HCI,Human Capital,0.22611318462081248,-0.033920289279684435,0.4861466585213094,0.1326701397451515
log_GFCF,Capital Formation,0.03140542923246131,0.00967020949251635,0.05314064897240628,0.011089397826502532
Political stability — estimate,Political Stability,0.010277597920989912,-0.03952135839686462,0.06007655423884445,0.025407630774415577
Rule of law index,Rule of Law,0.10127195307408016,-0.007740526767684219,0.21028443291584453,0.0556186121641655
log_Production_Value,Production Value,-0.009764107197296402,-0.03176615474300945,0.012237940348416649,0.011225534462098495
Forestry rents (% of GDP),Forestry rents (% GDP),-0.006828650455405035,-0.02427443307849059,0.01061713216768052,0.008900909501574263
Trade (% of GDP),Trade,0.00014231662902956343,-0.0008863228556686539,0.0011709561137277808,0.0005248160636215395
log_HCI_x_log_Production,HCI × Production,-0.007523800755773913,-0.10828471708069543,0.0932371155691476,0.05140863077802118
log_GFCF_x_log_Production,GFCF × Production,0.012839342694043885,-0.0031926859501565305,0.0288713713382443,0.00817960645112266
log_HCI_x_forestry_rents,HCI × Forestry,-0.028622448396936118,-0.139987318698949,0.08274242190507677,0.056818811378578006
log_GFCF_x_forestry_rents,GFCF × Forestry,0.011854977864947276,0.0012826101553125944,0.02242734557458196,0.005394065157976879
