Country Code
AGO
AZE
BOL
CHL
CMR
COG
DZA
ECU
EGY
GAB
GIN
GNQ
IDN
IRN
IRQ
KAZ
LBR
LBY
MEX
MNG
MYS
NGA
OMN
PNG
RUS
SAU
TTO
UZB
VEN
VNM
YEM
ZAF
ZWE
BHR
KWT
QAT
ARE
