feature,short,PC1,PC2,PC1_var,PC2_var
Total_Production_Value_Per_Capita,Production Value,0.36022874607926847,0.3770893926898278,0.2783412500204327,0.2297894012167302
Total natural resources rents (% of GDP),Total natural resources rents (% of GDP),0.5394378132893624,-0.18228555367878668,0.2783412500204327,0.2297894012167302
Oil rents (% of GDP),Oil rents (% of GDP),0.5618731985535946,-0.05026486802754291,0.2783412500204327,0.2297894012167302
Natural gas rents (% of GDP),Natural gas rents (% of GDP),0.1059451817888108,0.22761227499714975,0.2783412500204327,0.2297894012167302
Mineral rents (% of GDP),Mineral rents (% of GDP),-0.20866861685981433,-0.16879314394107361,0.2783412500204327,0.2297894012167302
Forestry rents (% of GDP),Forestry rents (% GDP),0.0365746601685142,-0.2801092889327497,0.2783412500204327,0.2297894012167302
"GDP per capita (constant prices, PPP)","GDP per capita (constant prices, PPP)",0.07084566200611372,0.5247021450935357,0.2783412500204327,0.2297894012167302
Trade (% of GDP),Trade,0.19263058822602083,0.3452912892488548,0.2783412500204327,0.2297894012167302
Manufacturing,Manufacturing,-0.3946080574659949,0.30693553664832446,0.2783412500204327,0.2297894012167302
Services,Services,-0.09795282284617715,0.4177816221559045,0.2783412500204327,0.2297894012167302
