measure,in_pre,in_post,out_pre,out_post,log_change_inside,log_change_outside,did
"log(trips) inside CBD vs outside, Uber",45030009.0000,41648225.0000,121621928.0000,122500633.0000,-0.0781,0.0072,-0.0853
"log(trips) inside CBD vs outside, Lyft",14866548.0000,15970898.0000,41257638.0000,47067475.0000,0.0717,0.1317,-0.0601
